ID_PLAN_ESTUDIO_ANO_DATOS,ID_CURSO_ACADEMICO_NK,ID_PLAN_ESTUDIO_NK,ID_TIPO_ESTUDIO_NK,ID_MODALIDAD_PLAN_NK,EXPERIMENTALIDAD,CREDITOS_OFERTADOS,ID_CENTRO_OFERTA_NK,NUM_PLAZAS_OFERTADAS,FLG_OFERTA,ID_CENTRO_MATRICULA_NK,NUM_EXPEDIENTES_MATRI,FLG_MATRICULA,ID_CENTRO_CENT_PLAN_NK,FLG_CENT_PLAN,ID_AMBITO_CONOCIMIENTO,ID_AMBITO_CONOCIMIENTO_NK,NOMBRE_AMBITO_CONOCIMIENTO
35,2016,10001,1,SEM,4,282,2,71,1,41,52,1,74,1,17,AM017,Ámbito de conocimiento 17
36,2017,10006,9,PRE,4,267,59,32,1,63,122,1,55,1,2,AM002,Ámbito de conocimiento 2
37,2017,10074,5,HYB,3,234,34,192,1,15,174,1,58,1,17,AM017,Ámbito de conocimiento 17
38,2017,10086,7,HYB,3,279,61,115,1,69,113,1,15,1,6,AM006,Ámbito de conocimiento 6
39,2017,10032,8,VIR,4,248,98,128,1,87,40,1,20,1,1,AM001,Ámbito de conocimiento 1
40,2017,10077,3,PRE,3,299,91,181,1,34,70,1,66,1,20,AM020,Ámbito de conocimiento 20
41,2018,10088,10,PRE,4,235,7,148,1,37,30,1,16,1,16,AM016,Ámbito de conocimiento 16
42,2018,10070,1,SEM,4,226,7,183,1,88,114,1,33,1,14,AM014,Ámbito de conocimiento 14
43,2018,10098,5,SEM,3,266,38,36,1,70,88,1,23,1,10,AM010,Ámbito de conocimiento 10
44,2018,10096,10,SEM,3,233,3,144,1,42,96,1,82,1,2,AM002,Ámbito de conocimiento 2
45,2018,10059,7,PRE,5,194,46,39,1,69,121,1,32,1,6,AM006,Ámbito de conocimiento 6
46,2019,10044,9,DIS,1,248,13,62,1,94,57,1,82,1,16,AM016,Ámbito de conocimiento 16
47,2019,10072,7,VIR,4,294,36,118,1,59,178,1,32,1,17,AM017,Ámbito de conocimiento 17
48,2019,10063,5,SEM,5,238,6,49,1,42,115,1,5,1,5,AM005,Ámbito de conocimiento 5
49,2019,10065,10,DIS,5,272,82,55,1,49,151,1,93,1,3,AM003,Ámbito de conocimiento 3
50,2019,10040,3,SEM,3,298,82,107,1,55,122,1,3,1,6,AM006,Ámbito de conocimiento 6
