ID_UNIVERSIDAD,ID_UNIVERSIDAD_NK,ID_UNIVERSIDAD_DESCR,NOMBRE_UNIVERSIDAD,NOMBRE_UNIVERSIDAD_SIN_PAIS,ID_PAIS_NK,ID_UNIVERSIDAD_PIC_NK,ID_PAIS,NOMBRE_PAIS,SN_UNIVERSIDAD_UNITA,SN_UNIVERSIDAD_UNITA_GEMINAE
69,690,6900,Universidad Técnica de Murcia (Mongolia),Universidad Técnica de Murcia,AND,E48070,51,Mongolia,S,S
70,700,7000,Universidad Ciencias de Llabrés (Palau),Universidad Ciencias de Llabrés,ERI,P67983,92,Palau,N,N
71,710,7100,Universidad Católica de Salamanca (República de Moldova),Universidad Católica de Salamanca,SVK,E36485,96,República de Moldova,N,N
72,720,7200,Universidad Complutense de Almería (Panamá),Universidad Complutense de Almería,GNB,E24316,72,Panamá,S,S
73,730,7300,Universidad Internacional de Almería (Niger),Universidad Internacional de Almería,BHR,E93616,86,Niger,S,S
74,740,7400,Universidad Técnica de Guipúzcoa (Bulgaria),Universidad Técnica de Guipúzcoa,KGZ,R71918,53,Bulgaria,S,N
75,750,7500,Universidad Ciencias de Cabrera (Austria),Universidad Ciencias de Cabrera,ZAF,R30701,18,Austria,N,N
76,760,7600,Universidad Católica de Navarra (Andorra),Universidad Católica de Navarra,BWA,P95267,84,Andorra,S,N
77,770,7700,Universidad Técnica de Segovia (Sudán),Universidad Técnica de Segovia,SLB,P94659,37,Sudán,S,N
78,780,7800,Universidad Tecnología de Tejada (República Unida de Tanzanía),Universidad Tecnología de Tejada,ITA,E80143,12,República Unida de Tanzanía,S,N
79,790,7900,Universidad Estatal de Guadalajara (Suecia),Universidad Estatal de Guadalajara,GTM,E14763,23,Suecia,N,N
80,800,8000,Universidad Humanidades de Barranco (Uzbekistán),Universidad Humanidades de Barranco,FSM,R47941,64,Uzbekistán,S,S
81,810,8100,Universidad Europea de Murcia (Nigeria),Universidad Europea de Murcia,GHA,E53914,73,Nigeria,N,N
82,820,8200,Universidad Internacional de La Rioja (República Democrática del Congo),Universidad Internacional de La Rioja,BRA,R74738,59,República Democrática del Congo,S,N
83,830,8300,Universidad Complutense de La Coruña (Vanuatu),Universidad Complutense de La Coruña,RUS,E24764,60,Vanuatu,N,N
84,840,8400,Universidad Artes de Estrada (Serbia),Universidad Artes de Estrada,VNM,R43720,21,Serbia,S,S
85,850,8500,Universidad Medicina de Arcos (Burkina Faso),Universidad Medicina de Arcos,YEM,R98395,44,Burkina Faso,S,S
86,860,8600,Universidad Estatal de Ourense (Belice),Universidad Estatal de Ourense,PAN,P77538,82,Belice,N,N
87,870,8700,Universidad Estatal de Girona (República Unida de Tanzanía),Universidad Estatal de Girona,ITA,R22502,12,República Unida de Tanzanía,S,N
88,880,8800,Universidad Medicina de Zamora (República Centroafricana),Universidad Medicina de Zamora,DMA,E10895,62,República Centroafricana,N,N
89,890,8900,Universidad Humanidades de Cañete (Haití),Universidad Humanidades de Cañete,NZL,P44995,50,Haití,N,N
90,900,9000,Universidad Tecnología de Llamas (Ghana),Universidad Tecnología de Llamas,HUN,R85088,39,Ghana,S,S
91,910,9100,Universidad Politécnica de Guipúzcoa (Rwanda),Universidad Politécnica de Guipúzcoa,PRT,E97528,47,Rwanda,S,N
92,920,9200,Universidad Estatal de Segovia (Serbia),Universidad Estatal de Segovia,VNM,R75866,21,Serbia,N,N
93,930,9300,Universidad Ciencias de Estrada (Ucrania),Universidad Ciencias de Estrada,KEN,R48671,89,Ucrania,N,N
94,940,9400,Universidad Politécnica de Zamora (Bangladesh),Universidad Politécnica de Zamora,NAM,E27507,79,Bangladesh,N,N
95,950,9500,Universidad Artes de Ferrando (Benin),Universidad Artes de Ferrando,TGO,R89395,20,Benin,N,N
96,960,9600,Universidad Internacional de Las Palmas (Comoras),Universidad Internacional de Las Palmas,MRT,P80453,54,Comoras,S,N
97,970,9700,Universidad Tecnología de Bolaños (Guinea Ecuatorial),Universidad Tecnología de Bolaños,ESP,E78879,88,Guinea Ecuatorial,N,N
98,980,9800,Universidad Medicina de Bustos (Cabo Verde),Universidad Medicina de Bustos,GRC,E83946,68,Cabo Verde,S,S
99,990,9900,Universidad Internacional de Lugo (Belarús),Universidad Internacional de Lugo,LSO,E85065,71,Belarús,S,S
100,1000,10000,Universidad Artes de Hurtado (Mauritania),Universidad Artes de Hurtado,SVN,E99167,67,Mauritania,S,N
