ID_PAIS,NOMBRE_PAIS,ID_PAIS_NK,NOMBRE_NACIONALIDAD,ID_PAIS_DESCR,SN_PERTENECE_EEES,FLG_EXTRANJERO,SN_EXTRANJERO
52,Países Bajos,EST,Nacional de Países Bajos,52,S,1,S
53,Bulgaria,KGZ,Nacional de Bulgaria,53,S,1,S
54,Comoras,MRT,Nacional de Comoras,54,N,1,S
55,Reino Unido de Gran Bretaña e Irlanda del ...,SMR,Nacional de Reino Unido de Gran Bretaña e ...,55,S,1,S
56,Saint Kitts y Nevis,LIE,Nacional de Saint Kitts y Nevis,56,S,1,S
57,Angola,MLI,Nacional de Angola,57,N,1,S
58,Filipinas,BGR,Nacional de Filipinas,58,N,1,S
59,República Democrática del Congo,BRA,Nacional de República Democrática del Congo,59,S,1,S
60,Vanuatu,RUS,Nacional de Vanuatu,60,S,1,S
61,Camerún,CHN,Nacional de Camerún,61,S,1,S
62,República Centroafricana,DMA,Nacional de República Centroafricana,62,N,1,S
63,Polonia,UZB,Nacional de Polonia,63,S,1,S
64,Uzbekistán,FSM,Nacional de Uzbekistán,64,N,1,S
65,Tuvalu,KOR,Nacional de Tuvalu,65,S,1,S
66,Suriname,CAF,Nacional de Suriname,66,N,1,S
67,Mauritania,SVN,Nacional de Mauritania,67,S,1,S
68,Cabo Verde,GRC,Nacional de Cabo Verde,68,S,1,S
69,Antigua y Barbuda,TZA,Nacional de Antigua y Barbuda,69,S,1,S
70,Albania,BRN,Nacional de Albania,70,S,1,S
71,Belarús,LSO,Nacional de Belarús,71,S,1,S
72,Panamá,GNB,Nacional de Panamá,72,N,1,S
73,Nigeria,GHA,Nacional de Nigeria,73,S,1,S
74,Canadá,SRB,Nacional de Canadá,74,S,1,S
75,Nauru,PRY,Nacional de Nauru,75,S,1,S
76,Ecuador,COM,Nacional de Ecuador,76,S,1,S
77,Jordania,NGA,Nacional de Jordania,77,S,1,S
78,Bahamas,GNQ,Nacional de Bahamas,78,S,1,S
79,Bangladesh,NAM,Nacional de Bangladesh,79,N,1,S
80,Francia,ETH,Nacional de Francia,80,S,1,S
81,Micronesia,EGY,Nacional de Micronesia,81,N,1,S
82,Belice,PAN,Nacional de Belice,82,S,1,S
83,Brasil,BEL,Nacional de Brasil,83,S,1,S
84,Andorra,BWA,Nacional de Andorra,84,N,1,S
85,Côte d'Ivoire,NER,Nacional de Côte d'Ivoire,85,S,1,S
86,Niger,BHR,Nacional de Niger,86,N,1,S
87,Afganistán,MWI,Nacional de Afganistán,87,N,1,S
88,Guinea Ecuatorial,ESP,Nacional de Guinea Ecuatorial,88,S,1,S
89,Ucrania,KEN,Nacional de Ucrania,89,N,1,S
90,Bahrein,TTO,Nacional de Bahrein,90,S,1,S
91,Irán,QAT,Nacional de Irán,91,S,1,S
92,Palau,ERI,Nacional de Palau,92,S,1,S
93,Swazilandia,CHL,Nacional de Swazilandia,93,S,1,S
94,República Federal Democrática de Nepal,UGA,Nacional de República Federal Democrática ...,94,S,1,S
95,San Vicente y las Granadinas,NLD,Nacional de San Vicente y las Granadinas,95,S,1,S
96,República de Moldova,SVK,Nacional de República de Moldova,96,N,1,S
97,Georgia,GAB,Nacional de Georgia,97,N,1,S
98,Liechtenstein,COL,Nacional de Liechtenstein,98,N,1,S
99,Montenegro,KWT,Nacional de Montenegro,99,S,1,S
100,Alemania,VUT,Nacional de Alemania,100,S,1,S
