ID_TERRITORIO,ID_NIVEL_TERRITORIAL,NOMBRE_TERRITORIO,ID_TERRITORIO_PADRE,NOMBRE_TERRITORIO_PADRE,ID_PAIS,CODIGO_TERRITORIO,ID_TERRITORIO_NK,ID_TERRITORIO_DESCR
51,3,Cáceres,49.0,Extremadura,1,ES-49-051,PROV-051,51
52,2,Galicia,1.0,España,1,ES-52,CCAA-52,52
53,3,A Coruña,52.0,Galicia,1,ES-52-053,PROV-053,53
54,3,Lugo,52.0,Galicia,1,ES-52-054,PROV-054,54
55,3,Ourense,52.0,Galicia,1,ES-52-055,PROV-055,55
56,3,Pontevedra,52.0,Galicia,1,ES-52-056,PROV-056,56
57,2,Madrid,1.0,España,1,ES-57,CCAA-57,57
58,3,Madrid,57.0,Madrid,1,ES-57-058,PROV-058,58
59,2,Murcia,1.0,España,1,ES-59,CCAA-59,59
60,3,Murcia,59.0,Murcia,1,ES-59-060,PROV-060,60
61,2,Navarra,1.0,España,1,ES-61,CCAA-61,61
62,3,Navarra,61.0,Navarra,1,ES-61-062,PROV-062,62
63,2,País Vasco,1.0,España,1,ES-63,CCAA-63,63
64,3,Álava,63.0,País Vasco,1,ES-63-064,PROV-064,64
65,3,Guipúzcoa,63.0,País Vasco,1,ES-63-065,PROV-065,65
66,3,Vizcaya,63.0,País Vasco,1,ES-63-066,PROV-066,66
67,2,La Rioja,1.0,España,1,ES-67,CCAA-67,67
68,3,La Rioja,67.0,La Rioja,1,ES-67-068,PROV-068,68
69,2,Ceuta,1.0,España,1,ES-69,CCAA-69,69
70,3,Ceuta,69.0,Ceuta,1,ES-69-070,PROV-070,70
71,2,Melilla,1.0,España,1,ES-71,CCAA-71,71
72,3,Melilla,71.0,Melilla,1,ES-71-072,PROV-072,72
73,1,Singapur,,,2,INT073,PAIS-002,73
74,2,Región 1 de Singapur,73.0,Singapur,2,INT073-R01,REG-074,74
75,2,Región 2 de Singapur,73.0,Singapur,2,INT073-R02,REG-075,75
76,1,Vietman,,,3,INT076,PAIS-003,76
77,1,Estonia,,,4,INT077,PAIS-004,77
78,1,Tailandia,,,5,INT078,PAIS-005,78
79,2,Región 1 de Tailandia,78.0,Tailandia,5,INT078-R01,REG-079,79
80,2,Región 2 de Tailandia,78.0,Tailandia,5,INT078-R02,REG-080,80
81,2,Región 3 de Tailandia,78.0,Tailandia,5,INT078-R03,REG-081,81
82,2,Región 4 de Tailandia,78.0,Tailandia,5,INT078-R04,REG-082,82
83,2,Región 5 de Tailandia,78.0,Tailandia,5,INT078-R05,REG-083,83
84,1,Bolivia,,,6,INT084,PAIS-006,84
85,1,Argentina,,,7,INT085,PAIS-007,85
86,1,Samoa,,,9,INT086,PAIS-009,86
87,2,Región 1 de Samoa,86.0,Samoa,9,INT086-R01,REG-087,87
88,2,Región 2 de Samoa,86.0,Samoa,9,INT086-R02,REG-088,88
89,2,Región 3 de Samoa,86.0,Samoa,9,INT086-R03,REG-089,89
90,2,Región 4 de Samoa,86.0,Samoa,9,INT086-R04,REG-090,90
91,2,Región 5 de Samoa,86.0,Samoa,9,INT086-R05,REG-091,91
92,1,El Salvador,,,10,INT092,PAIS-010,92
93,1,Maldivas,,,11,INT093,PAIS-011,93
94,1,República Unida de Tanzanía,,,12,INT094,PAIS-012,94
95,1,Congo,,,13,INT095,PAIS-013,95
96,1,Italia,,,14,INT096,PAIS-014,96
97,2,Región 1 de Italia,96.0,Italia,14,INT096-R01,REG-097,97
98,2,Región 2 de Italia,96.0,Italia,14,INT096-R02,REG-098,98
99,2,Región 3 de Italia,96.0,Italia,14,INT096-R03,REG-099,99
100,1,Israel,,,15,INT100,PAIS-015,100
