ID_CLASE_LIQUIDACION,ID_CURSO_ACADEMICO_NK,ID_CLASE_LIQUIDACION_NK,NOMBRE_CLASE_LIQUIDACION,ID_CLASE_LIQUIDACION_DESCR
118,2021,8,Liquidación tipo 8 - 2021/2022,118
121,2022,1,Liquidación tipo 1 - 2022/2023,121
122,2022,2,Liquidación tipo 2 - 2022/2023,122
123,2022,3,Liquidación tipo 3 - 2022/2023,123
124,2022,4,Liquidación tipo 4 - 2022/2023,124
125,2022,5,Liquidación tipo 5 - 2022/2023,125
126,2022,6,Liquidación tipo 6 - 2022/2023,126
127,2022,7,Liquidación tipo 7 - 2022/2023,127
128,2022,8,Liquidación tipo 8 - 2022/2023,128
131,2023,1,Liquidación tipo 1 - 2023/2024,131
132,2023,2,Liquidación tipo 2 - 2023/2024,132
133,2023,3,Liquidación tipo 3 - 2023/2024,133
134,2023,4,Liquidación tipo 4 - 2023/2024,134
135,2023,5,Liquidación tipo 5 - 2023/2024,135
136,2023,6,Liquidación tipo 6 - 2023/2024,136
137,2023,7,Liquidación tipo 7 - 2023/2024,137
138,2023,8,Liquidación tipo 8 - 2023/2024,138
141,2024,1,Liquidación tipo 1 - 2024/2025,141
142,2024,2,Liquidación tipo 2 - 2024/2025,142
143,2024,3,Liquidación tipo 3 - 2024/2025,143
144,2024,4,Liquidación tipo 4 - 2024/2025,144
145,2024,5,Liquidación tipo 5 - 2024/2025,145
146,2024,6,Liquidación tipo 6 - 2024/2025,146
147,2024,7,Liquidación tipo 7 - 2024/2025,147
148,2024,8,Liquidación tipo 8 - 2024/2025,148
