ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_ALUMNO_NIP_NK,ID_SOLICITUD_MOVILIDAD_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_ACADEMICO,ID_ALUMNO,ID_CENTRO,ID_PLAN_ESTUDIO,ID_TIPO_ESTUDIO,ID_UNIVERSIDAD_DESTINO,ID_PAIS_UNIVERSIDAD_DESTINO,ID_TUTOR,ID_AREA_ESTUDIOS_MOVILIDAD,ID_NIVEL_ESTUDIOS_MOVILIDAD,ID_TIPO_ACCESO,ID_RANGO_CRED_SUPERADOS,ID_RANGO_CRED_SUPERADOS_PREVIO,ID_FECHA_INICIO_ESTANCIA,ID_FECHA_FIN_ESTANCIA,ID_SEXO,ID_PAIS_NACIONALIDAD,ID_RANGO_NOTA_ADMISION,EDAD,ORDEN_PREFERENCIA,FLG_ACCESO_DIRECTO_MOVILIDAD,DURACION_ESTANCIA,ANOS_CURSADOS,CURSO_MAS_ALTO_MATRICULADO,CREDITOS_SUPERADOS_PREVIO,CREDITOS_SUPERA_DESTINO,NOTA_ADMISION,FECHA_CARGA,ID_POBLACION_FAMILIAR,ID_PROGRAMA_MOVILIDAD_NK,ID_PROGRAMA_MOVILIDAD,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_FECHA_CARGA,FLG_NUM_ACCESO_DIRECTO_MOVI,ID_EDAD_EST
2011,600011,800011,1000011,20110,700011,900011,4,30,2,22,98,505,19,6,13,2,1,20210811,20230728,2,51,5,22,4,S,23,3,4,47,34,9.35,2022-08-17,143,60,6,21,4,20231022,1,10
2019,600012,800012,1000012,20190,700012,900012,18,82,8,38,63,591,20,5,15,3,5,20221115,20220911,1,99,3,19,3,S,-2,2,4,65,46,6.1,2023-01-25,419,30,3,16,5,20230306,1,6
2011,600013,800013,1000013,20110,700013,900013,36,10,4,69,77,894,16,3,4,1,5,20221010,20220804,2,9,1,27,4,N,-2,1,1,46,26,5.13,2022-07-27,425,90,9,33,2,20220210,0,10
2013,600014,800014,1000014,20130,700014,900014,4,50,1,52,51,623,1,4,3,6,4,20211118,20220425,2,2,5,29,2,S,5,2,4,141,40,9.3,2023-09-27,160,90,9,40,10,20220612,1,9
2010,600015,800015,1000015,20100,700015,900015,7,57,6,1,27,359,18,6,3,5,5,20210811,20230325,1,92,1,23,5,N,19,1,3,111,17,13.22,2023-09-27,350,70,7,24,1,20230324,0,7
2011,600016,800016,1000016,20110,700016,900016,15,10,4,59,24,363,12,1,3,4,3,20221019,20230121,1,92,3,19,1,N,3,3,2,46,45,13.99,2023-01-16,279,90,9,5,12,20231002,0,9
2022,600017,800017,1000017,20220,700017,900017,33,88,5,65,19,895,20,5,7,2,4,20221020,20220313,2,82,3,29,4,N,-7,4,3,50,32,10.23,2022-03-01,319,60,6,24,8,20230912,0,6
2011,600018,800018,1000018,20110,700018,900018,5,99,10,76,79,745,5,2,7,2,5,20210328,20220708,1,15,4,26,3,S,15,1,2,105,50,6.07,2023-04-04,143,90,9,39,9,20231206,1,1
2013,600019,800019,1000019,20130,700019,900019,30,3,10,86,86,317,4,3,12,6,2,20221127,20231116,2,47,2,23,3,N,11,3,4,151,52,9.49,2022-10-31,263,40,4,29,11,20230912,0,4
2012,600020,800020,1000020,20120,700020,900020,12,26,2,29,79,878,3,6,2,1,2,20210524,20220508,2,27,5,21,4,S,11,2,2,167,22,5.71,2023-06-28,376,90,9,41,5,20230109,1,10
2022,600021,800021,1000021,20220,700021,900021,28,79,10,67,75,476,5,6,9,4,1,20210910,20230324,1,40,3,29,3,N,18,4,3,174,52,8.56,2023-05-03,190,90,9,18,2,20230719,0,3
2011,600022,800022,1000022,20110,700022,900022,25,99,9,21,8,686,11,5,4,4,2,20210429,20231031,1,68,3,21,5,N,30,2,1,33,36,7.82,2022-03-17,281,10,1,7,10,20220625,0,1
2014,600023,800023,1000023,20140,700023,900023,32,81,9,97,45,505,8,8,15,7,2,20210317,20220202,2,18,5,28,5,S,10,2,2,130,50,6.12,2022-08-14,272,60,6,5,2,20221004,1,2
2010,600024,800024,1000024,20100,700024,900024,28,51,2,58,55,223,4,3,14,1,3,20220926,20230111,2,77,5,22,3,N,3,1,4,91,18,6.97,2022-07-08,27,50,5,40,15,20220923,0,9
2017,600025,800025,1000025,20170,700025,900025,25,37,9,83,78,396,9,6,6,5,1,20210901,20220603,2,78,5,26,4,N,9,2,2,171,11,13.81,2023-09-13,220,40,4,40,13,20231017,0,8
2016,600026,800026,1000026,20160,700026,900026,22,54,2,9,46,703,12,8,14,1,2,20220730,20221213,1,11,3,21,5,N,4,3,3,126,43,8.99,2023-12-23,207,70,7,9,12,20230622,0,6
2021,600027,800027,1000027,20210,700027,900027,1,95,8,60,47,836,8,4,3,1,1,20210720,20220803,2,12,4,18,5,S,12,2,1,79,30,10.17,2022-05-14,430,50,5,18,12,20230531,1,1
2017,600028,800028,1000028,20170,700028,900028,6,98,6,50,54,634,8,2,14,6,1,20211202,20230413,2,71,1,19,5,S,16,3,4,95,40,11.56,2023-06-15,482,100,10,32,11,20220131,1,1
2010,600029,800029,1000029,20100,700029,900029,47,43,2,40,52,73,9,3,15,3,1,20210112,20220222,2,7,1,28,1,S,13,3,2,55,29,11.67,2023-11-14,404,60,6,36,13,20220827,1,1
2014,600030,800030,1000030,20140,700030,900030,6,6,4,73,19,748,17,3,15,5,2,20211221,20231201,1,90,4,29,4,N,23,1,2,99,21,9.62,2022-07-02,292,40,4,42,6,20220824,0,8
2010,600031,800031,1000031,20100,700031,900031,14,18,5,88,85,106,16,7,5,7,7,20210627,20220222,1,49,2,26,5,N,8,2,2,144,39,11.66,2023-07-11,462,40,4,16,10,20220226,0,4
2020,600032,800032,1000032,20200,700032,900032,21,11,8,17,44,149,13,1,6,1,5,20220906,20220718,2,49,4,20,5,N,-1,3,4,71,46,5.65,2022-02-07,333,20,2,45,15,20220814,0,2
2020,600033,800033,1000033,20200,700033,900033,24,28,10,65,15,694,11,2,12,7,4,20220830,20230531,2,51,4,23,1,S,9,2,4,56,29,13.88,2022-10-03,433,90,9,47,3,20230419,1,5
2021,600034,800034,1000034,20210,700034,900034,7,28,2,52,71,648,15,6,14,2,5,20221227,20220621,2,41,4,21,2,S,-6,3,4,77,18,6.55,2022-09-12,431,30,3,18,4,20221103,1,5
2011,600035,800035,1000035,20110,700035,900035,42,58,9,61,71,349,9,7,13,6,1,20210801,20220129,2,36,3,25,3,S,6,4,4,114,45,12.83,2023-09-20,159,100,10,30,6,20220320,1,6
2018,600036,800036,1000036,20180,700036,900036,43,9,10,14,48,265,18,3,11,7,1,20210119,20231230,2,90,3,22,5,S,35,3,4,87,45,11.33,2023-05-03,417,60,6,8,14,20231211,1,2
2015,600037,800037,1000037,20150,700037,900037,29,16,7,19,72,130,9,7,11,5,5,20210709,20230814,1,88,3,20,3,S,25,1,3,123,18,9.23,2023-04-19,408,60,6,24,12,20220302,1,9
2011,600038,800038,1000038,20110,700038,900038,29,52,10,26,75,583,3,6,12,1,3,20220811,20230123,2,24,5,28,3,N,5,3,4,117,39,5.24,2022-09-26,116,100,10,42,14,20231007,0,5
2012,600039,800039,1000039,20120,700039,900039,48,91,10,22,94,39,6,1,2,2,2,20211106,20230617,1,96,2,27,3,S,19,4,1,99,58,9.62,2022-02-25,256,40,4,28,7,20221229,1,7
2024,600040,800040,1000040,20240,700040,900040,5,2,7,55,29,559,8,1,10,6,6,20210414,20230706,1,77,1,18,3,S,27,3,4,166,15,7.14,2023-01-16,355,40,4,13,11,20220128,1,4
2018,600041,800041,1000041,20180,700041,900041,15,54,4,26,36,398,16,6,15,7,5,20211117,20230219,2,21,4,22,2,S,15,4,4,42,59,12.19,2023-03-27,160,10,1,42,2,20221005,1,7
2023,600042,800042,1000042,20230,700042,900042,31,30,5,33,70,155,2,5,10,6,6,20220117,20221017,2,23,4,26,4,S,9,2,1,138,28,7.52,2022-02-04,416,100,10,23,11,20220228,1,6
2023,600043,800043,1000043,20230,700043,900043,30,86,9,7,77,29,10,5,15,4,7,20220616,20221206,2,20,1,25,4,S,5,2,4,169,42,7.48,2023-09-14,99,40,4,4,11,20230331,1,10
2013,600044,800044,1000044,20130,700044,900044,25,93,5,61,54,121,16,3,3,5,6,20211121,20230411,2,31,4,18,5,N,16,1,2,154,14,8.91,2022-08-15,90,10,1,23,15,20220707,0,9
2014,600045,800045,1000045,20140,700045,900045,17,78,3,85,33,246,10,4,9,2,3,20210819,20230401,1,1,4,30,5,S,19,2,3,116,12,6.0,2022-05-30,140,30,3,25,9,20230525,1,10
2012,600046,800046,1000046,20120,700046,900046,1,80,4,84,62,101,2,2,7,3,5,20220410,20230804,1,11,1,20,3,S,16,2,1,132,49,8.01,2022-12-28,12,100,10,10,8,20231123,1,5
2010,600047,800047,1000047,20100,700047,900047,40,35,9,89,54,104,13,1,1,7,2,20221219,20230617,1,90,2,21,5,N,6,2,1,122,45,12.96,2022-06-28,420,20,2,10,8,20221006,0,2
2021,600048,800048,1000048,20210,700048,900048,24,100,8,32,4,811,7,6,2,7,4,20211218,20231214,2,33,3,22,5,S,24,2,2,47,18,5.5,2023-11-11,458,10,1,41,2,20220217,1,7
2020,600049,800049,1000049,20200,700049,900049,24,21,7,51,33,429,15,7,3,5,4,20220803,20231112,1,1,3,20,1,S,15,1,2,103,47,11.16,2022-10-13,155,60,6,44,9,20230717,1,6
2020,600050,800050,1000050,20200,700050,900050,32,19,6,68,64,775,17,3,7,4,7,20220101,20220927,2,23,3,25,3,N,8,3,1,146,47,7.42,2022-12-27,118,30,3,41,14,20230731,0,6
2022,600051,800051,1000051,20220,700051,900051,5,34,8,69,18,467,11,2,10,5,6,20221021,20220421,1,95,2,24,3,S,-6,1,3,42,57,7.53,2023-08-31,259,70,7,50,8,20221206,1,5
2015,600052,800052,1000052,20150,700052,900052,49,57,4,53,74,346,16,2,9,1,7,20221225,20220511,1,50,5,18,3,N,-7,4,2,71,46,9.23,2023-12-09,1,80,8,7,4,20230419,0,9
2019,600053,800053,1000053,20190,700053,900053,26,21,3,39,41,594,12,4,10,5,5,20210601,20230125,2,37,4,22,2,N,20,4,1,97,18,7.06,2023-09-26,47,100,10,5,4,20230615,0,4
2020,600054,800054,1000054,20200,700054,900054,42,79,10,15,36,711,8,5,9,1,5,20220615,20221109,2,43,3,21,5,N,4,1,1,122,30,7.79,2023-11-03,360,20,2,22,7,20220209,0,6
2018,600055,800055,1000055,20180,700055,900055,30,94,7,99,63,404,9,6,10,5,5,20210525,20220609,1,60,2,29,3,S,12,4,2,107,49,9.41,2022-11-28,26,30,3,19,11,20221204,1,6
2021,600056,800056,1000056,20210,700056,900056,5,26,5,98,42,20,3,1,8,4,1,20210523,20221216,2,77,4,20,2,S,19,4,4,97,58,10.34,2023-10-02,214,90,9,42,1,20230606,1,1
2016,600057,800057,1000057,20160,700057,900057,47,40,10,20,39,954,14,6,15,5,6,20220102,20230711,2,44,3,19,3,N,18,4,1,40,40,10.31,2023-03-24,213,10,1,1,2,20230218,0,6
2019,600058,800058,1000058,20190,700058,900058,37,91,7,90,77,424,12,8,11,5,2,20221213,20230705,2,25,1,23,2,S,6,1,2,54,26,6.07,2023-03-21,113,50,5,38,15,20230614,1,2
2018,600059,800059,1000059,20180,700059,900059,42,47,9,69,29,160,15,7,4,7,4,20210318,20231011,2,89,2,21,1,S,31,1,4,144,13,5.72,2022-09-01,123,60,6,14,2,20230915,1,8
2011,600060,800060,1000060,20110,700060,900060,4,9,4,33,88,516,5,5,15,5,6,20210607,20220919,2,98,4,23,2,S,15,2,4,173,58,8.89,2022-01-11,31,30,3,45,11,20231115,1,4
2020,600061,800061,1000061,20200,700061,900061,43,7,6,92,46,613,11,6,12,2,6,20220814,20220823,2,87,5,18,3,N,0,2,1,141,60,9.65,2023-07-02,159,90,9,43,10,20220411,0,7
2024,600062,800062,1000062,20240,700062,900062,43,37,7,92,42,489,18,2,1,1,4,20210713,20230424,2,22,5,21,4,N,21,3,2,134,34,12.94,2022-04-22,379,30,3,10,13,20220711,0,10
2022,600063,800063,1000063,20220,700063,900063,9,48,1,52,54,735,18,5,5,3,4,20220211,20230509,1,39,3,19,4,S,15,1,2,127,35,11.74,2023-01-30,349,50,5,11,2,20231018,1,4
2010,600064,800064,1000064,20100,700064,900064,44,76,7,65,31,48,19,1,13,1,3,20210812,20220517,2,53,1,18,2,N,9,3,2,116,23,10.6,2023-06-11,363,90,9,33,4,20220522,0,10
2020,600065,800065,1000065,20200,700065,900065,17,51,7,58,72,192,16,3,11,2,5,20220105,20231004,2,35,4,30,3,S,21,3,4,31,47,11.69,2023-09-06,62,90,9,13,12,20230716,1,6
2024,600066,800066,1000066,20240,700066,900066,7,4,10,17,79,186,15,2,3,5,6,20210911,20230104,1,94,5,21,4,S,16,3,3,110,20,8.14,2022-07-23,144,60,6,23,2,20231017,1,8
2021,600067,800067,1000067,20210,700067,900067,11,68,5,88,72,365,16,4,12,5,5,20210624,20221219,2,36,4,18,4,S,18,3,4,75,45,9.87,2022-04-19,102,90,9,10,13,20220623,1,5
2021,600068,800068,1000068,20210,700068,900068,12,14,6,41,18,335,15,4,7,1,1,20220731,20220507,2,77,4,30,5,N,-2,1,3,71,52,9.07,2022-10-24,39,60,6,46,15,20221224,0,10
2021,600069,800069,1000069,20210,700069,900069,33,33,10,17,70,520,14,4,13,4,1,20221103,20230901,2,6,2,27,1,N,10,4,4,64,41,5.61,2023-05-07,150,80,8,22,9,20231024,0,4
2018,600070,800070,1000070,20180,700070,900070,26,7,4,69,10,577,16,7,6,6,6,20210730,20230404,2,31,2,24,1,N,20,4,2,85,23,13.1,2022-01-24,334,80,8,30,13,20221014,0,8
2012,600071,800071,1000071,20120,700071,900071,18,89,3,82,35,346,18,4,12,3,1,20210710,20230909,1,79,3,30,2,N,26,4,4,122,42,7.84,2022-02-12,304,50,5,17,5,20220310,0,10
2023,600072,800072,1000072,20230,700072,900072,18,98,2,26,33,563,1,1,11,6,4,20210210,20230408,1,22,5,23,1,S,26,4,2,162,31,9.15,2022-10-22,211,70,7,23,15,20230412,1,7
2015,600073,800073,1000073,20150,700073,900073,40,42,1,36,27,144,5,6,13,7,7,20210815,20230308,1,8,4,20,2,S,19,4,4,125,24,11.4,2023-10-07,66,40,4,49,4,20220919,1,6
2016,600074,800074,1000074,20160,700074,900074,12,2,4,31,16,684,19,1,13,7,1,20220222,20220924,2,56,4,27,4,S,7,1,2,120,17,10.97,2022-01-01,304,70,7,37,6,20230115,1,8
2016,600075,800075,1000075,20160,700075,900075,15,18,6,37,93,7,5,4,3,3,5,20221129,20230706,2,100,3,22,3,N,7,2,2,177,36,6.13,2022-11-24,182,20,2,49,4,20220320,0,2
2020,600076,800076,1000076,20200,700076,900076,3,85,9,82,100,428,14,7,13,1,7,20210809,20220607,1,17,1,21,1,N,10,3,1,169,46,9.1,2023-05-22,328,10,1,37,7,20230407,0,8
2014,600077,800077,1000077,20140,700077,900077,30,88,8,87,2,163,20,7,2,2,6,20220322,20230202,1,65,4,27,5,N,10,3,4,108,48,10.66,2023-04-04,427,20,2,36,11,20220204,0,4
2012,600078,800078,1000078,20120,700078,900078,13,87,9,56,89,387,12,4,8,2,6,20210720,20230803,1,72,1,22,3,N,24,2,4,119,43,8.59,2023-03-13,149,60,6,49,14,20230410,0,9
2016,600079,800079,1000079,20160,700079,900079,33,58,10,63,38,109,19,7,13,3,3,20211203,20220320,2,86,4,27,4,S,3,2,2,107,50,12.0,2022-09-03,470,60,6,22,15,20231231,1,9
2018,600080,800080,1000080,20180,700080,900080,24,32,6,5,5,46,11,5,5,5,7,20220909,20231207,2,38,2,25,4,N,15,2,1,75,32,5.35,2022-12-30,62,80,8,19,15,20230703,0,7
2016,600081,800081,1000081,20160,700081,900081,41,54,2,74,33,722,3,1,11,7,1,20221213,20231215,2,72,4,26,1,S,12,2,4,90,27,6.79,2023-03-21,111,30,3,46,3,20220719,1,9
2019,600082,800082,1000082,20190,700082,900082,16,99,7,42,69,895,19,1,5,2,4,20210414,20220205,1,57,4,18,1,N,9,3,3,154,39,12.15,2023-02-26,454,100,10,6,9,20220710,0,2
2023,600083,800083,1000083,20230,700083,900083,49,77,7,74,3,954,13,6,9,4,6,20220126,20220823,2,69,1,29,2,S,6,2,3,162,52,13.47,2023-06-22,346,20,2,22,13,20220926,1,5
2017,600084,800084,1000084,20170,700084,900084,26,5,8,73,81,252,20,4,8,7,3,20210903,20230128,2,61,5,26,2,N,17,1,1,35,13,7.94,2022-07-05,350,50,5,25,9,20221011,0,4
2017,600085,800085,1000085,20170,700085,900085,19,10,5,15,68,164,19,2,2,4,5,20210406,20231202,1,72,2,27,2,S,32,3,4,61,41,5.64,2022-12-29,432,50,5,4,15,20220714,1,7
2022,600086,800086,1000086,20220,700086,900086,27,27,10,66,35,209,19,3,6,2,2,20210622,20220120,1,39,1,28,4,N,7,1,1,104,13,5.16,2022-05-12,384,10,1,29,9,20231104,0,5
2023,600087,800087,1000087,20230,700087,900087,37,57,1,84,61,689,15,6,9,7,4,20220515,20231209,2,30,2,18,3,N,19,1,2,136,57,9.97,2023-11-16,138,70,7,44,14,20230731,0,8
2012,600088,800088,1000088,20120,700088,900088,1,85,10,100,57,250,8,1,5,4,4,20211120,20230101,2,38,4,29,4,S,13,4,2,77,38,13.31,2022-09-26,191,90,9,1,11,20230409,1,4
2014,600089,800089,1000089,20140,700089,900089,28,16,3,6,7,178,7,3,1,5,3,20220627,20230612,2,60,4,18,2,S,11,3,3,105,59,10.59,2023-03-21,272,100,10,23,1,20221022,1,1
2012,600090,800090,1000090,20120,700090,900090,49,42,7,85,60,420,7,7,1,1,2,20221104,20220116,2,30,5,22,1,N,-9,1,1,67,29,13.67,2022-08-31,474,70,7,45,4,20230114,0,1
2024,600091,800091,1000091,20240,700091,900091,2,44,7,88,79,227,4,2,10,1,2,20221009,20231130,2,65,1,18,1,N,13,4,4,93,43,10.93,2022-05-12,35,30,3,25,3,20230111,0,8
2021,600092,800092,1000092,20210,700092,900092,41,27,1,48,47,194,11,3,13,5,3,20220502,20220909,1,81,3,19,4,N,4,1,2,140,29,9.7,2022-04-24,281,50,5,4,5,20220504,0,8
2011,600093,800093,1000093,20110,700093,900093,35,92,1,31,5,795,11,1,3,2,5,20220226,20230530,1,47,2,20,3,N,15,1,3,86,48,10.61,2022-08-23,368,70,7,2,4,20220812,0,6
2021,600094,800094,1000094,20210,700094,900094,30,62,2,52,34,251,7,8,6,1,2,20220928,20221126,2,11,2,21,5,N,1,4,3,73,11,6.53,2023-10-01,500,10,1,49,15,20220130,0,2
2018,600095,800095,1000095,20180,700095,900095,17,23,10,9,100,813,7,5,11,5,2,20220612,20220914,2,38,1,22,2,N,3,1,1,170,19,13.01,2023-11-13,411,10,1,47,7,20230510,0,6
2013,600096,800096,1000096,20130,700096,900096,13,89,4,16,3,599,2,3,13,3,7,20220314,20220805,2,12,5,20,2,S,4,4,2,106,47,8.06,2022-06-15,249,50,5,10,15,20220729,1,5
2023,600097,800097,1000097,20230,700097,900097,18,79,10,29,52,356,16,3,9,7,6,20210626,20231018,2,49,5,30,5,N,28,2,4,129,49,6.37,2023-06-17,301,60,6,31,11,20220405,0,3
2018,600098,800098,1000098,20180,700098,900098,10,16,2,1,84,540,7,2,11,7,3,20210620,20220127,2,65,1,26,1,N,7,2,1,66,33,10.21,2022-01-21,275,30,3,3,4,20230619,0,8
2024,600099,800099,1000099,20240,700099,900099,10,68,2,5,66,480,12,7,4,6,4,20210821,20221025,2,1,2,27,2,S,14,1,1,71,10,6.34,2023-05-14,6,80,8,34,15,20220414,1,3
2015,600100,800100,1000100,20150,700100,900100,4,58,5,27,17,204,17,2,4,1,7,20220811,20221129,1,24,4,20,2,S,3,4,4,140,16,6.54,2023-03-06,229,30,3,48,5,20230825,1,8
2023,600101,800101,1000101,20230,700101,900101,6,58,9,52,86,610,14,4,4,4,3,20221226,20220507,1,18,1,27,2,N,-7,4,3,175,39,9.99,2023-07-12,137,40,4,9,12,20231006,0,5
2023,600102,800102,1000102,20230,700102,900102,26,22,4,72,86,581,16,6,1,7,3,20220227,20220629,2,7,5,29,4,S,4,4,3,49,37,10.73,2023-02-20,450,80,8,34,4,20220104,1,1
2023,600103,800103,1000103,20230,700103,900103,50,81,10,87,3,335,18,4,10,7,3,20210215,20220824,1,76,1,22,5,S,18,1,3,48,29,13.93,2022-07-29,273,20,2,49,7,20230329,1,3
2022,600104,800104,1000104,20220,700104,900104,2,36,1,86,100,46,18,5,3,4,4,20210529,20220512,1,87,3,27,4,S,11,2,4,84,14,11.32,2022-10-25,387,10,1,18,11,20220928,1,2
2017,600105,800105,1000105,20170,700105,900105,14,55,1,76,51,713,11,3,8,5,2,20221121,20230116,2,83,1,21,4,N,1,3,1,132,23,10.34,2022-12-25,26,90,9,3,8,20230822,0,7
2020,600106,800106,1000106,20200,700106,900106,14,12,9,44,45,814,4,3,12,1,6,20221004,20220719,1,58,3,21,4,N,-2,4,3,95,19,12.7,2023-07-08,291,100,10,49,8,20220311,0,3
2015,600107,800107,1000107,20150,700107,900107,11,66,9,82,70,591,13,4,14,1,5,20220915,20230506,1,92,2,27,2,S,7,4,3,89,53,6.76,2023-04-18,473,40,4,22,10,20230323,1,3
2019,600108,800108,1000108,20190,700108,900108,49,86,1,29,95,287,18,7,7,7,1,20210224,20220919,2,44,5,21,1,N,19,1,2,38,46,7.16,2022-10-09,142,30,3,33,12,20230723,0,7
2024,600109,800109,1000109,20240,700109,900109,40,65,8,93,98,714,19,5,15,7,4,20220328,20231008,1,45,5,23,2,N,18,1,2,125,27,11.46,2022-09-05,208,80,8,14,8,20220105,0,3
2023,600110,800110,1000110,20230,700110,900110,42,72,4,10,52,286,9,1,10,7,3,20220908,20220317,1,60,5,30,2,N,-5,2,3,118,34,12.95,2022-05-07,349,50,5,33,11,20231015,0,2
2015,600111,800111,1000111,20150,700111,900111,5,97,2,37,29,286,16,5,6,4,2,20210714,20230423,1,8,2,25,3,N,21,1,4,123,40,10.96,2023-03-31,337,20,2,49,2,20220519,0,4
2013,600112,800112,1000112,20130,700112,900112,15,82,6,90,75,9,17,8,7,3,2,20210705,20230419,1,5,4,21,1,N,21,4,3,142,33,7.79,2023-09-03,213,20,2,5,11,20231227,0,8
2012,600113,800113,1000113,20120,700113,900113,6,68,3,56,44,998,12,4,10,6,4,20210804,20220320,2,98,4,25,3,S,7,1,1,141,16,13.63,2022-08-13,48,100,10,45,3,20231217,1,2
2015,600114,800114,1000114,20150,700114,900114,8,3,8,41,2,943,18,7,1,3,3,20210422,20230704,2,22,1,23,5,S,26,2,3,170,24,11.91,2023-06-10,271,40,4,38,9,20230702,1,10
2014,600115,800115,1000115,20140,700115,900115,37,2,4,5,48,890,2,4,12,3,5,20220730,20220920,2,1,3,22,5,N,1,3,3,171,48,8.6,2023-06-14,330,90,9,21,1,20231121,0,6
2011,600116,800116,1000116,20110,700116,900116,5,59,9,81,99,724,1,8,5,4,1,20220323,20231006,2,95,3,21,1,S,18,1,4,163,22,10.03,2022-06-17,393,70,7,42,7,20220313,1,7
2012,600117,800117,1000117,20120,700117,900117,23,33,6,52,73,696,7,6,5,3,7,20211223,20231020,2,81,1,29,3,N,22,2,2,43,15,6.99,2023-01-14,442,20,2,19,14,20221213,0,3
2024,600118,800118,1000118,20240,700118,900118,24,86,10,64,83,625,11,8,14,6,7,20211111,20230802,2,39,5,25,1,N,20,4,2,58,31,8.73,2022-05-13,132,80,8,10,1,20220703,0,8
2011,600119,800119,1000119,20110,700119,900119,23,38,6,57,94,588,17,5,9,7,4,20221215,20220104,1,45,2,29,1,N,-11,3,2,180,48,11.01,2023-09-13,485,50,5,50,1,20221027,0,3
2012,600120,800120,1000120,20120,700120,900120,12,64,9,64,82,940,18,3,4,1,7,20210914,20231127,1,27,4,24,1,S,26,1,4,146,38,9.14,2023-06-06,352,80,8,22,4,20220712,1,2
2020,600121,800121,1000121,20200,700121,900121,19,21,7,94,2,423,7,7,6,3,4,20220507,20220714,1,31,5,23,4,S,2,3,1,135,37,6.25,2023-12-29,377,70,7,16,8,20230127,1,7
