ID_CURSO_ACADEMICO,ID_ESTUDIO,ID_CENTRO,TASA_EXITO_PONDERADA,TASA_RENDIMIENTO_PONDERADA,BASE_PONDERACION_TASAS_EXITO,BASE_PONDERACION_TASAS_RTO,ALUMNOS_MATRICULADOS,ALUMNOS_MATRICULADOS_NING,TASA_EFICIENCIA_PONDERADA,BASE_PONDERACION_TASAS_EGRE,ALUMNOS_GRADUADOS,DURACION_PONDERADA,BASE_PONDERACION_DURACION,ID_TIPO_ESTUDIO,SN_DOCTORADO_VIGENTE,DOC_ALUMNOS_INFORME,VALORACION_ALUMNOS,VALORACION_PROFESORES,DOC_ALUMNOS_BECA,ID_RAMA_CONOCIMIENTO
20210,26,42,0.7127,0.7709,534,105,104,19,0.926,366,104,5.46,104,1,N,0,0.0,0.0,0,3
20110,8,36,0.7918,0.8103,901,234,102,36,0.906,328,40,4.88,40,3,S,19,3.16,4.32,9,4
20110,32,20,0.7689,0.8188,689,122,210,71,0.8045,221,173,4.1,173,10,N,0,0.0,0.0,0,2
20220,48,49,0.7752,0.8708,165,921,105,43,0.9034,434,196,4.82,196,6,N,0,0.0,0.0,0,3
20110,1,7,0.6192,0.6831,916,705,182,26,0.9688,281,36,4.73,36,5,N,0,0.0,0.0,0,3
20210,50,33,0.9362,0.8049,205,207,338,36,0.9751,182,200,3.65,200,10,N,0,0.0,0.0,0,5
20130,36,20,0.6742,0.8826,612,906,56,47,0.888,269,130,4.62,130,1,N,0,0.0,0.0,0,4
20180,38,31,0.6025,0.8963,273,916,347,82,0.8684,303,71,5.89,71,5,N,0,0.0,0.0,0,5
20210,6,3,0.7865,0.8258,970,969,356,56,0.7988,276,67,5.84,67,2,N,0,0.0,0.0,0,5
20220,7,23,0.651,0.6647,175,274,79,46,0.9156,195,128,4.68,128,1,N,0,0.0,0.0,0,2
20170,1,36,0.8489,0.5912,626,256,256,73,0.9683,322,51,4.15,51,4,N,0,0.0,0.0,0,1
20150,37,24,0.7977,0.7857,604,288,323,74,0.8813,436,59,4.12,59,6,N,0,0.0,0.0,0,4
20220,24,36,0.679,0.7122,357,397,84,64,0.7761,125,60,5.96,60,7,N,0,0.0,0.0,0,2
20150,29,45,0.9393,0.7468,277,844,71,57,0.8619,65,75,4.72,75,9,N,0,0.0,0.0,0,4
20140,32,45,0.716,0.8939,920,226,104,97,0.7067,370,175,5.08,175,5,N,0,0.0,0.0,0,1
20180,35,10,0.9282,0.6523,477,829,276,43,0.7482,267,133,4.45,133,8,N,0,0.0,0.0,0,3
20160,27,25,0.6941,0.8021,955,762,454,85,0.8348,199,83,5.94,83,8,N,0,0.0,0.0,0,5
20220,12,32,0.6148,0.5503,568,958,334,21,0.8779,363,147,4.23,147,9,N,0,0.0,0.0,0,3
20130,26,42,0.6726,0.7045,375,161,294,66,0.9616,80,163,5.98,163,3,S,31,3.17,3.69,10,4
20120,9,17,0.74,0.7667,676,398,342,41,0.7977,318,29,4.62,29,3,S,42,3.11,3.62,17,1
20220,18,1,0.7116,0.6454,215,600,481,68,0.7954,459,65,5.11,65,9,N,0,0.0,0.0,0,2
20180,41,20,0.8622,0.6864,666,148,51,16,0.8068,188,29,5.45,29,7,N,0,0.0,0.0,0,1
20110,48,28,0.6333,0.8791,534,456,489,93,0.7413,252,90,4.95,90,4,N,0,0.0,0.0,0,5
20120,21,16,0.6199,0.6367,743,881,160,13,0.8699,216,81,5.06,81,1,N,0,0.0,0.0,0,5
20220,42,35,0.6432,0.8187,366,435,498,98,0.8775,104,61,5.11,61,7,N,0,0.0,0.0,0,2
20150,50,32,0.8049,0.7367,544,897,459,20,0.7016,244,25,5.25,25,10,N,0,0.0,0.0,0,1
20150,50,6,0.8195,0.5603,463,829,165,29,0.9432,338,89,3.54,89,6,N,0,0.0,0.0,0,4
20150,13,38,0.8114,0.655,453,632,324,75,0.8013,331,161,4.69,161,3,S,33,4.98,3.82,13,4
20230,13,39,0.8287,0.8237,871,240,321,10,0.7208,102,93,5.39,93,5,N,0,0.0,0.0,0,1
20240,33,12,0.8933,0.8253,524,686,403,72,0.8896,92,86,4.91,86,3,S,22,3.94,4.63,15,1
20210,18,3,0.678,0.7093,315,248,283,30,0.732,119,160,5.68,160,8,N,0,0.0,0.0,0,1
20190,2,40,0.8953,0.6249,584,382,457,77,0.8826,209,40,4.63,40,5,N,0,0.0,0.0,0,4
20130,28,50,0.7267,0.6524,573,437,296,43,0.9363,182,17,5.36,17,10,N,0,0.0,0.0,0,5
20210,26,25,0.8332,0.8764,801,235,461,81,0.9218,264,76,4.29,76,10,N,0,0.0,0.0,0,3
20220,2,47,0.8273,0.6595,659,923,456,91,0.8139,496,83,3.55,83,6,N,0,0.0,0.0,0,1
20190,30,34,0.6942,0.6357,863,923,107,80,0.7205,413,69,4.5,69,2,N,0,0.0,0.0,0,5
20220,44,21,0.9105,0.6744,680,647,79,44,0.8912,194,189,4.57,189,8,N,0,0.0,0.0,0,4
20140,23,44,0.8794,0.8256,180,708,469,18,0.7538,358,10,5.77,10,9,N,0,0.0,0.0,0,1
20100,27,2,0.7444,0.7866,505,571,326,99,0.766,330,68,5.98,68,3,S,33,4.48,4.0,20,3
20200,34,22,0.773,0.7562,465,357,133,25,0.7601,70,166,5.65,166,6,N,0,0.0,0.0,0,5
20130,16,26,0.796,0.7852,626,993,213,55,0.8988,403,122,5.38,122,6,N,0,0.0,0.0,0,2
20150,44,45,0.9419,0.6883,563,820,172,45,0.7274,225,161,3.86,161,2,N,0,0.0,0.0,0,2
20160,37,42,0.7914,0.88,496,694,381,81,0.8369,93,154,5.56,154,10,N,0,0.0,0.0,0,1
20170,37,6,0.8726,0.7653,537,613,338,65,0.8216,337,50,4.23,50,8,N,0,0.0,0.0,0,1
20130,6,22,0.6848,0.686,617,275,50,10,0.8407,69,47,3.57,47,5,N,0,0.0,0.0,0,1
20150,17,32,0.6471,0.701,480,560,345,31,0.8967,304,122,4.57,122,8,N,0,0.0,0.0,0,5
20150,37,17,0.9405,0.7466,456,910,353,78,0.8135,427,163,4.18,163,8,N,0,0.0,0.0,0,2
20160,49,49,0.7593,0.6838,476,809,378,59,0.9462,445,21,4.15,21,3,S,40,3.38,4.48,8,3
20220,32,13,0.8575,0.6523,842,918,412,85,0.9712,489,124,4.22,124,5,N,0,0.0,0.0,0,1
20240,7,22,0.8223,0.8195,839,369,431,24,0.763,339,125,5.5,125,7,N,0,0.0,0.0,0,4
20150,6,21,0.8033,0.8912,206,461,312,72,0.7424,316,24,5.41,24,5,N,0,0.0,0.0,0,2
20220,16,14,0.8965,0.8954,931,269,376,56,0.7217,380,171,4.75,171,6,N,0,0.0,0.0,0,4
20120,47,9,0.6706,0.5759,855,503,86,21,0.8365,295,66,5.27,66,2,N,0,0.0,0.0,0,4
20140,30,50,0.7079,0.8355,911,763,280,78,0.8698,329,106,5.47,106,8,N,0,0.0,0.0,0,3
20230,42,42,0.8858,0.791,368,480,452,72,0.8571,476,177,4.89,177,5,N,0,0.0,0.0,0,2
20160,1,3,0.8576,0.6354,273,395,253,93,0.9212,279,80,3.53,80,6,N,0,0.0,0.0,0,5
20120,7,37,0.8325,0.7374,753,987,207,10,0.8217,349,120,4.55,120,1,N,0,0.0,0.0,0,5
20120,49,36,0.9468,0.5521,442,849,324,40,0.7083,365,62,5.66,62,10,N,0,0.0,0.0,0,2
20120,31,4,0.6928,0.8087,413,209,132,92,0.8689,434,86,5.83,86,2,N,0,0.0,0.0,0,3
20110,37,14,0.7416,0.8869,249,743,432,20,0.7912,59,133,4.5,133,4,N,0,0.0,0.0,0,3
20240,31,2,0.7906,0.7896,549,524,394,78,0.9069,496,188,4.68,188,9,N,0,0.0,0.0,0,3
20240,22,43,0.9418,0.8792,245,599,295,15,0.8281,224,84,4.18,84,6,N,0,0.0,0.0,0,3
20190,33,30,0.682,0.786,294,718,394,92,0.72,195,133,4.03,133,8,N,0,0.0,0.0,0,2
20120,25,46,0.8921,0.8287,358,120,482,47,0.9467,422,29,3.59,29,2,N,0,0.0,0.0,0,4
20190,1,46,0.8319,0.8674,203,319,497,11,0.7329,186,15,5.09,15,10,N,0,0.0,0.0,0,4
20180,17,41,0.6254,0.7479,371,491,136,11,0.8614,298,193,4.02,193,5,N,0,0.0,0.0,0,2
20230,13,45,0.8854,0.6315,326,846,245,80,0.9083,116,62,4.98,62,1,N,0,0.0,0.0,0,1
20240,39,38,0.6229,0.6549,171,597,106,11,0.7147,461,110,5.99,110,4,N,0,0.0,0.0,0,3
20110,32,32,0.7144,0.6719,559,526,196,33,0.9374,249,187,5.89,187,10,N,0,0.0,0.0,0,1
20190,6,40,0.9408,0.7447,308,148,141,48,0.958,449,139,4.55,139,1,N,0,0.0,0.0,0,2
20180,18,3,0.6191,0.8797,774,149,100,94,0.8304,223,188,3.89,188,9,N,0,0.0,0.0,0,4
20110,43,38,0.7565,0.8774,621,420,423,40,0.776,276,58,4.84,58,2,N,0,0.0,0.0,0,2
20120,5,48,0.835,0.6702,895,889,264,68,0.7353,410,117,5.53,117,7,N,0,0.0,0.0,0,2
20170,47,34,0.6742,0.6525,289,366,447,79,0.8309,154,182,5.86,182,3,S,31,4.62,3.71,16,3
20160,24,48,0.6868,0.7218,332,240,407,62,0.7334,410,99,4.57,99,2,N,0,0.0,0.0,0,1
20130,48,28,0.653,0.8635,443,572,432,31,0.8848,439,166,3.66,166,4,N,0,0.0,0.0,0,2
20100,16,34,0.8692,0.5775,164,680,121,67,0.845,365,102,3.77,102,7,N,0,0.0,0.0,0,1
20130,18,7,0.8569,0.7226,686,989,170,69,0.8676,347,61,5.27,61,7,N,0,0.0,0.0,0,3
20150,28,50,0.6727,0.7862,479,262,310,81,0.8791,319,156,3.7,156,9,N,0,0.0,0.0,0,1
20160,41,34,0.758,0.7343,955,171,175,89,0.9201,261,196,4.41,196,3,S,46,4.83,3.83,2,4
20220,14,4,0.7883,0.6758,136,650,469,66,0.9509,353,19,4.79,19,7,N,0,0.0,0.0,0,2
20140,39,25,0.8188,0.8649,697,411,305,12,0.8989,204,142,3.8,142,6,N,0,0.0,0.0,0,5
20170,19,15,0.6049,0.8388,240,866,435,86,0.9538,151,181,5.06,181,10,N,0,0.0,0.0,0,1
20200,20,11,0.8995,0.6947,895,618,460,48,0.772,386,77,4.69,77,7,N,0,0.0,0.0,0,1
20160,18,36,0.6784,0.8807,173,686,447,56,0.8273,340,164,4.3,164,7,N,0,0.0,0.0,0,1
20230,25,38,0.9345,0.7683,613,333,251,68,0.9175,170,116,3.52,116,10,N,0,0.0,0.0,0,4
20110,40,1,0.9063,0.768,827,817,369,26,0.9107,174,198,3.92,198,5,N,0,0.0,0.0,0,4
20100,21,1,0.6677,0.6023,288,578,60,56,0.723,166,121,5.91,121,9,N,0,0.0,0.0,0,5
20220,27,25,0.7596,0.863,682,569,307,61,0.9342,297,141,5.6,141,7,N,0,0.0,0.0,0,3
20190,12,50,0.7828,0.6553,555,755,340,92,0.859,154,35,3.87,35,7,N,0,0.0,0.0,0,4
20210,32,49,0.9248,0.7258,214,312,476,27,0.7398,263,100,3.75,100,3,S,15,4.63,4.33,19,4
20100,42,8,0.66,0.7901,287,443,444,90,0.8863,113,35,5.79,35,1,N,0,0.0,0.0,0,5
20190,50,42,0.7859,0.8256,803,845,367,80,0.813,456,36,5.57,36,5,N,0,0.0,0.0,0,1
20220,2,41,0.8662,0.5642,331,925,320,98,0.9766,68,127,4.39,127,8,N,0,0.0,0.0,0,5
20120,6,34,0.7236,0.5881,610,226,82,70,0.7606,322,26,5.19,26,5,N,0,0.0,0.0,0,3
20240,12,23,0.6632,0.6288,847,975,294,18,0.9162,497,63,3.9,63,10,N,0,0.0,0.0,0,4
20150,15,28,0.8339,0.8521,137,593,297,35,0.7002,147,82,5.67,82,3,S,23,3.79,4.76,20,1
20120,50,12,0.8687,0.8304,879,867,340,40,0.9705,100,194,5.71,194,9,N,0,0.0,0.0,0,4
20110,44,11,0.9299,0.7357,152,644,271,94,0.8817,51,40,4.47,40,2,N,0,0.0,0.0,0,1
20140,25,38,0.7062,0.6452,306,883,65,89,0.8661,153,66,4.91,66,3,S,42,3.12,4.04,14,5
20200,42,21,0.8869,0.8928,715,689,257,39,0.8744,145,175,4.69,175,4,N,0,0.0,0.0,0,1
20130,12,9,0.6737,0.6836,425,710,95,62,0.7714,165,163,4.7,163,10,N,0,0.0,0.0,0,1
20190,5,46,0.6117,0.8448,964,529,92,69,0.942,405,134,5.72,134,1,N,0,0.0,0.0,0,1
20100,16,5,0.9495,0.7687,709,117,57,13,0.8757,279,73,5.83,73,4,N,0,0.0,0.0,0,5
20240,37,37,0.8416,0.7514,842,848,235,17,0.9468,230,150,4.36,150,4,N,0,0.0,0.0,0,2
20220,29,18,0.9034,0.7196,207,620,219,76,0.9081,71,24,5.16,24,9,N,0,0.0,0.0,0,3
20150,32,18,0.9294,0.7708,884,717,80,77,0.7252,69,159,5.76,159,8,N,0,0.0,0.0,0,3
20210,47,42,0.8368,0.6433,640,147,482,97,0.8891,190,138,5.05,138,2,N,0,0.0,0.0,0,3
20240,26,11,0.7857,0.8478,373,583,436,29,0.8471,146,110,4.98,110,7,N,0,0.0,0.0,0,3
20210,19,27,0.7798,0.8955,794,978,348,64,0.7599,318,125,4.56,125,6,N,0,0.0,0.0,0,2
20180,27,45,0.9155,0.6072,170,448,403,70,0.9471,138,100,5.57,100,7,N,0,0.0,0.0,0,2
20200,3,20,0.7707,0.785,581,938,237,14,0.9238,279,138,5.81,138,4,N,0,0.0,0.0,0,4
20160,29,44,0.7761,0.8762,847,867,170,37,0.7769,441,181,5.08,181,5,N,0,0.0,0.0,0,4
20240,40,30,0.7575,0.5588,462,452,177,76,0.969,153,25,5.18,25,6,N,0,0.0,0.0,0,4
20160,1,49,0.7115,0.7766,589,243,279,84,0.778,399,133,3.78,133,9,N,0,0.0,0.0,0,1
20220,40,30,0.645,0.8599,155,790,83,54,0.8193,149,196,3.83,196,2,N,0,0.0,0.0,0,5
20230,10,32,0.8554,0.6776,591,270,450,49,0.7794,391,95,3.55,95,9,N,0,0.0,0.0,0,3
20200,36,8,0.8146,0.7348,173,984,227,99,0.7303,283,13,5.16,13,10,N,0,0.0,0.0,0,1
20190,36,35,0.8814,0.6573,137,201,144,66,0.9733,305,96,4.53,96,1,N,0,0.0,0.0,0,4
20170,25,36,0.8438,0.6445,430,568,144,41,0.8286,89,151,3.89,151,4,N,0,0.0,0.0,0,3
20130,17,45,0.6397,0.8398,597,596,174,37,0.8885,390,76,5.39,76,5,N,0,0.0,0.0,0,4
20160,48,25,0.6875,0.7286,138,562,177,39,0.8997,93,121,5.19,121,9,N,0,0.0,0.0,0,1
20210,31,49,0.6603,0.8457,672,616,413,56,0.7299,440,162,4.29,162,6,N,0,0.0,0.0,0,3
20150,4,35,0.6591,0.8584,713,992,456,90,0.8208,268,57,4.65,57,4,N,0,0.0,0.0,0,1
20170,41,20,0.8381,0.7886,594,170,202,19,0.7936,380,31,5.12,31,2,N,0,0.0,0.0,0,1
20150,45,1,0.7914,0.875,122,387,460,59,0.9386,342,14,3.55,14,5,N,0,0.0,0.0,0,2
20190,10,34,0.8765,0.5869,286,843,490,41,0.9071,418,103,4.89,103,8,N,0,0.0,0.0,0,5
20160,24,49,0.8544,0.6297,107,625,132,12,0.7147,247,165,5.24,165,8,N,0,0.0,0.0,0,3
20220,46,29,0.7478,0.8087,110,663,160,27,0.9682,103,157,4.46,157,6,N,0,0.0,0.0,0,1
20200,43,31,0.8616,0.8673,823,316,82,56,0.8588,387,130,4.32,130,1,N,0,0.0,0.0,0,3
20190,39,31,0.7932,0.7787,993,337,264,14,0.8486,211,186,3.83,186,8,N,0,0.0,0.0,0,3
20190,33,24,0.6045,0.7712,139,758,90,11,0.7589,430,144,4.02,144,4,N,0,0.0,0.0,0,2
20230,45,35,0.8425,0.6945,913,578,336,17,0.9448,434,141,5.12,141,2,N,0,0.0,0.0,0,4
20110,21,17,0.8099,0.7275,929,748,125,86,0.9323,116,84,3.84,84,1,N,0,0.0,0.0,0,1
20120,8,15,0.9267,0.6889,780,629,223,53,0.7572,217,191,5.44,191,7,N,0,0.0,0.0,0,1
20150,30,26,0.7702,0.6355,115,832,292,32,0.8517,371,182,4.78,182,2,N,0,0.0,0.0,0,2
20180,11,32,0.6036,0.8745,881,653,366,67,0.883,158,130,5.9,130,4,N,0,0.0,0.0,0,2
20150,41,34,0.7263,0.8841,215,920,387,59,0.7416,152,174,5.78,174,4,N,0,0.0,0.0,0,2
20110,18,19,0.6152,0.6718,120,278,227,51,0.9292,291,135,4.59,135,10,N,0,0.0,0.0,0,2
20140,12,18,0.7273,0.6888,136,659,206,93,0.7173,340,24,5.14,24,1,N,0,0.0,0.0,0,5
20130,43,47,0.7935,0.813,674,167,248,99,0.8294,276,111,4.47,111,2,N,0,0.0,0.0,0,3
20200,6,5,0.7696,0.7591,849,844,401,28,0.7812,168,89,3.58,89,1,N,0,0.0,0.0,0,3
20220,42,23,0.669,0.6569,866,964,150,34,0.7971,151,131,5.19,131,6,N,0,0.0,0.0,0,5
20170,46,25,0.932,0.6297,832,423,64,48,0.8186,263,22,3.96,22,3,S,5,3.5,4.26,1,1
20130,44,32,0.6282,0.7661,713,517,331,40,0.8241,474,76,5.48,76,1,N,0,0.0,0.0,0,2
20240,42,26,0.6301,0.7559,660,775,89,56,0.7212,98,188,5.15,188,8,N,0,0.0,0.0,0,3
20200,11,9,0.6583,0.8297,848,494,139,72,0.8225,390,94,3.75,94,4,N,0,0.0,0.0,0,4
20110,27,45,0.6983,0.731,821,468,442,85,0.8525,446,176,4.0,176,10,N,0,0.0,0.0,0,1
20150,8,26,0.7081,0.8469,484,181,415,34,0.8508,173,125,5.69,125,7,N,0,0.0,0.0,0,1
20220,21,21,0.9485,0.7531,463,376,325,85,0.8905,482,117,5.9,117,10,N,0,0.0,0.0,0,1
20170,38,1,0.7527,0.5534,897,379,411,95,0.7823,267,193,5.73,193,2,N,0,0.0,0.0,0,4
20190,9,13,0.8355,0.5932,374,885,138,50,0.8693,466,149,3.69,149,6,N,0,0.0,0.0,0,1
20210,47,6,0.8186,0.8749,203,199,229,75,0.8554,133,167,3.59,167,6,N,0,0.0,0.0,0,4
20160,36,48,0.9255,0.8794,390,105,199,78,0.751,426,136,3.89,136,7,N,0,0.0,0.0,0,5
20210,9,17,0.7739,0.7065,689,657,263,88,0.8298,120,146,4.58,146,1,N,0,0.0,0.0,0,2
20210,12,22,0.669,0.791,807,701,230,17,0.8071,385,166,6.0,166,1,N,0,0.0,0.0,0,1
20150,44,6,0.7207,0.8679,538,697,389,62,0.8201,262,134,5.28,134,2,N,0,0.0,0.0,0,2
20180,3,37,0.8809,0.8883,667,782,407,31,0.9056,144,96,4.94,96,2,N,0,0.0,0.0,0,5
20110,10,8,0.7746,0.5736,870,363,354,49,0.764,402,183,4.52,183,5,N,0,0.0,0.0,0,4
20240,42,41,0.8552,0.6057,933,871,63,67,0.8785,369,130,3.63,130,1,N,0,0.0,0.0,0,1
20200,14,9,0.9427,0.8963,686,901,102,73,0.9798,459,43,4.33,43,2,N,0,0.0,0.0,0,2
20140,41,27,0.6842,0.8866,659,462,196,28,0.723,462,64,5.83,64,6,N,0,0.0,0.0,0,2
20130,33,2,0.913,0.5791,628,348,358,11,0.805,140,19,5.54,19,3,S,33,4.17,4.63,12,5
20140,44,1,0.8162,0.7115,754,881,475,66,0.8198,151,11,5.14,11,4,N,0,0.0,0.0,0,1
20200,46,1,0.9394,0.7414,302,988,320,91,0.7287,290,78,3.96,78,1,N,0,0.0,0.0,0,3
20200,7,11,0.6485,0.7416,831,642,282,79,0.7842,131,46,5.42,46,5,N,0,0.0,0.0,0,3
20110,8,15,0.7875,0.8561,342,728,279,43,0.8358,380,124,5.87,124,4,N,0,0.0,0.0,0,1
20150,26,47,0.8345,0.7042,171,313,291,55,0.7737,147,42,3.9,42,8,N,0,0.0,0.0,0,2
20170,35,42,0.6476,0.6097,448,983,316,93,0.8485,181,150,4.96,150,3,S,43,3.46,4.88,6,1
20130,41,46,0.7739,0.7891,384,510,354,23,0.919,112,121,4.33,121,10,N,0,0.0,0.0,0,3
20180,38,21,0.7417,0.8427,581,793,486,45,0.7938,240,129,3.87,129,1,N,0,0.0,0.0,0,4
20170,32,43,0.6615,0.898,669,450,483,26,0.8615,169,59,5.21,59,10,N,0,0.0,0.0,0,4
20170,10,44,0.8607,0.8205,742,561,357,92,0.9645,215,136,4.18,136,5,N,0,0.0,0.0,0,1
20240,4,23,0.9412,0.6524,677,185,424,45,0.8236,112,44,4.82,44,1,N,0,0.0,0.0,0,5
20130,30,38,0.9044,0.6803,754,763,433,100,0.9288,360,200,5.57,200,5,N,0,0.0,0.0,0,1
20180,5,23,0.7287,0.7481,384,749,428,40,0.899,102,82,5.08,82,9,N,0,0.0,0.0,0,5
20140,49,6,0.7325,0.6807,478,164,85,67,0.8421,283,167,4.47,167,5,N,0,0.0,0.0,0,1
20100,24,25,0.9495,0.6863,856,839,404,91,0.812,236,175,4.51,175,2,N,0,0.0,0.0,0,1
20150,17,13,0.6098,0.6881,848,174,189,36,0.7577,244,16,5.76,16,2,N,0,0.0,0.0,0,3
20230,26,34,0.6495,0.7159,269,910,293,27,0.7459,91,147,4.06,147,10,N,0,0.0,0.0,0,1
20120,3,26,0.7948,0.793,249,752,272,75,0.9341,331,54,4.79,54,9,N,0,0.0,0.0,0,5
20110,2,28,0.8109,0.5854,201,118,148,43,0.736,69,30,3.88,30,5,N,0,0.0,0.0,0,1
20150,4,7,0.8622,0.6635,334,417,311,46,0.7005,385,117,5.13,117,8,N,0,0.0,0.0,0,5
20100,39,38,0.8443,0.6887,185,449,403,31,0.898,324,188,5.64,188,10,N,0,0.0,0.0,0,4
20130,9,6,0.8146,0.8483,950,383,374,77,0.8076,50,78,4.16,78,4,N,0,0.0,0.0,0,4
20130,26,31,0.7697,0.6389,576,458,322,80,0.8125,197,115,3.77,115,2,N,0,0.0,0.0,0,5
20130,28,26,0.7334,0.7064,356,818,108,76,0.8271,124,159,4.36,159,4,N,0,0.0,0.0,0,3
