ID_CURSO_ACADEMICO_NK,ESTADO_INSCRIPCION,ID_SOLICITUD_NK,ID_EXPEDIENTE_ACADEMICO_NK,SN_MATRICULADO,FECHA_REFERENCIA,ID_CURSO_ACADEMICO,ID_PLAN_ESTUDIO,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_CENTRO,ID_ALUMNO,SEXO_ALUMNO,ID_PAIS_NACIONALIDAD_ALUMNO,FECHA_CARGA,ID_FECHA_CARGA,ID_PERSONA_NIP_NK,ID_CENTRO_NK,ID_PLAN_ESTUDIO_NK,SN_NUEVO_INGRESO,ID_ESTADO_SOL_DOCTORADO,SN_COMPLEMENTO_FORMACION,FLG_MATRICULADO,FLG_NUEVO_INGRESO,FLG_COMPLEMENTO_FORMACION,FLG_TIEMPO_PARCIAL,ID_DEDICACION_NK,ID_DEDICACION,FLG_EXTRANJERO,ID_PAIS_NACIONALIDAD_ALUMNO_NK,FLG_OTRA_UNIVERSIDAD,ID_UNIVERSIDAD_ORIGEN,FLG_OTRA_UNIVERSIDAD_DENOM,ID_ESTUDIO_NK,ID_UNIVERSIDAD_ORIGEN_NK,ID_SEXO_ALUMNO
2017,RZ,10028,20028,N,2024-09-28 13:47:03.559603,20170,20,19,5,12,7,M,16,2025-05-24 13:47:03.759760,20250524,29246218,1200,10020,N,4,N,0,0,0,0,PH,3,1,BLR,0,89,0,1900,890,2
2014,DP,10029,20029,N,2025-05-10 13:47:03.559603,20140,21,47,4,29,2,M,34,2025-05-24 13:47:03.765760,20250524,97077009,2900,10021,N,5,N,0,0,0,1,TC,1,1,AUS,1,5,1,4700,50,2
2020,AD,10030,20030,N,2025-04-20 13:47:03.559603,20200,82,14,5,3,51,H,91,2025-05-24 13:47:03.771758,20250524,62143331,300,10082,N,3,N,0,0,0,0,TC,1,1,QAT,1,54,1,1400,540,1
2019,CE,10031,20031,S,2024-08-11 13:47:03.559603,20190,19,9,1,35,69,H,85,2025-05-24 13:47:03.777767,20250524,56269520,3500,10019,N,7,N,1,0,0,0,SD,5,1,NER,1,66,1,900,660,1
2019,RE,10032,20032,S,2024-06-11 13:47:03.559603,20190,7,32,2,48,67,H,19,2025-05-24 13:47:03.784769,20250524,4324134,4800,10007,S,2,N,1,1,0,0,SD,5,1,CMR,0,16,0,3200,160,1
2010,AD,10033,20033,N,2025-03-09 13:47:03.559603,20100,27,46,8,17,59,H,70,2025-05-24 13:47:03.790760,20250524,33220503,1700,10027,S,3,S,0,1,1,0,PH,3,1,BRN,0,62,0,4600,620,1
2016,CE,10034,20034,N,2024-09-06 13:47:03.559603,20160,34,29,8,31,64,H,75,2025-05-24 13:47:03.796775,20250524,25297417,3100,10034,N,7,N,0,0,0,1,SD,5,1,PRY,0,34,0,2900,340,1
2013,CA,10035,20035,S,2024-09-16 13:47:03.559603,20130,8,50,4,31,40,H,4,2025-05-24 13:47:03.802761,20250524,15922674,3100,10008,N,10,S,1,0,1,1,PH,3,1,CUB,1,50,1,5000,500,1
2010,CA,10036,20036,N,2024-08-10 13:47:03.559603,20100,3,37,2,1,93,M,69,2025-05-24 13:47:03.808761,20250524,67631755,100,10003,N,10,N,0,0,0,1,TP,2,1,TZA,1,3,1,3700,30,2
2015,AD,10037,20037,S,2025-02-18 13:47:03.559603,20150,7,31,9,26,32,M,85,2025-05-24 13:47:03.815686,20250524,50418290,2600,10007,S,3,N,1,1,0,0,SD,5,1,NER,0,52,0,3100,520,2
2017,CA,10038,20038,N,2025-02-08 13:47:03.559603,20170,85,26,3,47,87,H,30,2025-05-24 13:47:03.822173,20250524,58916591,4700,10085,S,10,S,0,1,1,0,TC,1,1,HND,1,39,1,2600,390,1
2022,RE,10039,20039,N,2025-05-02 13:47:03.559603,20220,5,5,2,50,27,H,19,2025-05-24 13:47:03.827926,20250524,56420024,5000,10005,N,2,N,0,0,0,0,SD,5,1,CMR,1,28,1,500,280,1
2015,DC,10040,20040,N,2025-03-19 13:47:03.559603,20150,95,3,8,29,27,H,59,2025-05-24 13:47:03.834927,20250524,56420024,2900,10095,S,6,N,0,1,0,0,PH,3,1,BRA,0,39,0,300,390,1
2010,DP,10041,20041,N,2024-11-18 13:47:03.559603,20100,32,31,1,4,28,H,32,2025-05-24 13:47:03.841920,20250524,50259293,400,10032,N,5,N,0,0,0,1,TP,2,1,THA,1,96,1,3100,960,1
2014,PA,10042,20042,N,2025-05-17 13:47:03.559603,20140,65,15,7,17,12,M,5,2025-05-24 13:47:03.848919,20250524,46241881,1700,10065,N,8,S,0,0,1,0,CR,4,1,SWZ,0,89,0,1500,890,2
2023,CA,10043,20043,S,2024-10-01 13:47:03.559603,20230,10,44,4,27,68,M,62,2025-05-24 13:47:03.854940,20250524,88610233,2700,10010,N,10,S,1,0,1,1,TC,1,1,DMA,0,36,0,4400,360,2
2019,DC,10044,20044,N,2025-02-28 13:47:03.559603,20190,7,14,3,41,66,M,16,2025-05-24 13:47:03.859940,20250524,15145751,4100,10007,S,6,N,0,1,0,0,TP,2,1,BLR,0,40,0,1400,400,2
2017,CA,10045,20045,N,2024-11-29 13:47:03.559603,20170,85,10,6,41,71,H,64,2025-05-24 13:47:03.865930,20250524,2099943,4100,10085,S,10,S,0,1,1,1,CR,4,1,FSM,0,73,0,1000,730,1
2017,DC,10046,20046,S,2024-10-15 13:47:03.559603,20170,36,21,4,50,10,H,47,2025-05-24 13:47:03.871930,20250524,6078694,5000,10036,S,6,N,1,1,0,0,PH,3,1,PRT,0,18,0,2100,180,1
2011,RZ,10047,20047,S,2024-08-26 13:47:03.559603,20110,5,43,8,28,94,M,81,2025-05-24 13:47:03.877940,20250524,38824283,2800,10005,N,4,N,1,0,0,1,TP,2,1,EGY,0,88,0,4300,880,2
2010,DP,10048,20048,N,2024-07-01 13:47:03.559603,20100,39,1,9,33,38,M,84,2025-05-24 13:47:03.883940,20250524,87715861,3300,10039,N,5,N,0,0,0,0,PH,3,1,BWA,0,37,0,100,370,2
2023,AD,10049,20049,S,2025-03-04 13:47:03.559603,20230,72,37,8,27,65,H,95,2025-05-24 13:47:03.889930,20250524,97311066,2700,10072,N,3,S,1,0,1,0,PH,3,1,NLD,0,21,0,3700,210,1
2014,MC,10050,20050,N,2025-04-05 13:47:03.559603,20140,78,16,4,7,91,H,79,2025-05-24 13:47:03.896931,20250524,7575790,700,10078,N,9,N,0,0,0,0,SD,5,1,NAM,0,52,0,1600,520,1
2018,CA,10051,20051,S,2024-11-25 13:47:03.559603,20180,87,20,9,23,46,M,87,2025-05-24 13:47:03.902623,20250524,97691465,2300,10087,N,10,N,1,0,0,1,PH,3,1,MWI,0,40,0,2000,400,2
2022,CA,10052,20052,S,2024-07-31 13:47:03.559603,20220,91,47,5,36,5,H,99,2025-05-24 13:47:03.908618,20250524,34152669,3600,10091,S,10,N,1,1,0,1,SD,5,1,KWT,0,7,0,4700,70,1
2012,RZ,10053,20053,N,2025-02-21 13:47:03.559603,20120,27,8,5,20,85,M,57,2025-05-24 13:47:03.914766,20250524,5937353,2000,10027,S,4,N,0,1,0,0,CR,4,1,MLI,0,63,0,800,630,2
2017,RE,10054,20054,S,2024-10-13 13:47:03.559603,20170,97,19,5,40,57,M,56,2025-05-24 13:47:03.920784,20250524,50905625,4000,10097,S,2,N,1,1,0,1,SD,5,1,LIE,0,35,0,1900,350,2
2012,MC,10055,20055,S,2025-04-09 13:47:03.559603,20120,55,27,4,5,47,H,58,2025-05-24 13:47:03.926469,20250524,29888974,500,10055,S,9,S,1,1,1,0,CR,4,1,BGR,1,34,1,2700,340,1
2015,RE,10056,20056,N,2025-01-03 13:47:03.559603,20150,12,23,4,27,3,H,52,2025-05-24 13:47:03.932512,20250524,2921981,2700,10012,S,2,N,0,1,0,1,TC,1,1,EST,1,39,1,2300,390,1
2014,CA,10057,20057,N,2024-06-10 13:47:03.559603,20140,41,2,6,6,70,H,66,2025-05-24 13:47:03.938230,20250524,82533595,600,10041,N,10,N,0,0,0,1,CR,4,1,CAF,1,48,1,200,480,1
2024,P1,10058,20058,N,2024-07-21 13:47:03.559603,20240,48,46,3,49,26,M,56,2025-05-24 13:47:03.944229,20250524,86688655,4900,10048,S,1,N,0,1,0,0,TP,2,1,LIE,1,77,1,4600,770,2
2022,DP,10059,20059,S,2024-06-22 13:47:03.559603,20220,3,42,7,3,96,H,79,2025-05-24 13:47:03.950220,20250524,98182614,300,10003,N,5,S,1,0,1,1,SD,5,1,NAM,1,53,1,4200,530,1
2011,CE,10060,20060,N,2025-01-11 13:47:03.559603,20110,73,33,2,2,12,M,18,2025-05-24 13:47:03.957067,20250524,46241881,200,10073,N,7,S,0,0,1,1,SD,5,1,ZAF,0,23,0,3300,230,2
2012,CE,10061,20061,N,2024-07-09 13:47:03.559603,20120,22,25,6,15,13,H,17,2025-05-24 13:47:03.964076,20250524,94004067,1500,10022,S,7,N,0,1,0,0,PH,3,1,URY,0,70,0,2500,700,1
2023,DP,10062,20062,S,2025-03-15 13:47:03.559603,20230,12,23,4,9,45,M,19,2025-05-24 13:47:03.970077,20250524,17092236,900,10012,N,5,S,1,0,1,1,TP,2,1,CMR,0,73,0,2300,730,2
2016,CE,10063,20063,N,2025-04-04 13:47:03.559603,20160,9,18,9,11,32,M,74,2025-05-24 13:47:03.976076,20250524,50418290,1100,10009,N,7,N,0,0,0,0,TP,2,1,SRB,1,83,1,1800,830,2
2020,RE,10064,20064,N,2025-03-26 13:47:03.559603,20200,11,25,1,49,39,M,87,2025-05-24 13:47:03.982076,20250524,46676884,4900,10011,S,2,N,0,1,0,1,TC,1,1,MWI,0,35,0,2500,350,2
2019,MC,10065,20065,S,2024-09-26 13:47:03.559603,20190,96,11,1,5,16,M,78,2025-05-24 13:47:03.988072,20250524,8087373,500,10096,S,9,N,1,1,0,1,TP,2,1,GNQ,0,12,0,1100,120,2
2010,MC,10066,20066,N,2025-02-20 13:47:03.559603,20100,4,44,4,37,62,M,11,2025-05-24 13:47:03.995060,20250524,20820038,3700,10004,N,9,S,0,0,1,1,PH,3,1,GIN,0,47,0,4400,470,2
2018,AD,10067,20067,S,2025-02-19 13:47:03.559603,20180,54,5,2,8,87,H,88,2025-05-24 13:47:04.001059,20250524,58916591,800,10054,S,3,N,1,1,0,0,PH,3,1,ESP,0,44,0,500,440,1
2012,CE,10068,20068,S,2024-11-08 13:47:03.559603,20120,98,9,1,42,8,H,75,2025-05-24 13:47:04.012388,20250524,77619624,4200,10098,S,7,S,1,1,1,0,SD,5,1,PRY,0,68,0,900,680,1
2012,CE,10069,20069,S,2025-04-28 13:47:03.559603,20120,98,17,4,31,58,H,76,2025-05-24 13:47:04.019776,20250524,30824989,3100,10098,S,7,S,1,1,1,1,TP,2,1,COM,1,7,1,1700,70,1
2024,PA,10070,20070,S,2024-10-02 13:47:03.559603,20240,37,42,8,19,94,M,39,2025-05-24 13:47:04.025777,20250524,38824283,1900,10037,N,8,N,1,0,0,0,PH,3,1,HUN,1,9,1,4200,90,2
2011,CE,10071,20071,N,2025-01-26 13:47:03.559603,20110,82,5,9,41,37,M,66,2025-05-24 13:47:04.031779,20250524,17849589,4100,10082,N,7,S,0,0,1,0,PH,3,1,CAF,0,1,0,500,10,2
2016,AD,10072,20072,S,2024-09-26 13:47:03.559603,20160,52,27,5,26,23,M,82,2025-05-24 13:47:04.037439,20250524,18176954,2600,10052,S,3,S,1,1,1,1,SD,5,1,PAN,1,55,1,2700,550,2
2017,P1,10073,20073,N,2025-02-07 13:47:03.559603,20170,19,29,10,5,74,H,57,2025-05-24 13:47:04.044225,20250524,9031632,500,10019,S,1,N,0,1,0,1,TP,2,1,MLI,0,78,0,2900,780,1
2021,AD,10074,20074,N,2025-05-15 13:47:03.559603,20210,20,24,10,42,35,M,36,2025-05-24 13:47:04.050243,20250524,88824290,4200,10020,N,3,N,0,0,0,0,PH,3,1,TUN,0,75,0,2400,750,2
2022,RZ,10075,20075,S,2024-06-13 13:47:03.559603,20220,83,29,8,45,52,M,93,2025-05-24 13:47:04.056243,20250524,90395620,4500,10083,N,4,N,1,0,0,1,CR,4,1,CHL,0,45,0,2900,450,2
2019,RE,10076,20076,S,2024-12-15 13:47:03.559603,20190,99,25,4,5,45,M,91,2025-05-24 13:47:04.062223,20250524,17092236,500,10099,S,2,S,1,1,1,0,PH,3,1,QAT,1,4,1,2500,40,2
2021,P1,10077,20077,N,2024-10-30 13:47:03.559603,20210,79,13,4,31,20,M,100,2025-05-24 13:47:04.068278,20250524,38532662,3100,10079,S,1,N,0,1,0,0,TC,1,1,VUT,0,48,0,1300,480,2
2012,CA,10078,20078,S,2024-05-31 13:47:03.559603,20120,31,22,4,43,99,M,6,2025-05-24 13:47:04.074310,20250524,77507357,4300,10031,N,10,S,1,0,1,0,PH,3,1,UKR,1,65,1,2200,650,2
2021,DC,10079,20079,S,2024-12-15 13:47:03.559603,20210,51,9,10,40,36,M,76,2025-05-24 13:47:04.080311,20250524,72383656,4000,10051,S,6,S,1,1,1,1,TP,2,1,COM,0,19,0,900,190,2
2018,AD,10080,20080,S,2025-01-25 13:47:03.559603,20180,22,12,4,32,27,H,65,2025-05-24 13:47:04.086311,20250524,56420024,3200,10022,S,3,N,1,1,0,0,CR,4,1,KOR,0,68,0,1200,680,1
2015,CA,10081,20081,N,2025-05-14 13:47:03.559603,20150,36,5,2,32,87,H,92,2025-05-24 13:47:04.092310,20250524,58916591,3200,10036,S,10,S,0,1,1,0,PH,3,1,ERI,1,86,1,500,860,1
2017,DC,10082,20082,S,2025-03-09 13:47:03.559603,20170,90,15,8,45,99,M,22,2025-05-24 13:47:04.099149,20250524,77507357,4500,10090,N,6,N,1,0,0,0,CR,4,1,FIN,1,16,1,1500,160,2
2019,MC,10083,20083,N,2025-03-29 13:47:03.559603,20190,79,29,10,20,52,M,48,2025-05-24 13:47:04.105141,20250524,90395620,2000,10079,N,9,N,0,0,0,0,TC,1,1,ATG,0,50,0,2900,500,2
2014,MC,10084,20084,S,2025-03-10 13:47:03.559603,20140,62,50,5,46,99,M,43,2025-05-24 13:47:04.111141,20250524,77507357,4600,10062,S,9,S,1,1,1,1,TP,2,1,TWN,1,55,1,5000,550,2
2021,CE,10085,20085,N,2025-04-17 13:47:03.559603,20210,17,49,1,42,79,H,83,2025-05-24 13:47:04.118077,20250524,80233330,4200,10017,N,7,N,0,0,0,0,SD,5,1,BEL,0,85,0,4900,850,1
2023,AD,10086,20086,N,2024-09-15 13:47:03.559603,20230,40,25,9,15,13,H,86,2025-05-24 13:47:04.124083,20250524,94004067,1500,10040,S,3,S,0,1,1,0,SD,5,1,BHR,0,23,0,2500,230,1
2015,DP,10087,20087,S,2025-01-29 13:47:03.559603,20150,86,6,2,12,38,M,36,2025-05-24 13:47:04.130182,20250524,87715861,1200,10086,S,5,S,1,1,1,0,PH,3,1,TUN,1,97,1,600,970,2
2020,AD,10088,20088,N,2024-12-17 13:47:03.559603,20200,30,27,2,49,94,M,30,2025-05-24 13:47:04.137182,20250524,38824283,4900,10030,N,3,S,0,0,1,0,TP,2,1,HND,1,78,1,2700,780,2
2011,RE,10089,20089,S,2024-10-04 13:47:03.559603,20110,36,50,4,6,22,H,90,2025-05-24 13:47:04.143191,20250524,24156684,600,10036,N,2,S,1,0,1,0,TP,2,1,TTO,1,84,1,5000,840,1
2021,MC,10090,20090,S,2024-07-30 13:47:03.559603,20210,72,21,1,9,88,H,93,2025-05-24 13:47:04.149177,20250524,31452485,900,10072,S,9,S,1,1,1,0,TC,1,1,CHL,1,21,1,2100,210,1
2017,PA,10091,20091,N,2025-04-01 13:47:03.559603,20170,69,8,5,9,64,H,35,2025-05-24 13:47:04.155208,20250524,25297417,900,10069,N,8,S,0,0,1,1,CR,4,1,IRQ,1,51,1,800,510,1
2015,CE,10092,20092,N,2025-03-26 13:47:03.559603,20150,82,44,6,1,94,M,32,2025-05-24 13:47:04.161778,20250524,38824283,100,10082,N,7,S,0,0,1,1,CR,4,1,THA,0,75,0,4400,750,2
2019,P1,10093,20093,N,2024-08-03 13:47:03.559603,20190,17,43,7,48,83,M,41,2025-05-24 13:47:04.167785,20250524,32847661,4800,10017,N,1,S,0,0,1,0,TP,2,1,MOZ,1,49,1,4300,490,2
2017,PA,10094,20094,N,2024-08-02 13:47:03.559603,20170,97,7,3,45,35,M,49,2025-05-24 13:47:04.173342,20250524,88824290,4500,10097,S,8,S,0,1,1,0,PH,3,1,BIH,0,65,0,700,650,2
2016,CA,10095,20095,S,2025-04-19 13:47:03.559603,20160,24,2,9,26,32,M,70,2025-05-24 13:47:04.179856,20250524,50418290,2600,10024,N,10,S,1,0,1,0,TC,1,1,BRN,1,21,1,200,210,2
2021,DP,10096,20096,S,2025-02-14 13:47:03.559603,20210,90,47,7,38,62,M,60,2025-05-24 13:47:04.185860,20250524,20820038,3800,10090,S,5,N,1,1,0,0,CR,4,1,RUS,1,19,1,4700,190,2
2024,CA,10097,20097,S,2025-01-24 13:47:03.559603,20240,64,26,9,35,48,H,16,2025-05-24 13:47:04.192852,20250524,466177,3500,10064,S,10,N,1,1,0,1,TP,2,1,BLR,0,89,0,2600,890,1
2024,CE,10098,20098,S,2024-10-16 13:47:03.559603,20240,2,38,5,17,22,H,81,2025-05-24 13:47:04.199845,20250524,24156684,1700,10002,S,7,N,1,1,0,1,SD,5,1,EGY,0,61,0,3800,610,1
2018,DP,10099,20099,S,2024-11-26 13:47:03.559603,20180,35,38,8,40,14,H,82,2025-05-24 13:47:04.205848,20250524,8557710,4000,10035,N,5,N,1,0,0,1,SD,5,1,PAN,1,48,1,3800,480,1
2018,DC,10100,20100,N,2024-09-09 13:47:03.559603,20180,71,12,1,50,66,M,54,2025-05-24 13:47:04.212853,20250524,15145751,5000,10071,N,6,N,0,0,0,0,SD,5,1,MRT,1,47,1,1200,470,2
2022,CE,10101,20101,N,2025-02-23 13:47:03.559603,20220,3,6,9,11,19,M,90,2025-05-24 13:47:04.218852,20250524,4259382,1100,10003,N,7,N,0,0,0,0,TP,2,1,TTO,1,37,1,600,370,2
2018,DP,10102,20102,S,2024-09-01 13:47:03.559603,20180,77,42,3,21,49,H,30,2025-05-24 13:47:04.224860,20250524,3051483,2100,10077,N,5,N,1,0,0,1,SD,5,1,HND,1,13,1,4200,130,1
2017,AD,10103,20103,S,2025-01-05 13:47:03.559603,20170,13,50,10,17,77,M,90,2025-05-24 13:47:04.230860,20250524,4506531,1700,10013,N,3,S,1,0,1,0,TP,2,1,TTO,0,38,0,5000,380,2
2012,CA,10104,20104,S,2025-02-21 13:47:03.559603,20120,48,27,5,24,40,H,78,2025-05-24 13:47:04.236853,20250524,15922674,2400,10048,S,10,S,1,1,1,0,TC,1,1,GNQ,0,64,0,2700,640,1
2023,AD,10105,20105,S,2024-09-14 13:47:03.559603,20230,34,15,4,1,5,H,17,2025-05-24 13:47:04.242860,20250524,34152669,100,10034,S,3,S,1,1,1,1,CR,4,1,URY,1,29,1,1500,290,1
2018,RE,10106,20106,N,2025-01-19 13:47:03.559603,20180,94,23,8,3,44,M,17,2025-05-24 13:47:04.248853,20250524,70980044,300,10094,S,2,S,0,1,1,1,TC,1,1,URY,0,4,0,2300,40,2
2022,PA,10107,20107,S,2025-03-12 13:47:03.559603,20220,25,37,5,13,59,H,74,2025-05-24 13:47:04.255841,20250524,33220503,1300,10025,N,8,S,1,0,1,0,PH,3,1,SRB,1,2,1,3700,20,1
2023,P1,10108,20108,N,2024-12-10 13:47:03.559603,20230,46,11,2,39,60,H,45,2025-05-24 13:47:04.261894,20250524,61824078,3900,10046,S,1,N,0,1,0,0,PH,3,1,NOR,0,29,0,1100,290,1
2020,DP,10109,20109,N,2025-04-03 13:47:03.559603,20200,81,48,10,18,87,H,98,2025-05-24 13:47:04.267988,20250524,58916591,1800,10081,N,5,S,0,0,1,0,CR,4,1,COL,1,92,1,4800,920,1
2013,PA,10110,20110,S,2024-12-27 13:47:03.559603,20130,100,35,7,23,91,H,61,2025-05-24 13:47:04.273991,20250524,7575790,2300,10100,S,8,S,1,1,1,1,TP,2,1,CHN,1,64,1,3500,640,1
2022,CE,10111,20111,S,2025-04-21 13:47:03.559603,20220,68,11,9,21,91,H,54,2025-05-24 13:47:04.280033,20250524,7575790,2100,10068,N,7,S,1,0,1,1,TC,1,1,MRT,0,17,0,1100,170,1
