ID_SOLICITUD_MOVILIDAD_NK,ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_ALUMNO_NIP_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_ACADEMICO,ID_ALUMNO,ID_PAIS_NACIONALIDAD,ID_SEXO,ID_PLAN_ESTUDIO,ID_TIPO_ESTUDIO,ID_CENTRO,ID_TIPO_ACCESO,ID_AREA_ESTUDIOS_MOVILIDAD,ID_NIVEL_ESTUDIOS_MOVILIDAD,ID_IDIOMA_MOVILIDAD,ID_FECHA_SOLICITUD,ID_RANGO_NOTA_ADMISION,ID_RANGO_CRED_SUPERADOS_PREVIO,ORDEN_PREFERENCIA,FLG_ACEPTADA,FLG_RENUNCIA,ACEPTADA,RENUNCIA,EDAD,DURACION_ESTANCIA,ANOS_CURSADOS,CREDITOS_SUPERADOS,NOTA_ADMISION,FECHA_CARGA,ID_POBLACION_FAMILIAR,ID_PROGRAMA_MOVILIDAD,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_FECHA_CARGA,ID_EDAD_EST,ID_UNIVERSIDAD_DESTINO,ID_PAIS_UNIVERSIDAD_DESTINO
1100066,2018,1200066,1400066,20180,1300066,1500066,32,1,64,9,4,3,19,7,12,20220701,4,2,5,S,N,1,0,26,6,3,49,5.66,2022-07-26,291,8,35,5,20220624,2,56,82
1100067,2021,1200067,1400067,20210,1300067,1500067,65,1,30,5,3,5,19,2,10,20220505,1,3,4,N,N,0,0,29,11,1,103,11.06,2022-05-21,105,8,2,5,20220105,1,86,100
1100068,2021,1200068,1400068,20210,1300068,1500068,10,1,80,7,9,4,19,8,2,20210606,3,7,4,S,N,1,0,26,8,1,42,10.01,2022-08-13,419,5,31,4,20230427,7,1,76
1100069,2016,1200069,1400069,20160,1300069,1500069,10,2,33,9,20,6,7,4,10,20201203,2,1,3,N,N,0,0,27,12,4,77,12.15,2022-04-15,489,9,22,6,20230811,2,21,90
1100070,2021,1200070,1400070,20210,1300070,1500070,70,1,19,3,17,9,12,3,14,20200423,5,6,2,N,N,0,0,27,5,4,86,7.0,2023-04-22,277,7,34,4,20221115,2,76,70
1100071,2016,1200071,1400071,20160,1300071,1500071,29,2,97,1,38,13,13,1,5,20200215,5,3,5,S,N,1,0,18,12,2,170,7.47,2023-12-25,142,3,33,7,20230702,5,7,33
1100072,2022,1200072,1400072,20220,1300072,1500072,92,2,45,7,40,3,7,8,12,20221124,4,6,2,S,N,1,0,26,6,1,132,7.47,2023-01-17,169,4,24,2,20231122,3,48,35
1100073,2014,1200073,1400073,20140,1300073,1500073,36,1,85,2,33,10,8,6,4,20210430,3,3,4,N,N,0,0,23,10,2,85,6.56,2022-11-25,198,5,8,6,20220226,2,97,9
1100074,2013,1200074,1400074,20130,1300074,1500074,62,2,25,8,18,7,16,2,6,20221017,4,6,4,N,N,0,0,22,6,1,150,5.3,2022-02-22,283,8,9,4,20230106,4,82,48
1100075,2017,1200075,1400075,20170,1300075,1500075,53,2,10,5,14,5,15,6,14,20221224,5,6,2,N,N,0,0,27,7,4,53,12.56,2022-02-07,92,2,34,3,20220821,7,44,47
1100076,2023,1200076,1400076,20230,1300076,1500076,15,2,26,1,22,4,4,3,12,20200512,3,1,5,N,N,0,0,29,4,2,165,11.78,2022-09-11,468,1,32,6,20220309,1,71,50
1100077,2018,1200077,1400077,20180,1300077,1500077,66,2,99,5,15,4,19,1,15,20211212,1,3,1,N,N,0,0,18,8,3,102,10.93,2023-09-12,423,1,50,4,20230920,6,78,78
1100078,2016,1200078,1400078,20160,1300078,1500078,10,2,67,2,50,8,17,1,5,20211108,4,1,1,S,S,1,1,26,6,2,47,6.42,2023-06-13,207,5,48,7,20220922,7,54,91
1100079,2018,1200079,1400079,20180,1300079,1500079,57,1,39,6,21,14,4,5,15,20220103,2,6,2,N,N,0,0,23,8,3,157,10.8,2023-08-27,179,6,18,10,20230928,3,86,31
1100080,2024,1200080,1400080,20240,1300080,1500080,20,1,33,8,20,10,16,5,8,20200304,1,4,3,N,N,0,0,28,8,4,158,11.99,2023-09-30,201,3,44,2,20230105,6,54,73
1100081,2023,1200081,1400081,20230,1300081,1500081,81,1,38,1,23,12,19,1,13,20201010,1,7,2,S,N,1,0,28,11,4,169,6.38,2022-02-16,203,9,22,3,20221116,10,77,86
1100082,2015,1200082,1400082,20150,1300082,1500082,87,2,11,5,16,1,4,2,15,20220126,4,4,2,N,N,0,0,23,7,4,46,11.25,2022-12-14,228,8,33,4,20220814,5,21,55
1100083,2016,1200083,1400083,20160,1300083,1500083,47,2,62,4,49,2,7,6,15,20211204,4,4,3,S,N,1,0,29,7,4,33,6.73,2022-04-22,72,7,46,7,20230221,3,31,89
1100084,2021,1200084,1400084,20210,1300084,1500084,84,1,35,6,22,15,13,6,1,20200416,4,4,3,N,N,0,0,23,5,3,138,6.17,2023-10-22,242,9,44,2,20230425,7,88,19
1100085,2014,1200085,1400085,20140,1300085,1500085,23,1,25,9,50,8,16,3,6,20221023,4,3,5,S,N,1,0,30,11,3,63,12.11,2023-08-17,94,3,29,3,20231002,3,45,52
1100086,2010,1200086,1400086,20100,1300086,1500086,17,2,19,6,5,10,2,8,3,20201202,4,2,1,S,N,1,0,21,7,1,133,11.34,2022-11-14,1,7,47,8,20221017,8,15,5
1100087,2015,1200087,1400087,20150,1300087,1500087,18,2,64,6,6,7,7,8,13,20200928,1,6,4,N,N,0,0,25,10,1,86,9.85,2022-03-20,229,4,29,1,20221202,7,68,43
1100088,2018,1200088,1400088,20180,1300088,1500088,93,2,66,1,45,14,19,7,15,20210103,3,1,1,N,N,0,0,21,3,1,179,10.29,2023-02-24,80,3,44,4,20220331,6,12,29
1100089,2020,1200089,1400089,20200,1300089,1500089,66,2,51,6,24,8,12,5,2,20220112,1,4,1,N,N,0,0,29,8,4,43,9.24,2022-07-04,113,10,42,6,20220326,3,54,51
1100090,2018,1200090,1400090,20180,1300090,1500090,41,2,47,1,5,10,16,8,6,20200801,1,7,2,N,N,0,0,29,7,4,94,13.28,2022-11-18,364,2,47,8,20220709,3,32,76
1100091,2012,1200091,1400091,20120,1300091,1500091,53,1,38,2,46,9,4,3,6,20200107,5,6,2,S,N,1,0,26,6,1,84,11.84,2022-05-14,162,2,17,7,20231115,10,72,1
1100092,2023,1200092,1400092,20230,1300092,1500092,16,2,68,9,48,2,4,2,8,20220903,5,1,2,N,N,0,0,26,6,3,141,13.33,2022-11-09,209,10,18,6,20220530,6,78,53
1100093,2014,1200093,1400093,20140,1300093,1500093,82,2,90,10,7,4,16,4,3,20220711,4,6,2,N,N,0,0,19,3,3,40,12.66,2022-07-29,459,2,33,7,20220903,10,93,97
1100094,2022,1200094,1400094,20220,1300094,1500094,18,2,55,9,11,8,10,2,2,20200912,5,3,2,S,N,1,0,25,6,1,50,10.58,2023-09-30,427,5,26,5,20220214,4,78,33
1100095,2015,1200095,1400095,20150,1300095,1500095,30,2,65,5,37,14,15,1,7,20200402,2,7,5,S,N,1,0,19,4,2,159,12.36,2023-04-10,72,4,3,4,20230202,2,26,91
1100096,2021,1200096,1400096,20210,1300096,1500096,75,1,38,6,27,1,9,1,1,20200429,5,2,3,S,N,1,0,21,3,1,171,10.72,2023-10-23,219,1,38,7,20230116,6,31,51
1100097,2017,1200097,1400097,20170,1300097,1500097,24,2,53,1,36,15,17,7,10,20200831,1,3,3,S,N,1,0,26,4,1,54,12.07,2022-11-26,407,9,18,5,20231005,6,37,2
1100098,2011,1200098,1400098,20110,1300098,1500098,61,1,32,10,4,6,1,8,13,20220104,3,6,3,S,S,1,1,30,12,4,95,9.7,2022-12-01,209,4,13,4,20221201,9,63,12
1100099,2024,1200099,1400099,20240,1300099,1500099,61,2,32,1,34,13,10,4,12,20221018,1,5,2,S,N,1,0,25,8,2,149,9.5,2022-02-23,37,8,24,8,20230318,6,28,5
1100100,2023,1200100,1400100,20230,1300100,1500100,68,2,59,6,45,1,12,4,10,20221226,2,2,3,S,N,1,0,30,5,3,174,13.69,2023-06-13,214,2,43,3,20230213,2,30,25
1100101,2010,1200101,1400101,20100,1300101,1500101,23,2,84,4,32,2,3,3,3,20200522,4,4,3,S,N,1,0,29,6,1,144,9.83,2023-04-29,221,8,29,5,20221218,3,25,74
1100102,2015,1200102,1400102,20150,1300102,1500102,44,2,68,6,14,12,1,7,5,20200217,4,6,4,S,N,1,0,19,5,2,79,9.47,2023-05-09,375,6,20,10,20230723,7,23,62
1100103,2012,1200103,1400103,20120,1300103,1500103,46,1,93,10,25,11,12,5,6,20210707,5,1,5,N,N,0,0,24,5,1,124,12.73,2022-11-23,124,8,43,4,20230808,5,33,72
1100104,2013,1200104,1400104,20130,1300104,1500104,15,2,4,8,35,7,12,4,8,20211118,4,5,5,N,N,0,0,28,10,3,163,5.49,2022-01-07,145,5,15,2,20230304,6,75,73
1100105,2010,1200105,1400105,20100,1300105,1500105,4,2,53,6,13,12,2,6,12,20220403,5,2,1,S,N,1,0,20,4,3,113,11.15,2023-10-06,393,6,49,8,20231231,7,83,40
1100106,2022,1200106,1400106,20220,1300106,1500106,79,1,40,10,45,2,20,8,3,20210310,4,7,4,S,N,1,0,21,6,2,148,11.35,2023-05-17,487,8,50,9,20230825,9,12,49
1100107,2011,1200107,1400107,20110,1300107,1500107,65,1,20,3,4,5,17,4,3,20221031,1,2,2,S,N,1,0,25,5,1,70,5.89,2022-12-24,102,4,32,6,20220804,2,71,57
1100108,2018,1200108,1400108,20180,1300108,1500108,33,1,75,9,48,15,10,8,4,20201224,1,7,4,S,N,1,0,21,5,4,92,7.84,2023-02-18,284,3,41,2,20221031,3,15,40
1100109,2016,1200109,1400109,20160,1300109,1500109,85,2,93,7,43,13,20,1,11,20221211,2,5,1,N,N,0,0,30,6,3,44,13.82,2023-05-11,154,4,46,3,20231010,9,30,80
1100110,2018,1200110,1400110,20180,1300110,1500110,47,1,25,3,34,11,11,3,1,20200527,5,2,3,S,N,1,0,22,3,4,97,12.35,2022-04-19,267,6,11,6,20221216,6,41,100
1100111,2017,1200111,1400111,20170,1300111,1500111,83,1,27,3,35,3,7,5,8,20200214,1,6,4,S,S,1,1,30,6,4,114,5.92,2022-06-14,166,7,34,6,20220210,3,25,85
1100112,2014,1200112,1400112,20140,1300112,1500112,97,2,89,10,43,2,8,5,14,20220925,4,1,4,S,N,1,0,18,11,2,180,8.71,2022-09-26,110,9,11,8,20231029,9,58,9
1100113,2023,1200113,1400113,20230,1300113,1500113,61,1,84,7,36,11,1,7,14,20200222,4,6,1,S,N,1,0,18,12,4,149,13.0,2022-10-23,475,1,38,8,20220506,5,73,44
1100114,2018,1200114,1400114,20180,1300114,1500114,99,2,31,7,27,9,6,4,8,20200315,1,4,2,S,S,1,1,30,7,1,111,6.1,2022-09-26,480,7,17,8,20230331,3,44,6
1100115,2023,1200115,1400115,20230,1300115,1500115,93,1,88,6,12,15,11,6,6,20220525,3,7,3,N,N,0,0,18,3,1,124,12.48,2022-01-12,406,5,43,7,20230806,5,52,51
1100116,2018,1200116,1400116,20180,1300116,1500116,62,1,61,8,20,9,14,8,3,20210519,5,5,1,S,N,1,0,28,8,4,73,5.57,2023-06-01,357,5,3,7,20221119,1,40,16
1100117,2019,1200117,1400117,20190,1300117,1500117,13,1,18,5,23,5,19,5,3,20220623,4,1,5,S,N,1,0,27,8,2,173,7.71,2023-08-04,267,1,9,2,20230604,5,60,9
1100118,2010,1200118,1400118,20100,1300118,1500118,51,1,1,4,33,13,3,6,6,20221003,2,2,4,N,N,0,0,18,3,1,92,10.7,2022-01-22,239,7,30,3,20220308,8,92,75
1100119,2024,1200119,1400119,20240,1300119,1500119,42,2,39,4,9,8,5,6,3,20221029,2,6,4,N,N,0,0,21,6,2,83,8.84,2023-09-01,318,5,4,6,20220919,8,39,65
1100120,2021,1200120,1400120,20210,1300120,1500120,65,2,40,1,45,1,19,4,15,20201004,5,2,3,N,N,0,0,26,10,2,94,10.45,2023-02-25,210,5,45,3,20230813,6,93,52
1100121,2024,1200121,1400121,20240,1300121,1500121,92,1,10,9,45,9,10,2,8,20221229,5,3,2,S,N,1,0,27,8,1,98,13.73,2022-05-31,354,1,42,10,20221110,1,99,92
1100122,2018,1200122,1400122,20180,1300122,1500122,19,1,17,1,25,4,1,7,8,20200222,1,4,2,N,N,0,0,21,11,4,65,12.92,2022-11-23,208,10,10,7,20230817,8,90,93
1100123,2010,1200123,1400123,20100,1300123,1500123,34,2,70,4,8,8,13,7,5,20200731,1,4,2,S,N,1,0,30,5,3,95,12.59,2023-12-12,231,9,5,2,20220412,2,4,60
1100124,2012,1200124,1400124,20120,1300124,1500124,48,2,18,3,37,15,8,6,3,20210930,1,5,1,N,N,0,0,26,8,3,86,5.34,2023-08-29,380,10,3,4,20230709,8,100,85
1100125,2020,1200125,1400125,20200,1300125,1500125,85,1,29,10,38,10,16,3,8,20200316,4,2,1,N,N,0,0,25,5,4,71,10.49,2023-08-12,368,8,19,6,20220531,4,58,77
1100126,2016,1200126,1400126,20160,1300126,1500126,75,2,56,10,28,13,11,2,8,20200402,3,3,5,N,N,0,0,20,12,1,81,9.44,2023-12-26,5,10,15,6,20230625,7,8,4
1100127,2022,1200127,1400127,20220,1300127,1500127,96,1,82,4,4,6,3,6,14,20211224,2,6,5,S,N,1,0,23,5,3,96,5.19,2022-03-08,357,4,11,9,20230805,4,68,82
1100128,2011,1200128,1400128,20110,1300128,1500128,32,2,50,8,25,5,4,1,13,20200613,1,2,4,N,N,0,0,28,5,3,103,10.85,2023-03-07,356,6,4,6,20230426,5,85,87
1100129,2010,1200129,1400129,20100,1300129,1500129,92,2,24,2,46,3,2,4,14,20200720,1,5,4,N,N,0,0,19,4,2,129,7.35,2022-11-19,170,8,27,7,20230613,2,8,77
