ID_CURSO_ACADEMICO,ID_PLAN_ESTUDIO,TASA_EXITO_PONDERADA,TASA_RENDIMIENTO_PONDERADA,BASE_PONDERACION_TASAS_EXITO,BASE_PONDERACION_TASAS_RTO,TASA_EFICIENCIA_PONDERADA,BASE_PONDERACION_TASAS_EGRE,ALUMNOS_GRADUADOS,DURACION_PONDERADA,BASE_PONDERACION_DURACION,ALUMNOS_MATRICULADOS,ALUMNOS_MATRICULADOS_NING
20170,49,0.618,0.6308,411,370,0.9788,94,64,4.11,64,269,99
20180,16,0.8485,0.8445,218,469,0.7253,116,102,5.03,102,399,76
20130,75,0.6763,0.5552,861,794,0.8729,407,90,4.6,90,318,44
20180,8,0.7813,0.6223,622,856,0.8594,99,159,3.53,159,89,19
20120,19,0.824,0.8135,916,215,0.9294,476,14,4.69,14,456,65
20230,67,0.6707,0.8163,427,130,0.7054,257,54,4.11,54,216,60
20130,89,0.8358,0.8422,545,278,0.7456,52,22,3.66,22,486,42
20210,36,0.8743,0.5515,647,122,0.8333,285,120,4.73,120,230,95
20200,51,0.6399,0.6538,283,808,0.8912,290,48,4.35,48,383,82
20230,80,0.772,0.7532,859,811,0.7358,252,16,4.61,16,100,50
20160,54,0.6774,0.7992,587,964,0.8465,375,44,5.98,44,362,34
20100,62,0.6328,0.6868,808,278,0.8354,380,134,5.59,134,358,73
20190,24,0.6646,0.8636,835,827,0.9484,479,82,4.49,82,359,36
20100,48,0.876,0.8968,146,340,0.9181,264,121,3.8,121,253,95
20130,86,0.9429,0.7724,906,905,0.9586,463,131,4.51,131,436,36
20150,7,0.8725,0.6871,149,649,0.9709,214,160,4.99,160,219,95
20230,11,0.9275,0.6594,968,142,0.9036,268,100,5.95,100,404,52
20210,5,0.9324,0.604,419,123,0.8241,70,130,5.57,130,94,68
20140,20,0.9188,0.5983,882,439,0.8807,300,129,3.83,129,135,96
20150,55,0.795,0.7698,168,236,0.7077,421,46,5.91,46,114,24
20190,97,0.9371,0.8339,828,564,0.8468,272,81,4.82,81,187,100
20180,30,0.9008,0.6626,810,191,0.8343,133,73,5.33,73,455,92
20170,87,0.9123,0.8641,560,244,0.7782,70,169,4.55,169,327,83
20180,3,0.8726,0.8123,595,494,0.7393,234,99,3.96,99,203,22
20190,100,0.8581,0.7598,210,746,0.9145,363,90,5.78,90,111,69
20160,22,0.6547,0.7307,424,988,0.8993,459,122,4.47,122,305,55
20230,48,0.7983,0.7443,636,710,0.7833,118,127,5.81,127,228,80
20110,10,0.8868,0.895,365,959,0.786,344,108,5.91,108,222,37
20160,89,0.8388,0.644,823,339,0.8288,133,182,4.12,182,337,99
20200,79,0.6789,0.7316,314,762,0.7575,221,145,4.57,145,307,43
20210,9,0.8009,0.8502,416,929,0.8651,235,144,4.2,144,246,35
20160,80,0.8122,0.8498,160,312,0.7784,191,124,4.52,124,493,30
20190,99,0.8946,0.8661,921,994,0.8313,121,11,4.48,11,203,96
20100,87,0.9224,0.5792,587,181,0.7622,138,193,4.72,193,376,90
20170,2,0.626,0.8655,142,162,0.7833,223,131,5.28,131,446,92
20130,58,0.8453,0.8521,713,957,0.9086,450,168,5.49,168,181,31
20200,96,0.8545,0.6205,793,603,0.9151,235,48,5.56,48,215,47
20220,3,0.6811,0.6663,561,636,0.7703,167,122,5.42,122,306,20
20170,59,0.9304,0.7764,808,641,0.704,318,124,3.51,124,198,48
20110,95,0.6235,0.6304,200,594,0.9361,347,150,5.91,150,437,70
20230,49,0.9161,0.7843,936,846,0.8725,173,120,4.37,120,205,55
20220,17,0.8917,0.6444,361,910,0.9792,273,98,5.09,98,339,84
20190,22,0.7881,0.861,976,519,0.8843,180,185,4.59,185,266,74
20150,62,0.6528,0.6101,749,916,0.7893,360,18,5.21,18,385,11
20200,98,0.6008,0.5805,191,301,0.7583,88,51,3.78,51,416,68
20240,62,0.8946,0.6913,291,181,0.8382,438,33,4.16,33,348,97
20160,12,0.6274,0.8659,600,822,0.7261,99,86,5.27,86,265,82
20210,63,0.842,0.804,512,456,0.8169,402,197,5.58,197,315,44
20180,22,0.8096,0.8965,597,311,0.8147,107,56,5.67,56,357,92
20200,88,0.8143,0.6063,291,860,0.848,104,64,3.77,64,118,28
20210,18,0.8419,0.7994,396,290,0.7212,263,44,5.75,44,133,68
20220,80,0.6252,0.6155,330,581,0.7136,128,98,5.26,98,129,89
20130,12,0.9258,0.8998,267,352,0.9337,428,122,5.11,122,349,58
20100,33,0.6001,0.8063,671,418,0.7711,455,197,5.89,197,474,72
20150,63,0.9309,0.7043,893,113,0.7448,282,171,4.44,171,225,48
20110,54,0.8247,0.845,202,818,0.7744,207,40,5.51,40,406,50
20100,27,0.7211,0.6038,523,138,0.9573,236,181,5.16,181,499,30
20190,83,0.8476,0.7381,521,711,0.8379,124,159,5.89,159,477,71
20230,25,0.7074,0.6279,654,162,0.8726,324,182,5.05,182,347,47
20110,88,0.6101,0.8363,636,607,0.8804,177,165,3.64,165,375,92
20150,60,0.8234,0.566,342,377,0.8024,431,167,5.03,167,88,33
20150,87,0.9174,0.8256,315,502,0.8658,160,19,4.81,19,51,24
20140,36,0.8454,0.6476,685,302,0.7547,359,24,3.81,24,58,92
20150,88,0.8979,0.8176,487,978,0.7611,326,124,5.45,124,487,12
20130,69,0.6218,0.6992,850,760,0.8308,303,136,5.55,136,292,63
20160,70,0.8545,0.6737,227,140,0.8442,323,149,5.96,149,183,54
20220,100,0.946,0.7541,671,515,0.8431,432,125,5.42,125,482,42
20220,4,0.6664,0.7864,454,827,0.808,50,11,4.17,11,236,32
20190,65,0.9487,0.67,402,134,0.8363,464,72,4.5,72,165,48
20140,40,0.9178,0.8849,554,456,0.7995,369,55,4.7,55,292,65
20160,37,0.6272,0.8659,280,390,0.8131,429,197,4.51,197,56,11
20120,31,0.8746,0.7249,209,869,0.7041,316,111,5.22,111,201,49
20200,81,0.6712,0.5666,122,603,0.7605,73,14,3.83,14,267,38
20220,87,0.7284,0.6028,846,521,0.8869,311,190,4.84,190,500,99
20220,47,0.6536,0.7481,170,925,0.938,138,183,4.13,183,393,55
20130,13,0.7764,0.8131,663,737,0.7886,339,192,3.84,192,116,11
20240,44,0.6249,0.7006,683,651,0.9514,315,189,4.49,189,415,94
20170,3,0.8454,0.8867,955,437,0.7688,420,174,3.72,174,144,75
20230,10,0.6559,0.7382,621,617,0.9131,382,149,5.86,149,78,47
20100,49,0.8365,0.8199,733,233,0.7394,270,121,5.95,121,233,42
20210,58,0.6526,0.811,402,584,0.9588,412,139,5.38,139,245,37
20220,78,0.8969,0.7267,291,389,0.7456,137,97,4.31,97,86,67
20100,2,0.6452,0.6521,1000,324,0.9264,442,167,3.54,167,182,42
20110,31,0.7656,0.7424,672,722,0.8888,397,178,4.01,178,158,71
20130,98,0.8913,0.8811,316,912,0.7017,133,10,3.63,10,500,64
20120,37,0.8428,0.8564,103,317,0.8902,296,182,5.66,182,412,64
20180,24,0.7655,0.7619,751,826,0.8911,186,92,4.86,92,344,83
20220,44,0.7156,0.6918,995,354,0.9575,169,86,3.7,86,227,13
20230,83,0.6063,0.8377,718,925,0.7337,466,200,4.64,200,493,16
20180,74,0.832,0.8918,295,953,0.8843,397,80,4.5,80,151,77
20120,42,0.8223,0.7128,917,270,0.8162,366,179,5.49,179,476,14
20210,78,0.8502,0.621,932,942,0.9007,131,123,5.18,123,287,82
20170,48,0.6242,0.8118,173,194,0.8932,272,108,3.74,108,122,28
20100,84,0.926,0.8963,747,205,0.8156,301,23,4.68,23,481,34
20130,60,0.6401,0.6661,829,741,0.8527,458,83,5.14,83,404,88
20110,39,0.9341,0.7838,459,659,0.8958,314,97,4.02,97,277,34
20140,96,0.6231,0.6206,540,830,0.9366,159,31,3.97,31,271,73
20150,14,0.6665,0.7504,867,560,0.7493,490,104,5.48,104,141,43
20150,78,0.8984,0.7168,480,665,0.8329,481,165,5.93,165,286,77
20210,62,0.8257,0.8853,251,446,0.9585,101,90,5.22,90,88,95
20200,54,0.7655,0.8582,803,994,0.7879,257,40,4.77,40,74,71
20190,12,0.8408,0.7135,623,484,0.8937,208,128,4.88,128,469,19
20170,74,0.6441,0.7787,671,998,0.8892,445,195,4.19,195,311,54
