ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_ACADEMICO,ID_ASIGNATURA,ID_CONVOCATORIA,ID_PLAN_ESTUDIO,ID_CENTRO,ID_TIPO_ACCESO,ID_GRUPO,ID_TIPO_DOCENCIA,ID_CLASE_ASIGNATURA,ID_TIPO_RECONOCIMIENTO,ID_CALIFICACION,ID_RANGO_NOTA_NUMERICA,ID_ALUMNO,ID_SEXO,ID_CURSO_ACADEMICO_COHORTE,ID_PAIS_NACIONALIDAD,ID_POBLACION_FAMILIAR,ID_FECHA_CALIFICACION,EDAD,NOTA_NUMERICA,CREDITOS,ORDEN_CONVOCATORIA,CONVOCATORIAS_CONSUMIDAS,NUMERO_MATRICULAS,SN_DOCTORADO_VIGENTE,ID_DEDICACION,FLG_COMPENSADA,FLG_TRANSFERIDA,ID_RANGO_NOTA_ADMISION,ID_PLAN_GRUPO_MATRICULA_NK,ID_CENTRO_NK,ID_RAMA_CONOCIMIENTO,CURSO_MAS_ALTO_MATRICULADO,CURSO_IMPARTICION_ASIG,ORDEN_BOE_PLAN,FLG_MOVILIDAD_IN,ID_PLAN_ESTUDIO_NK,FLG_ULTIMA_CONVOCATORIA,ID_CENTRO_IMPARTICION,FLG_MATRICULADA,FLG_SUPERADA,ID_PLAN_GRUPO_MATRICULA,ID_ESTUDIO_NK,NOTA_ADMISION,SN_MOVILIDAD_IN,FLG_RECONOCIDA,ID_FECHA_CARGA,ID_TIPO_ESTUDIO,SN_PROG_MOVILIDAD,ID_CAMPUS_CENTRO,ID_ESTUDIO,FLG_NUEVO_INGRESO,FECHA_CARGA,ID_ESTUDIO_PREVIO,ANYO_ACCESO_SUE,SN_NUEVO_INGRESO,ID_TIPO_CENTRO,ID_CENTRO_IMPARTICION_NK,ID_POBLACION_CENTRO,SN_COMPENSADA,FLG_SUSPENDIDA,ID_EDAD_EST,FLG_CALCULO_TASAS,ID_PAIS_FAMILIAR,FLG_PRESENTADA,SN_CAMBIO_CICLO_GRADO,FLG_EN_PROGRAMA_MOVILIDAD,ID_ASIGNATURA_NK,ID_RANGO_NOTA_EGRACONS,ID_TIPO_ASIGNATURA,ID_PAIS_FAMILIAR_NK,RANGO_NUM_MATRICULAS
2016,11,20160,11,500,5,55,29,1,15,1,4,4,2,1,84,1,20180,35,266,20170412,23,0.92,9.0,2,4,3,N,742,0,1,5.79,57,708,366,2,69,2274/2012,1,10055,0,49,1,0,57,2400,3.32,S,0,20220128,941,S,979,523,0,2020-11-05,813,2011,N,530,4900,527,N,1,6,1,35,1,S,1,500,1.0,41,IRQ,3
2019,12,20190,12,29,1,80,13,5,3,2,4,2,2,1,65,2,20120,35,66,20200614,36,2.51,12.0,2,1,1,S,757,0,1,2.5,582,177,335,1,68,1106/2014,0,10080,0,13,1,0,582,4200,8.51,N,1,20210105,515,S,319,130,1,2020-06-21,399,2019,N,802,1300,816,N,1,9,1,35,1,N,1,29,9.0,189,IRQ,1
2017,13,20170,13,401,5,1,29,14,1,4,4,4,3,1,12,1,20130,86,311,20171117,29,6.53,4.8,1,2,1,S,817,0,1,0.88,581,66,261,2,79,4147/2015,1,10001,0,4,1,1,581,1300,5.71,S,1,20230207,149,N,432,358,0,2020-11-26,565,2016,N,837,400,974,N,0,3,1,40,1,N,0,401,3.0,263,TUV,1
2015,14,20150,14,5,2,47,16,4,6,1,1,1,2,1,42,1,20220,39,358,20160807,29,1.6,6.6,2,5,1,S,493,0,1,4.04,967,356,803,1,09,6961/2021,0,10047,0,47,1,0,967,1300,4.36,N,1,20220708,692,N,753,524,0,2023-12-10,896,2011,S,150,4700,123,N,1,5,0,39,1,N,0,5,4.0,87,HUN,1
2022,15,20220,15,1,3,55,35,11,5,3,5,2,2,1,62,2,20220,9,461,20220717,37,1.87,5.4,1,3,2,S,518,0,1,1.27,335,446,101,2,43,4350/2020,1,10055,0,4,1,0,335,1100,7.75,S,1,20220322,53,S,333,883,0,2021-04-26,45,2016,N,483,400,317,N,1,9,1,9,1,S,1,1,9.0,714,ARG,2
2016,16,20160,16,437,3,86,20,12,10,5,5,1,2,1,81,2,20100,52,477,20171010,55,0.3,11.6,1,4,2,N,348,0,0,7.77,978,556,957,1,31,9253/2011,0,10086,0,20,1,0,978,4000,5.21,N,0,20220211,394,S,666,627,0,2023-04-03,736,2012,S,136,2000,99,N,1,10,0,52,1,S,1,437,6.0,993,EST,2
2014,17,20140,17,316,5,18,49,2,3,5,2,3,2,1,19,1,20240,28,329,20150709,13,4.47,9.9,3,3,1,N,558,1,1,2.9,309,668,80,2,74,8997/2014,0,10018,0,49,1,0,309,1300,7.37,N,1,20201213,353,S,421,463,0,2020-10-02,105,2014,S,768,4900,45,S,1,6,1,28,1,N,1,316,8.0,456,KAZ,1
2023,18,20230,18,49,2,3,14,9,5,5,5,5,2,1,16,1,20150,97,421,20240928,45,1.92,11.7,1,1,2,N,49,0,1,2.93,40,133,237,4,58,7413/2014,1,10003,0,14,1,0,40,1900,8.11,S,0,20210902,940,N,68,71,1,2023-02-18,137,2011,S,453,1400,865,N,1,7,1,68,1,N,0,49,1.0,975,GRC,2
2022,19,20220,19,371,4,66,3,4,2,3,1,1,4,1,8,2,20220,42,350,20231219,21,8.64,11.8,2,4,3,S,80,0,0,0.31,619,785,269,3,05,9861/2019,1,10066,0,3,1,1,619,2900,4.01,S,0,20210214,22,S,562,863,1,2022-05-02,216,2013,S,139,300,792,N,0,1,0,42,1,S,1,371,5.0,557,SWE,3
2010,20,20100,20,253,3,26,12,2,4,1,3,3,3,1,46,1,20210,80,324,20110902,51,5.74,9.7,3,5,1,S,474,0,1,3.14,523,586,361,4,77,9005/2022,1,10026,0,12,1,1,523,300,7.71,S,0,20200808,266,S,268,596,0,2021-04-26,972,2010,N,35,1200,522,N,0,4,0,80,1,S,1,253,8.0,273,ETH,1
2016,21,20160,21,34,4,83,27,6,19,2,1,3,5,1,38,2,20230,39,278,20170306,12,9.78,8.7,2,1,3,S,538,0,0,7.78,939,893,753,1,39,8433/2016,0,10083,0,27,1,1,939,700,7.43,N,0,20221130,136,N,736,57,1,2021-11-27,66,2016,S,809,2700,88,N,0,1,0,39,1,N,0,34,10.0,136,HUN,3
2024,22,20240,22,111,4,3,40,7,10,2,5,3,2,1,85,1,20230,26,336,20240104,56,3.64,5.4,3,4,1,N,918,0,0,8.36,467,177,859,1,02,1349/2022,1,10003,0,40,1,0,467,700,6.12,S,0,20230409,410,S,165,53,1,2021-02-06,352,2011,S,577,4000,837,N,1,10,1,26,1,S,1,111,4.0,638,MNG,1
2015,23,20150,23,412,1,46,15,3,12,4,2,3,3,1,26,1,20170,72,280,20160902,25,6.77,9.7,3,6,3,S,372,0,1,5.09,234,97,702,4,34,8995/2021,0,10046,1,11,1,1,234,2400,9.35,N,0,20200329,692,N,897,733,0,2021-10-22,318,2012,S,982,1100,313,N,0,1,1,72,1,N,0,412,6.0,72,GNB,3
2015,24,20150,24,350,4,73,47,4,6,3,1,3,4,1,13,2,20130,82,458,20160114,42,8.92,7.1,3,3,1,S,330,0,0,3.34,132,92,129,1,19,1151/2013,0,10073,0,47,1,1,132,4500,9.6,N,0,20230306,567,N,25,580,0,2023-11-21,670,2011,S,156,4700,41,N,0,5,0,82,1,N,0,350,4.0,450,PAN,1
2016,25,20160,25,205,4,57,44,1,20,3,2,1,5,1,99,2,20130,43,347,20171212,40,9.82,7.5,2,5,3,S,566,0,1,7.07,902,297,62,2,03,7632/2016,1,10057,0,44,1,1,902,4500,6.66,S,0,20230526,749,N,145,93,0,2020-03-07,373,2014,S,54,4400,166,N,0,7,0,43,1,N,0,205,2.0,64,TWN,3
2022,26,20220,26,347,5,76,10,6,18,3,4,5,4,1,66,2,20170,78,367,20220808,60,7.91,10.4,3,1,1,N,24,0,0,2.68,91,188,123,1,80,3612/2022,1,10076,0,36,1,1,91,4300,1.63,S,1,20220823,901,S,325,1,0,2022-01-24,397,2012,N,818,3600,15,N,0,6,0,78,1,S,1,347,9.0,801,GNQ,1
2018,27,20180,27,210,5,83,45,5,17,3,2,1,2,1,72,2,20200,67,235,20191209,25,4.57,11.5,1,2,2,S,518,1,1,0.31,641,695,349,1,99,9332/2020,1,10083,0,45,1,0,641,4700,6.6,S,0,20200828,972,S,889,970,0,2020-05-27,443,2015,S,669,4500,19,S,1,4,0,2,1,S,1,210,4.0,908,COG,2
2018,28,20180,28,125,4,10,32,15,2,1,1,3,3,1,13,2,20140,46,156,20191113,45,5.15,9.6,1,6,3,N,584,0,0,4.74,584,525,866,1,07,5815/2017,0,10010,1,32,1,1,584,4400,1.71,N,0,20221102,536,N,649,46,1,2020-12-04,108,2014,N,512,3200,107,N,0,6,1,46,1,S,0,125,1.0,625,MDV,3
2015,29,20150,29,453,2,90,37,7,5,3,3,4,2,1,42,1,20240,35,52,20150306,28,0.78,11.4,3,6,3,N,644,0,0,5.55,416,691,15,2,90,4806/2014,0,10090,1,37,1,0,416,4300,5.96,N,1,20200429,926,S,671,830,0,2020-09-05,786,2015,N,142,3700,901,N,1,1,0,35,1,N,1,453,10.0,287,IRQ,3
2015,30,20150,30,302,3,14,32,13,14,1,1,1,4,1,19,1,20240,40,264,20151218,13,8.85,11.7,1,3,3,N,211,0,1,3.78,874,407,70,4,91,7360/2017,1,10014,0,32,1,1,874,4700,4.94,S,0,20201004,309,N,561,168,1,2020-09-09,417,2010,S,280,3200,758,N,0,8,0,40,1,S,0,302,4.0,824,TUV,3
2016,31,20160,31,366,5,39,34,2,2,1,1,1,2,1,53,2,20150,27,113,20161211,22,1.65,11.8,1,1,2,S,277,0,1,0.85,452,133,47,4,11,6192/2021,0,10039,0,2,1,0,452,700,8.7,N,1,20230705,194,N,191,757,0,2021-03-29,177,2011,N,823,200,552,N,1,7,0,27,1,S,0,366,8.0,473,SLV,2
2018,32,20180,32,332,2,50,33,5,4,3,2,3,2,1,94,2,20130,22,90,20181118,33,2.82,10.2,1,6,2,S,711,0,0,3.3,749,694,318,1,60,4845/2017,1,10050,1,33,1,0,749,4900,4.36,S,1,20221115,496,S,586,471,0,2020-01-16,135,2015,S,718,3300,738,N,1,3,1,55,1,S,1,332,4.0,359,SMR,2
2019,33,20190,33,463,3,21,34,11,3,4,5,2,2,1,98,1,20140,43,488,20200423,34,3.97,7.0,1,1,1,S,584,0,0,9.54,198,330,399,3,77,2805/2016,0,10021,0,36,1,0,198,3400,2.0,N,1,20200907,566,S,633,919,1,2021-12-17,112,2019,N,828,3600,469,N,1,2,0,43,1,N,1,463,6.0,621,TWN,1
2021,34,20210,34,464,5,66,48,14,3,3,3,3,2,1,59,1,20200,40,304,20210910,19,0.91,6.2,2,2,3,N,256,0,1,9.58,158,15,699,2,23,1477/2022,1,10066,0,48,1,0,158,1300,6.32,S,1,20211012,625,N,153,186,0,2021-02-10,124,2011,S,409,4800,22,N,1,8,1,40,1,S,0,464,1.0,231,TUV,3
2012,35,20120,35,157,2,34,50,9,16,2,5,5,2,1,71,1,20150,21,12,20130128,28,0.6,11.0,3,1,3,S,871,0,0,5.56,74,660,684,2,33,7003/2014,0,10034,0,46,1,0,74,3100,1.92,N,1,20200805,436,N,123,617,1,2020-10-25,84,2012,S,785,4600,410,N,1,9,1,21,1,N,0,157,6.0,876,VNM,3
2010,36,20100,36,321,3,63,34,13,4,2,1,3,2,1,40,2,20240,98,443,20100303,5,3.63,6.4,3,3,1,N,264,0,0,1.54,24,732,53,1,34,6078/2014,1,10063,0,34,1,0,24,3700,6.58,S,0,20201010,33,N,504,260,1,2020-02-01,664,2010,S,803,3400,860,N,1,7,0,98,1,N,0,321,10.0,564,COL,1
2011,37,20110,37,108,1,37,28,5,10,2,1,3,2,1,15,2,20240,83,245,20110517,48,2.48,7.5,3,1,2,N,765,0,0,7.6,176,520,365,1,67,4614/2011,0,10037,0,28,1,0,176,100,2.12,N,1,20220906,253,S,801,692,0,2020-04-18,335,2010,N,696,2800,470,N,1,9,1,83,1,S,1,108,2.0,411,BEL,2
2021,38,20210,38,289,4,52,40,15,16,5,5,5,5,1,40,2,20130,90,95,20210307,16,9.37,6.2,3,5,2,S,164,0,0,7.54,416,437,119,4,58,6750/2015,0,10052,0,40,1,1,416,1200,3.21,N,1,20211213,711,S,466,471,1,2021-08-16,492,2021,N,115,4000,912,N,0,5,1,90,1,N,1,289,1.0,972,TTO,2
2019,39,20190,39,195,4,22,45,8,13,2,2,5,2,1,80,1,20100,4,485,20191118,50,4.11,3.4,1,1,3,N,241,0,1,9.77,810,590,870,2,29,9803/2021,0,10022,0,45,1,0,810,1100,8.98,N,1,20230909,799,S,724,321,0,2020-07-13,829,2012,S,57,4500,861,N,1,1,0,4,1,S,1,195,4.0,112,CUB,3
2011,40,20110,40,453,4,2,47,5,5,2,3,5,4,1,19,1,20130,31,333,20110826,9,7.25,9.5,1,2,3,S,790,0,1,5.65,907,474,234,1,89,5735/2012,0,10002,0,47,1,1,907,1100,2.35,N,0,20200816,896,N,645,40,1,2023-06-26,183,2011,N,975,4700,851,N,0,3,1,31,1,S,0,453,5.0,70,MUS,3
2024,41,20240,41,242,3,87,20,15,14,5,4,1,2,1,86,1,20150,15,310,20240430,22,4.88,12.0,3,5,2,S,665,1,0,8.47,414,263,280,4,36,1795/2011,1,10087,0,20,1,0,414,200,4.4,S,0,20221008,343,S,235,16,0,2023-04-08,517,2012,S,539,2000,139,S,1,9,0,15,1,S,1,242,6.0,822,CAN,2
2010,42,20100,42,254,1,42,42,6,17,4,1,2,2,1,26,1,20160,17,108,20111230,20,4.02,6.6,1,6,2,N,863,0,1,7.79,917,995,956,4,86,1360/2018,1,10042,1,36,1,0,917,1000,7.28,S,1,20230404,556,N,428,474,1,2022-08-03,776,2010,N,136,3600,452,N,1,3,1,17,1,N,0,254,6.0,976,URY,2
2020,43,20200,43,255,3,4,34,11,1,3,4,1,2,1,71,1,20230,64,271,20210514,36,0.67,5.3,2,3,1,N,812,0,0,6.91,284,978,448,3,81,3621/2016,1,10004,0,34,1,0,284,700,5.65,S,0,20210617,770,N,399,787,0,2021-09-20,334,2012,S,937,3400,557,N,1,10,1,64,1,N,0,255,4.0,899,FSM,1
2024,44,20240,44,227,5,27,26,7,14,1,3,3,3,1,30,2,20180,51,403,20240310,42,5.39,12.0,2,1,1,N,655,0,1,5.87,447,696,763,4,27,3206/2010,0,10027,0,26,1,1,447,3200,1.5,N,0,20201211,665,N,895,379,1,2021-08-28,676,2020,N,744,2600,291,N,0,10,0,51,1,S,0,227,6.0,837,AND,1
2023,45,20230,45,238,3,76,27,8,17,3,3,2,2,1,58,1,20160,31,355,20231122,64,4.63,11.9,3,6,3,S,948,1,0,4.49,469,592,764,3,17,3228/2010,1,10076,1,27,1,0,469,1300,0.85,S,0,20221011,738,S,934,31,1,2021-11-17,531,2011,N,578,2700,615,S,1,9,0,31,1,S,1,238,10.0,937,MUS,3
2014,46,20140,46,393,3,44,43,8,20,4,1,4,3,1,81,2,20130,93,32,20141212,52,6.01,7.3,2,6,1,S,35,0,1,1.71,505,333,775,1,95,5132/2018,1,10044,1,43,1,1,505,4000,6.72,S,1,20200224,29,N,888,172,1,2020-07-31,908,2013,S,60,4300,272,N,0,4,0,93,1,S,0,393,9.0,633,CHL,1
2022,47,20220,47,54,2,61,12,6,19,2,1,2,3,1,34,2,20150,71,183,20230110,41,5.75,6.4,3,2,2,N,27,0,1,4.9,490,764,273,2,79,1999/2011,1,10061,0,12,1,1,490,300,3.03,S,0,20230815,507,S,570,298,1,2022-10-17,70,2015,S,3,1200,740,N,0,8,0,71,1,S,1,54,6.0,413,LSO,2
2017,48,20170,48,325,5,46,28,6,5,4,3,2,4,1,37,1,20120,96,139,20170125,26,7.59,4.9,2,2,3,N,959,0,0,8.36,469,886,179,3,58,9439/2011,1,10046,0,28,1,1,469,4700,6.59,S,0,20200917,132,S,345,632,0,2022-05-06,916,2011,S,678,2800,908,N,0,2,0,96,1,N,1,325,5.0,698,SVK,3
2014,49,20140,49,208,1,59,11,7,11,2,1,1,4,1,74,2,20150,66,237,20140624,48,7.24,6.8,3,4,2,S,258,0,1,9.67,27,244,634,2,57,1109/2011,0,10059,0,11,1,1,27,4200,4.07,N,0,20200309,437,S,415,773,1,2023-03-19,637,2011,N,14,1100,712,N,0,10,0,90,1,S,1,208,9.0,546,TTO,2
2015,50,20150,50,369,5,25,12,1,12,1,4,3,2,1,50,2,20200,73,199,20151007,31,0.42,11.2,1,6,3,N,311,0,1,6.79,454,610,82,2,79,1943/2020,1,10025,1,12,1,0,454,1900,2.71,S,1,20211220,551,S,858,336,1,2023-04-03,35,2013,S,139,1200,608,N,1,10,1,72,1,N,1,369,5.0,249,GNB,3
2024,51,20240,51,37,1,96,2,13,2,2,1,5,3,1,34,2,20110,63,207,20240709,42,5.7,9.7,2,1,2,N,987,0,0,0.06,167,814,867,4,30,1176/2013,0,10096,0,2,1,1,167,2000,4.22,N,0,20220112,555,S,335,407,0,2023-05-18,947,2015,S,774,200,257,N,0,9,0,72,1,S,1,37,1.0,518,GNB,2
2016,52,20160,52,303,2,74,27,1,11,5,4,3,2,1,61,1,20240,35,348,20160217,55,2.34,10.2,2,2,1,N,437,0,1,6.24,18,80,108,1,71,3171/2019,1,10074,0,19,1,0,18,400,0.83,S,0,20210810,301,S,473,293,1,2022-07-21,946,2016,N,24,1900,41,N,1,1,0,71,1,N,1,303,3.0,238,LSO,1
2017,53,20170,53,85,2,72,30,5,20,5,3,5,3,1,22,1,20170,94,205,20170326,60,5.66,7.4,2,2,3,S,744,0,0,3.64,172,465,53,4,11,5995/2013,1,10072,0,30,1,1,172,1900,1.26,S,1,20220313,47,N,261,408,0,2022-10-26,837,2017,N,737,3000,789,N,0,8,0,78,1,N,0,85,4.0,497,GNQ,3
2022,54,20220,54,30,1,14,5,13,7,1,3,2,3,1,67,1,20170,75,78,20220804,56,6.87,11.5,3,2,2,N,744,0,0,6.54,132,596,255,1,20,9254/2012,0,10014,0,33,1,1,132,5000,8.07,N,0,20221008,330,S,265,512,1,2022-12-09,939,2014,S,36,3300,22,N,0,8,1,75,1,S,1,30,6.0,429,PRY,2
2022,55,20220,55,204,2,81,12,5,9,5,5,4,3,1,4,1,20210,53,18,20230210,33,5.49,5.5,1,6,1,N,521,0,0,3.08,982,941,722,3,09,3801/2022,1,10081,1,12,1,1,982,2100,6.09,S,1,20220120,363,N,777,88,0,2023-04-14,137,2012,S,371,1200,207,N,0,5,1,53,1,N,0,204,6.0,886,KGZ,1
2013,56,20130,56,338,5,74,31,1,5,1,3,4,2,1,26,1,20120,50,314,20130221,22,0.77,10.5,1,3,2,N,140,0,0,5.31,933,840,686,3,98,6936/2010,1,10074,0,31,1,0,933,1300,5.39,S,1,20230604,272,N,500,762,1,2020-06-18,10,2012,S,98,3100,136,N,1,9,1,50,1,N,0,338,2.0,858,NZL,2
2019,57,20190,57,23,3,26,32,8,2,2,5,4,2,1,96,2,20220,5,170,20190711,21,4.58,3.1,2,4,1,S,357,0,1,1.06,585,575,751,3,53,5117/2013,0,10026,0,32,1,0,585,1200,1.31,N,0,20210715,164,S,713,640,1,2020-01-20,221,2015,N,376,3200,365,N,1,8,1,18,1,N,1,23,1.0,907,ZAF,1
2014,58,20140,58,390,3,12,6,10,19,1,4,3,4,1,69,1,20110,94,121,20140429,47,7.53,4.6,1,6,2,N,374,0,0,0.58,915,987,639,3,38,3367/2013,0,10012,1,6,1,1,915,4100,6.4,N,1,20221003,2,N,75,253,1,2021-12-12,23,2010,N,966,600,69,N,0,3,0,89,1,N,0,390,3.0,148,KEN,2
2019,59,20190,59,88,4,23,38,2,13,5,3,2,4,1,92,1,20170,17,451,20200719,51,7.63,10.6,1,3,1,S,322,0,0,3.47,692,340,725,4,91,1969/2020,0,10023,0,2,1,1,692,900,0.95,N,1,20211107,356,S,510,220,0,2022-04-09,635,2011,N,773,200,856,N,0,3,1,17,1,S,1,88,6.0,987,URY,1
2015,60,20150,60,249,2,21,43,5,12,5,5,2,2,1,87,1,20130,2,256,20160610,58,4.36,8.3,1,2,3,N,651,0,0,3.04,780,24,41,2,67,2789/2010,1,10021,0,43,1,0,780,4400,2.13,S,1,20210202,863,S,222,572,0,2021-12-21,160,2013,N,781,4300,166,N,1,1,0,2,1,N,1,249,8.0,765,COG,3
2023,61,20230,61,296,2,50,27,9,13,4,5,1,3,1,82,2,20120,3,247,20230220,54,5.42,8.3,2,3,1,N,263,0,0,3.63,197,972,31,3,68,3285/2013,1,10050,0,27,1,1,197,1400,5.85,S,0,20201020,834,N,709,954,0,2023-11-18,283,2010,N,222,2700,37,N,0,6,0,94,1,N,0,296,8.0,419,UGA,1
2016,62,20160,62,417,1,36,31,14,1,5,2,5,2,1,85,1,20140,29,232,20170428,49,0.36,10.2,2,2,3,N,683,0,0,3.27,730,311,160,4,45,2905/2017,1,10036,0,43,1,0,730,1100,8.41,S,0,20220709,993,N,596,180,1,2023-03-31,506,2016,S,89,4300,216,N,1,5,0,29,1,N,0,417,3.0,782,ZWE,3
2012,63,20120,63,74,4,93,46,9,20,3,5,3,2,1,81,2,20230,64,422,20130810,51,2.6,6.7,1,5,1,S,179,0,1,9.76,450,561,461,2,89,4661/2016,0,10093,0,19,1,0,450,3600,1.2,N,0,20221112,297,S,530,393,0,2023-10-22,385,2011,S,70,1900,503,N,1,1,0,98,1,S,1,74,4.0,480,COL,1
2017,64,20170,64,409,5,11,40,14,12,5,5,1,3,1,23,2,20100,86,214,20170927,24,6.31,11.3,3,5,1,S,522,0,0,8.82,536,365,308,2,81,2455/2019,0,10011,0,40,1,1,536,2000,7.53,N,0,20230703,942,S,686,793,1,2022-06-15,653,2016,S,968,4000,537,N,0,9,0,86,1,S,1,409,8.0,406,BHR,1
