ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_CURSO_ACADEMICO,ID_ALUMNO,ID_EXPEDIENTE_ACADEMICO,ID_TIPO_ABANDONO,ID_TIPO_EGRESO,ID_PLAN_ESTUDIO,ID_CENTRO,ID_CURSO_ACADEMICO_COHORTE,ID_TIPO_ACCESO,ID_TITULACION,ID_POBLACION_FAMILIAR,CURSOS_MATRICULADOS,CURSO_MAS_ALTO_MATRICULADO,CURSOS_EXTRA_GRADUACION,DURACION,DURACION_REAL,CREDITOS_MATRICULADOS,ID_RANGO_CREDITOS_MATRICULADOS,CREDITOS_SUPERADOS,ID_RANGO_CREDITOS_SUPERADOS,CREDITOS_NECESARIOS,ID_RANGO_CREDITOS_NECESARIOS,CALIFICACION_FINAL,ID_RANGO_CALIFICACION_FINAL,SEXO,ID_SEXO,EDAD,ID_FECHA_SOLICITUD_TITULO,ID_FECHA_EGRESO,GRADUADO,TRASLADO,SN_SOLICITA_TITULO,SN_ABANDONO_INICIAL,FLG_SOLICITUD_TITULO,FLG_ABANDONO_INICIAL,FLG_CALCULO_TASA,FLG_GRADUADO_EN_TIEMPO,FECHA_CARGA,SN_GRADUADO_EN_TIEMPO,ABANDONO_GENERICO,ABANDONO_OFICIAL,FLG_PLAN_OFICIAL,CREDITOS_RECONOCIDOS,ID_RANGO_CREDITOS_RECONOCIDOS,SN_CAMBIO_CICLO_GRADO,FLG_DURACION_MEDIA,ID_ESTUDIO_PREVIO,ID_PAIS_NACIONALIDAD,ID_CENTRO_ORIGEN,SN_MULTIPLE_TITULACION,SN_MOVILIDAD_IN,FLG_MULTIPLE_TITULACION,FLG_MOVILIDAD_IN,ID_FECHA_CARGA,ID_TIPO_TITULACION,ID_TIPO_ESTUDIO,ID_ESTUDIO,ID_TIPO_CENTRO,ID_CAMPUS_CENTRO,ID_POBLACION_CENTRO,ID_TIPO_CENTRO_ORI,ID_CAMPUS_CENTRO_ORI,ID_POBLACION_CENTRO_ORI,ID_RAMA_CONOCIMIENTO,ID_PERSONA_NIP_NK,ORDEN_BOE_PLAN,SN_DOCTORADO_VIGENTE,SN_MOVILIDAD_OUT_INTERNACIONAL,SN_MOVILIDAD_OUT_NACIONAL,ID_PAIS_FAMILIAR,ID_PAIS_FAMILIAR_NK,ID_EDAD_EST,ID_ESTUDIO_OTRA_UNIV_DEST,ID_CENTRO_OTRA_UNIV_DEST,SN_UNITA,SN_UNITA_GEMINAE
2015,200011,20150,98,200011,3,5,42,24,20130,12,2,376,1,1,0.0,3,4.101339724176574,210.0,2,173.0,5,192.0,4,0.0,5,H,1,26,20210824,20230202,0,1,N,S,0,1,1,0,2023-10-15,N,0,0,1,3.0,1,N,1,3,40,24,S,S,1,1,20221206,4,5,15,6,2,223,6,2,18,6,404729,BOE-694-2022,S,N,N,14,DEU,1,32,47,N,N
2020,200012,20200,35,200012,5,2,76,6,20110,7,36,324,3,3,0.0,3,3.5744914570252657,302.0,2,263.0,3,248.0,5,8.943,4,H,1,22,20220404,20230605,1,0,S,N,1,0,1,1,2023-05-25,S,0,0,0,18.0,4,N,1,8,10,12,S,N,1,0,20210503,1,2,25,8,3,252,8,7,54,3,29641883,BOE-330-2010,S,N,S,5,SWZ,8,15,12,N,S
2023,200013,20230,13,200013,6,1,51,34,20200,5,50,128,4,3,0.0,3,2.9200550202983333,255.0,2,209.0,5,228.0,2,0.0,3,M,2,37,20201006,20230116,0,1,S,S,1,1,0,0,2020-09-30,N,0,0,0,28.0,5,S,1,10,18,11,N,N,0,0,20220215,6,8,22,5,8,109,1,2,449,8,35105069,BOE-623-2020,N,S,S,72,GNB,1,15,39,S,N
2024,200014,20240,16,200014,7,6,29,42,20120,11,22,399,1,1,0.0,6,5.645789367072242,363.0,1,329.0,5,325.0,3,5.222,2,H,1,25,20220214,20221220,1,0,S,N,1,0,1,1,2022-04-21,S,0,0,1,26.0,1,S,1,2,28,12,N,S,0,1,20200731,4,3,27,7,2,259,8,7,347,6,92981826,BOE-279-2017,S,S,N,31,MUS,8,42,30,N,S
2024,200015,20240,54,200015,3,5,79,1,20180,11,5,491,8,6,0.0,6,6.584444139387256,199.0,2,182.0,1,192.0,5,0.0,5,M,2,41,20210713,20210706,0,0,S,N,1,0,1,0,2020-09-27,N,0,0,1,24.0,1,S,1,8,27,3,S,N,1,0,20231016,4,9,2,7,4,420,2,6,226,10,70532309,BOE-675-2017,S,N,N,78,GNQ,7,46,1,N,N
2021,200016,20210,21,200016,2,4,85,1,20110,6,14,9,3,3,0.0,6,7.360088219856048,218.0,1,202.0,4,194.0,5,7.707,4,H,1,27,20230906,20231203,1,0,N,N,0,0,1,1,2022-02-23,S,0,0,1,24.0,5,S,0,5,97,10,N,S,0,1,20230303,7,9,19,7,4,180,4,5,300,7,62464258,BOE-809-2023,S,S,N,76,COM,5,33,47,S,S
2011,200017,20110,21,200017,1,3,6,46,20100,3,46,274,8,1,0.0,4,5.080593394086172,344.0,4,279.0,2,326.0,4,0.0,1,H,1,38,20210514,20231202,0,0,S,S,1,1,1,0,2023-09-09,N,0,0,0,12.0,2,N,0,8,56,40,S,S,1,1,20220323,7,8,11,5,5,201,6,8,497,1,62464258,BOE-917-2022,N,N,S,32,THA,6,46,17,N,S
2018,200018,20180,17,200018,7,5,44,16,20140,2,33,424,4,2,0.0,3,3.5681070514265305,250.0,5,154.0,2,198.0,3,0.0,2,H,1,52,20230621,20230719,0,0,S,N,1,0,1,0,2020-10-20,N,1,1,0,13.0,5,S,1,5,14,50,S,S,1,1,20220221,6,7,45,5,3,242,5,7,31,14,31715995,BOE-893-2011,S,S,S,59,BRA,9,41,11,S,N
2016,200019,20160,56,200019,3,5,57,9,20120,2,13,486,2,1,0.0,4,3.7326153284228445,377.0,3,306.0,4,330.0,2,0.0,5,H,1,48,20200601,20230403,0,1,S,N,1,0,0,0,2021-11-06,N,0,0,0,23.0,2,N,1,3,74,33,N,S,0,1,20220406,6,3,29,7,3,218,7,5,239,1,70890196,BOE-417-2014,S,S,S,22,FIN,10,14,33,N,N
2011,200020,20110,13,200020,4,2,51,42,20100,15,21,82,2,2,0.0,7,6.8726289864139645,250.0,1,235.0,1,203.0,5,5.202,2,M,2,58,20220809,20200121,1,0,S,N,1,0,0,1,2023-04-23,S,0,0,1,17.0,5,S,0,2,35,43,S,N,1,0,20230630,10,4,13,7,2,236,3,7,467,1,35105069,BOE-203-2012,S,N,S,34,AUS,8,3,23,S,S
2016,200021,20160,90,200021,5,3,51,40,20100,9,29,432,3,3,0.0,3,4.416265825562902,328.0,3,311.0,2,323.0,1,0.0,3,H,1,24,20200410,20230324,0,0,N,S,0,1,0,0,2020-08-05,N,0,0,0,5.0,1,S,0,6,24,6,N,S,0,1,20220401,3,10,41,6,8,136,8,3,194,11,75000490,BOE-442-2013,N,N,S,54,MRT,4,30,49,N,N
2017,200022,20170,92,200022,5,3,6,2,20150,8,11,290,2,1,0.0,8,7.802440734747244,349.0,3,271.0,1,317.0,1,0.0,1,H,1,54,20210509,20230420,0,0,N,S,0,1,1,0,2020-08-31,N,1,0,0,19.0,5,S,1,4,14,36,N,S,0,1,20210420,8,4,45,4,6,462,6,1,191,2,90297353,BOE-747-2018,N,N,S,61,CHN,9,22,12,N,N
2015,200023,20150,18,200023,5,2,91,35,20100,14,23,42,3,2,0.0,6,5.528636186360307,253.0,2,249.0,2,248.0,5,6.61,1,H,1,56,20230326,20220722,1,0,S,N,1,0,1,1,2023-04-27,S,0,0,1,28.0,4,S,0,8,85,16,N,S,0,1,20220521,2,6,26,5,4,231,5,3,42,13,8338186,BOE-349-2017,S,S,S,26,MNG,8,47,50,N,S
2014,200024,20140,21,200024,4,4,58,16,20120,11,25,321,1,1,0.0,5,5.3987802226887815,325.0,1,279.0,4,266.0,2,6.731,2,H,1,29,20210711,20210920,1,0,S,S,1,1,0,1,2022-09-24,S,0,0,0,4.0,1,N,1,4,85,16,N,S,0,1,20230819,2,5,12,5,3,180,5,3,450,3,62464258,BOE-693-2018,N,N,S,99,KWT,9,36,21,N,S
2016,200025,20160,16,200025,5,5,62,13,20130,15,10,288,8,1,0.0,5,6.052866799571506,230.0,4,184.0,1,223.0,3,0.0,3,H,1,54,20220920,20220608,0,1,S,S,1,1,1,0,2020-08-16,N,0,0,1,7.0,3,N,1,7,4,46,N,S,0,1,20200104,9,3,49,8,2,92,5,5,109,6,92981826,BOE-926-2012,N,S,N,69,TZA,1,15,3,N,N
2015,200026,20150,54,200026,6,2,31,45,20120,15,28,443,6,5,0.0,6,7.1169270448022175,400.0,3,331.0,2,349.0,2,0.0,5,M,2,42,20220619,20210503,0,1,N,N,0,0,0,0,2020-01-12,N,0,0,1,12.0,4,N,1,6,88,21,N,N,0,0,20211024,2,8,50,6,2,76,1,8,219,12,70532309,BOE-712-2019,N,S,N,24,BLZ,7,35,38,N,N
2019,200027,20190,33,200027,4,6,35,37,20170,13,22,205,5,5,1.0,5,5.785596867678796,369.0,1,340.0,5,331.0,3,7.737,5,H,1,24,20220408,20230716,1,0,S,N,1,0,0,0,2020-10-03,N,0,0,1,8.0,3,S,0,9,86,36,S,N,1,0,20221014,4,6,4,6,2,496,6,1,238,3,49330907,BOE-969-2011,S,S,S,66,CAF,5,12,23,N,S
2017,200028,20170,1,200028,2,5,47,12,20130,4,49,177,6,6,2.0,8,8.103608964937859,307.0,4,286.0,5,282.0,4,6.165,3,H,1,51,20200407,20211025,1,0,S,N,1,0,1,0,2023-04-05,N,0,0,0,5.0,2,S,1,6,30,44,N,S,0,1,20210918,8,4,1,8,7,44,6,5,491,8,916723,BOE-933-2015,N,N,S,23,GTM,1,23,42,S,N
2018,200029,20180,39,200029,1,5,29,25,20140,1,12,45,4,4,0.0,5,4.591163492341098,264.0,4,258.0,4,232.0,4,6.031,1,H,1,28,20230802,20210202,1,0,N,S,0,1,1,1,2021-02-19,S,0,0,1,30.0,5,N,1,3,87,46,N,S,0,1,20220720,10,1,5,6,2,304,5,5,225,11,20560218,BOE-144-2021,N,S,S,5,SWZ,6,48,13,S,S
2021,200030,20210,9,200030,3,5,56,22,20200,9,46,275,4,3,0.0,8,7.94939639886046,225.0,5,207.0,2,181.0,5,7.615,4,H,1,41,20220319,20220725,1,0,N,S,0,1,0,1,2021-03-16,S,0,0,0,14.0,1,N,0,3,42,24,S,N,1,0,20221027,7,9,18,6,7,470,6,2,344,10,78176558,BOE-395-2022,S,S,N,92,ERI,1,34,10,S,S
2023,200031,20230,15,200031,1,2,19,34,20180,7,48,109,1,1,0.0,6,6.607780719581553,270.0,2,268.0,2,264.0,5,8.81,4,M,2,36,20200220,20200601,1,0,N,S,0,1,1,1,2022-04-18,S,0,0,1,24.0,5,N,1,9,22,5,N,S,0,1,20231005,7,3,43,5,8,106,5,1,400,13,48258264,BOE-609-2018,S,S,S,73,GHA,2,8,47,N,S
2024,200032,20240,90,200032,5,4,70,4,20170,11,33,333,5,1,0.0,8,7.821237737515594,326.0,1,312.0,1,275.0,4,0.0,1,H,1,23,20230217,20221202,0,0,N,S,0,1,1,0,2022-09-30,N,0,0,1,13.0,3,S,1,9,79,36,N,S,0,1,20210514,6,9,9,3,6,110,6,1,430,14,75000490,BOE-865-2020,N,S,N,8,HTI,6,2,34,S,N
2024,200033,20240,88,200033,4,5,2,14,20220,5,1,215,1,1,0.0,7,6.684429992285818,346.0,3,321.0,5,290.0,1,7.04,1,H,1,51,20210307,20230118,1,0,N,S,0,1,0,1,2020-07-07,S,0,0,0,5.0,5,N,1,10,31,12,N,S,0,1,20200630,3,8,7,1,9,96,8,7,272,12,75686878,BOE-915-2019,N,S,S,36,TUN,6,42,29,S,S
2017,200034,20170,25,200034,5,1,72,11,20100,12,45,106,5,1,0.0,4,3.928415865639789,322.0,1,288.0,5,264.0,5,0.0,3,H,1,55,20210916,20211003,0,0,S,N,1,0,1,0,2020-04-21,N,1,1,0,15.0,5,N,0,2,27,34,N,N,0,0,20210224,1,1,45,1,2,51,5,8,294,7,92083242,BOE-353-2011,S,S,S,77,NGA,2,50,19,N,S
2021,200035,20210,34,200035,5,5,44,28,20150,4,18,276,2,1,0.0,6,6.8021440537387585,202.0,4,173.0,3,190.0,2,0.0,1,M,2,26,20230702,20210408,0,0,S,N,1,0,0,0,2020-10-08,N,0,0,0,19.0,2,N,0,1,54,38,S,N,1,0,20200605,7,8,33,8,8,167,8,7,275,14,82493631,BOE-678-2017,S,N,N,86,BHR,9,8,17,S,N
2021,200036,20210,73,200036,6,3,16,27,20200,14,45,391,1,1,0.0,5,6.187403757770497,340.0,5,331.0,1,309.0,4,0.0,4,M,2,32,20200612,20200122,0,0,N,S,0,1,0,0,2022-09-28,N,1,1,0,21.0,2,S,1,4,11,37,S,N,1,0,20231219,1,1,29,3,6,253,6,2,358,10,15601471,BOE-429-2013,N,N,S,22,FIN,3,11,44,S,S
2018,200037,20180,16,200037,4,4,20,46,20110,7,37,289,8,5,0.0,5,5.332410200906489,308.0,4,260.0,3,295.0,5,0.0,2,H,1,33,20210424,20210705,0,0,S,S,1,1,0,0,2023-08-14,N,0,0,1,2.0,3,N,1,4,27,39,S,N,1,0,20220125,2,7,4,5,5,164,3,6,324,2,92981826,BOE-635-2019,S,S,N,79,NAM,5,25,5,N,S
2017,200038,20170,31,200038,7,4,98,16,20160,8,12,248,4,2,0.0,8,8.84697540048942,319.0,2,310.0,1,290.0,2,6.015,2,H,1,24,20230610,20220316,1,0,S,S,1,1,0,1,2020-08-16,S,0,0,1,28.0,1,S,0,10,41,33,S,N,1,0,20210307,10,6,6,5,3,353,7,5,138,10,85726382,BOE-913-2019,N,S,S,81,EGY,9,5,14,S,S
2024,200039,20240,62,200039,6,2,16,28,20140,2,46,453,3,3,0.0,6,7.100661374447042,322.0,4,249.0,1,279.0,3,0.0,4,M,2,42,20200208,20210724,0,0,N,S,0,1,0,0,2022-08-13,N,0,0,0,16.0,5,S,1,4,31,39,S,S,1,1,20201223,7,4,38,8,8,274,3,6,273,4,8289024,BOE-649-2014,S,S,S,22,FIN,6,27,46,N,S
2021,200040,20210,48,200040,6,1,43,8,20110,14,41,316,2,2,0.0,6,6.778427981870156,237.0,2,236.0,2,191.0,2,0.0,3,H,1,29,20210215,20210607,0,1,N,S,0,1,0,0,2023-01-22,N,0,0,0,13.0,3,N,1,2,59,42,N,N,0,0,20200208,1,4,17,5,1,494,7,2,32,13,89133246,BOE-308-2019,N,S,S,92,ERI,9,1,35,S,S
2017,200041,20170,99,200041,5,4,34,38,20110,10,38,74,1,1,0.0,8,8.586612774094167,351.0,4,307.0,4,334.0,5,0.0,5,M,2,63,20201007,20200623,0,1,N,S,0,1,0,0,2020-04-24,N,0,0,1,5.0,3,N,1,3,83,41,S,N,1,0,20201211,7,8,40,8,7,136,5,9,68,9,29246218,BOE-486-2017,N,S,N,68,GRC,10,36,17,N,S
2019,200042,20190,90,200042,5,6,3,13,20110,2,30,22,5,4,1.0,5,6.416850936244488,250.0,4,245.0,1,236.0,2,8.212,3,H,1,26,20200312,20200223,1,0,N,S,0,1,0,0,2023-06-04,N,0,0,0,21.0,2,S,1,2,88,14,N,N,0,0,20231227,9,9,47,8,2,98,1,9,447,6,75000490,BOE-558-2022,S,N,S,47,PRT,7,40,24,N,N
2011,200043,20110,48,200043,1,5,12,3,20100,11,32,332,3,1,0.0,7,8.375250138948388,185.0,3,184.0,5,184.0,1,6.121,1,H,1,52,20210819,20200423,1,0,N,N,0,0,0,1,2020-02-14,S,0,0,0,14.0,5,S,1,5,2,43,N,N,0,0,20210814,8,4,35,2,6,239,3,7,354,11,89133246,BOE-801-2013,S,S,N,75,PRY,4,43,36,S,S
2017,200044,20170,20,200044,7,1,50,20,20160,15,45,192,3,3,0.0,4,4.631345744127943,310.0,4,292.0,2,268.0,5,0.0,4,M,2,24,20231225,20230827,0,0,S,N,1,0,1,0,2021-06-30,N,1,0,1,25.0,3,N,1,8,63,48,N,N,0,0,20200613,1,8,10,1,9,296,6,8,143,12,15867870,BOE-217-2023,N,N,S,24,BLZ,5,5,13,N,S
2014,200045,20140,81,200045,7,5,20,40,20110,12,47,32,2,1,0.0,7,7.62391422816951,311.0,2,307.0,2,305.0,4,7.128,2,M,2,40,20220918,20210328,1,0,N,N,0,0,0,1,2020-09-23,S,0,0,1,25.0,2,S,1,2,8,6,N,S,0,1,20210525,6,8,5,6,8,230,8,3,100,7,59791674,BOE-551-2021,S,N,S,97,GAB,6,43,29,N,S
2013,200046,20130,76,200046,3,6,96,20,20110,2,29,31,5,4,1.0,5,5.994117147618954,247.0,3,247.0,4,246.0,5,5.563,3,H,1,37,20210513,20210115,1,0,S,N,1,0,1,0,2022-01-03,N,0,0,1,25.0,4,N,1,3,96,38,S,S,1,1,20200212,3,3,35,1,9,109,8,7,192,10,96223100,BOE-866-2012,N,S,S,14,DEU,6,37,36,N,S
2017,200047,20170,72,200047,2,6,29,49,20100,1,33,442,7,2,3.0,4,5.208351223413398,402.0,4,371.0,4,352.0,4,9.347,2,M,2,23,20220905,20200224,1,0,N,N,0,0,0,0,2023-02-10,N,0,0,1,22.0,1,S,1,1,100,30,S,N,1,0,20210803,6,5,41,6,1,17,1,8,140,2,59302835,BOE-537-2020,N,N,N,47,PRT,7,27,50,S,N
2016,200048,20160,86,200048,4,1,79,13,20150,3,35,280,2,2,0.0,5,5.590608837611853,330.0,1,328.0,4,306.0,4,7.769,2,H,1,62,20210621,20200817,1,0,N,N,0,0,0,1,2021-06-01,S,0,0,1,27.0,2,N,0,5,70,41,N,N,0,0,20211101,4,5,13,8,2,69,5,9,231,2,55757342,BOE-805-2021,N,N,N,47,PRT,10,32,49,S,N
2011,200049,20110,35,200049,2,5,64,14,20100,1,6,35,4,1,0.0,4,4.821865337010012,266.0,1,219.0,3,216.0,4,0.0,4,H,1,33,20211124,20201003,0,0,S,N,1,0,0,0,2022-05-27,N,0,0,0,16.0,1,N,0,7,82,50,N,N,0,0,20230905,10,9,11,1,9,74,5,7,145,4,29641883,BOE-108-2022,S,N,N,84,BWA,3,40,16,N,S
2019,200050,20190,100,200050,2,4,37,4,20140,9,34,229,4,4,0.0,4,4.916004427222485,351.0,2,351.0,3,351.0,2,5.341,4,H,1,43,20210319,20200708,1,0,S,N,1,0,0,1,2023-09-27,S,0,0,0,30.0,4,N,0,8,1,3,S,S,1,1,20210720,9,10,6,3,6,154,2,6,95,10,77619624,BOE-785-2014,N,S,S,61,CHN,3,4,42,S,N
2018,200051,20180,44,200051,2,2,78,47,20110,15,31,249,1,1,0.0,7,7.1152602479628095,255.0,5,184.0,3,233.0,4,0.0,2,M,2,23,20230602,20200211,0,1,S,N,1,0,1,0,2021-12-21,N,0,0,1,1.0,5,S,0,4,49,44,N,N,0,0,20230903,5,4,22,7,10,108,6,5,348,7,94212889,BOE-944-2020,N,S,N,16,BLR,6,27,27,N,S
2014,200052,20140,85,200052,2,3,30,35,20130,12,21,464,5,2,1.0,5,5.61338371334481,360.0,2,326.0,5,313.0,2,8.735,5,H,1,43,20221212,20221208,1,0,N,N,0,0,0,0,2020-06-13,N,0,0,1,8.0,1,N,0,9,53,4,N,S,0,1,20210430,10,1,42,5,4,99,3,6,229,13,68886959,BOE-174-2022,S,N,N,56,LIE,1,46,13,S,S
2013,200053,20130,82,200053,2,6,12,37,20100,14,2,356,2,2,0.0,7,7.681442974219645,317.0,5,304.0,3,282.0,4,6.256,4,M,2,45,20211111,20200328,1,0,N,S,0,1,0,1,2023-12-07,S,0,0,1,19.0,5,N,0,8,72,5,N,N,0,0,20220217,4,6,12,6,2,470,5,1,247,4,7467311,BOE-679-2022,S,S,S,80,ETH,3,11,32,S,N
2014,200054,20140,36,200054,6,4,91,37,20110,15,48,334,7,4,3.0,5,5.35858722191705,294.0,5,260.0,1,258.0,5,8.375,4,M,2,60,20220507,20220501,1,0,S,S,1,1,1,0,2020-02-26,N,0,0,0,9.0,4,N,0,2,30,31,N,N,0,0,20200426,7,4,37,6,2,340,1,4,225,1,29410942,BOE-160-2016,S,S,N,10,VCT,8,8,25,N,S
2014,200055,20140,98,200055,6,4,32,5,20120,11,27,354,4,3,0.0,4,5.062898112339688,327.0,1,242.0,2,276.0,4,0.0,5,H,1,63,20200807,20201001,0,0,S,N,1,0,0,0,2020-07-06,N,0,0,1,22.0,3,N,1,9,14,40,S,N,1,0,20210715,6,5,30,5,1,9,6,8,283,8,404729,BOE-176-2021,S,S,N,35,IRQ,6,26,41,N,S
2021,200056,20210,32,200056,3,1,72,43,20110,10,16,119,4,1,0.0,6,7.112478944562854,364.0,3,315.0,3,310.0,3,9.266,3,M,2,37,20220616,20221019,1,0,S,N,1,0,1,1,2020-02-08,S,0,0,0,5.0,5,N,0,2,33,5,S,S,1,1,20230626,8,1,18,3,7,412,5,1,438,14,39599276,BOE-671-2019,N,N,S,59,BRA,7,46,23,S,S
2016,200057,20160,33,200057,3,4,97,31,20150,8,39,292,5,3,1.0,3,3.2193593298195338,298.0,1,296.0,2,275.0,2,8.831,4,H,1,59,20211101,20200818,1,0,S,N,1,0,1,0,2023-08-10,N,0,0,0,11.0,5,N,0,3,75,49,N,N,0,0,20210723,2,1,18,1,4,480,6,1,13,4,49330907,BOE-987-2011,N,S,N,2,COG,6,18,33,N,N
