ID_CURSO_EGRACONS,ID_CURSO_EGRACONS_NK,ID_CURSO_ACADEMICO_CALIFIC,ID_CURSO_ACADEMICO_CALIFIC_NK,ID_ALUMNO,ID_EXPEDIENTE_ACADEMICO,ID_EXPEDIENTE_ACADEMICO_NK,EXPEDIENTE_ASIGNATURA,ID_TIPO_ESTUDIO,ID_ESTUDIO,ID_PLAN_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_CENTRO,ID_CENTRO_NK,ID_POBLACION_CENTRO,ID_ASIGNATURA,ID_ASIGNATURA_NK,ID_TIPO_ASIGNATURA,ID_CLASE_ASIGNATURA,CREDITOS,NOTA_NUMERICA,ID_CALIFICACION,ID_CALIFICACION_NK,ID_RANGO_NOTA_NUMERICA,ID_RANGO_NOTA_EGRACONS,ID_PLAN_GRUPO_MATRICULA,ID_PLAN_GRUPO_MATRICULA_NK,ID_CENTRO_IMPARTICION,ID_CENTRO_IMPARTICION_NK,ID_ESTUDIO_ASIGNATURA,ID_ESTUDIO_ASIGNATURA_NK,ID_TIPO_ESTUDIO_ASIGNATURA,ID_TIPO_ESTUDIO_ASIGNATURA_NK,ID_RAMA_CONOCIMIENTO_ASIG,ID_RAMA_CONOCIMIENTO_ASIG_NK,ID_ESTUDIO_NK,ID_PROGRAMA_MOVILIDAD,ID_PROGRAMA_MOVILIDAD_NK,FLG_ENTRADA,SN_PROGRAMA_INTERNACIONAL
20120,2012,20210,2021,866,13567,13567,466,1,25,85,4,14,1400,375,421,421,3,3,10.6,3.68,8,AD,3,1,1,1,12,12,69,69,1,1,4,A,2500,10,100,S,S
20120,2012,20100,2010,413,11358,11358,181,1,14,35,2,1,100,30,384,384,10,3,7.2,2.8,8,AD,3,3,90,90,42,42,140,140,1,1,2,B,1400,9,90,S,N
20230,2023,20100,2010,864,11830,11830,127,1,31,83,2,22,2200,299,360,360,4,4,11.4,9.12,5,SB,3,10,85,85,5,5,200,200,1,1,4,A,3100,4,40,N,S
20180,2018,20210,2021,306,15768,15768,80,1,42,27,4,6,600,21,409,409,10,2,6.3,5.31,4,NT,4,8,27,27,30,30,28,28,1,1,2,A,4200,9,90,N,N
20180,2018,20180,2018,179,17147,17147,6,3,42,27,4,10,1000,342,459,459,6,4,8.3,3.38,3,AP,3,9,31,31,49,49,70,70,3,3,5,C,4200,8,80,S,N
20130,2013,20110,2011,665,10316,10316,350,1,6,5,3,21,2100,219,376,376,3,4,3.4,2.49,9,RE,2,8,2,2,7,7,95,95,1,1,4,A,600,4,40,N,N
20220,2022,20220,2022,22,11757,11757,315,3,47,65,3,3,300,348,369,369,7,1,3.2,9.17,7,CO,3,1,84,84,33,33,186,186,3,3,5,E,4700,8,80,N,S
20120,2012,20190,2019,420,17508,17508,490,2,34,96,5,34,3400,421,87,87,6,1,8.4,3.75,1,NP,5,10,55,55,31,31,100,100,2,2,3,C,3400,4,40,S,S
20240,2024,20200,2020,872,16935,16935,186,2,21,55,5,20,2000,291,65,65,10,5,10.5,4.78,1,NP,5,5,22,22,18,18,48,48,2,2,3,C,2100,8,80,N,S
20230,2023,20140,2014,772,15550,15550,324,3,12,79,5,30,3000,209,320,320,3,2,3.9,9.28,10,AN,5,7,12,12,33,33,138,138,3,3,2,D,1200,5,50,S,N
20240,2024,20110,2011,202,10067,10067,309,4,13,35,2,17,1700,28,154,154,8,4,8.4,3.3,2,SS,4,4,89,89,14,14,161,161,4,4,1,C,1300,7,70,S,N
20100,2010,20220,2022,985,17089,17089,466,5,48,21,1,31,3100,335,222,222,9,4,6.4,3.55,1,NP,1,2,74,74,30,30,187,187,5,5,5,B,4800,8,80,S,N
20220,2022,20140,2014,788,12053,12053,68,4,6,9,2,16,1600,241,48,48,3,3,3.2,9.52,9,RE,3,3,98,98,5,5,47,47,4,4,1,B,600,9,90,S,N
20150,2015,20200,2020,259,18906,18906,224,1,8,26,5,22,2200,173,238,238,7,2,10.1,5.17,1,NP,4,5,50,50,17,17,168,168,1,1,5,D,800,5,50,N,N
20150,2015,20160,2016,860,18993,18993,491,2,32,68,1,5,500,37,488,488,4,1,7.0,4.58,10,AN,4,3,56,56,15,15,66,66,2,2,5,B,3200,3,30,S,N
20190,2019,20140,2014,679,16631,16631,89,3,29,12,1,16,1600,246,413,413,6,5,8.2,8.06,4,NT,4,10,92,92,29,29,13,13,3,3,4,B,2900,1,10,N,N
20230,2023,20120,2012,708,14983,14983,489,4,31,52,1,15,1500,494,136,136,7,1,5.0,0.5,6,MH,4,6,74,74,10,10,167,167,4,4,3,A,3100,2,20,N,N
20170,2017,20170,2017,153,15013,15013,219,1,24,98,5,35,3500,130,2,2,7,5,4.9,0.03,5,SB,5,5,87,87,30,30,86,86,1,1,2,E,2400,6,60,N,N
20200,2020,20150,2015,303,12826,12826,380,5,47,66,4,46,4600,212,177,177,3,2,5.3,9.8,9,RE,2,9,60,60,38,38,89,89,5,5,4,E,4700,2,20,N,N
20130,2013,20190,2019,576,18852,18852,6,5,7,88,1,22,2200,260,463,463,9,4,4.8,6.05,9,RE,1,1,87,87,13,13,106,106,5,5,3,E,700,4,40,S,N
20140,2014,20150,2015,547,13764,13764,108,3,43,76,4,23,2300,256,208,208,10,5,5.1,8.05,4,NT,4,5,52,52,4,4,161,161,3,3,4,E,4300,10,100,N,N
20210,2021,20120,2012,711,10701,10701,295,1,3,52,1,14,1400,497,130,130,2,4,3.7,7.85,5,SB,2,8,46,46,15,15,103,103,1,1,2,E,300,3,30,S,S
20150,2015,20200,2020,720,17073,17073,395,1,39,21,5,34,3400,212,335,335,3,4,6.9,6.58,8,AD,1,6,65,65,26,26,82,82,1,1,3,B,3900,5,50,S,S
20130,2013,20110,2011,227,17280,17280,249,4,1,23,5,11,1100,212,113,113,4,1,6.1,9.32,4,NT,5,4,63,63,14,14,173,173,4,4,3,B,100,5,50,S,S
20210,2021,20230,2023,276,10244,10244,217,2,35,20,2,17,1700,164,465,465,6,1,5.6,5.05,5,SB,5,1,48,48,45,45,36,36,2,2,3,E,3500,7,70,S,S
20130,2013,20190,2019,51,18519,18519,420,4,37,46,4,44,4400,102,166,166,5,4,9.3,1.04,2,SS,3,1,61,61,19,19,60,60,4,4,2,B,3700,1,10,S,N
20220,2022,20150,2015,98,13638,13638,435,4,31,41,4,22,2200,280,448,448,10,4,7.0,1.77,5,SB,4,6,27,27,42,42,134,134,4,4,1,B,3100,7,70,S,N
20230,2023,20200,2020,462,18966,18966,159,2,30,21,3,30,3000,208,95,95,4,5,6.9,4.39,1,NP,5,3,48,48,39,39,149,149,2,2,2,D,3000,4,40,N,N
20130,2013,20190,2019,298,12847,12847,290,2,39,15,1,3,300,197,492,492,7,4,6.0,2.34,10,AN,5,1,1,1,3,3,169,169,2,2,4,A,3900,1,10,N,S
20120,2012,20210,2021,3,14172,14172,412,1,32,57,5,12,1200,479,116,116,7,1,8.3,5.12,2,SS,4,7,3,3,45,45,145,145,1,1,3,D,3200,3,30,S,S
20110,2011,20200,2020,670,16875,16875,116,2,1,93,3,10,1000,61,236,236,9,3,11.1,9.38,1,NP,3,1,41,41,36,36,118,118,2,2,4,A,100,6,60,N,N
20150,2015,20240,2024,580,18063,18063,104,5,46,40,2,2,200,88,279,279,10,5,10.2,7.17,3,AP,2,1,21,21,46,46,193,193,5,5,1,B,4600,4,40,N,N
20220,2022,20200,2020,711,18475,18475,234,1,12,39,2,37,3700,373,113,113,3,1,4.2,4.74,7,CO,3,6,99,99,22,22,30,30,1,1,1,D,1200,10,100,N,N
20240,2024,20180,2018,271,13562,13562,493,3,6,72,3,15,1500,253,388,388,1,1,11.0,1.02,8,AD,4,5,42,42,25,25,183,183,3,3,3,A,600,8,80,N,S
20110,2011,20100,2010,12,15177,15177,71,5,30,90,5,18,1800,457,487,487,9,2,10.5,8.59,7,CO,4,6,43,43,49,49,28,28,5,5,2,A,3000,5,50,S,S
20110,2011,20210,2021,457,15068,15068,252,5,3,84,3,2,200,32,95,95,1,4,7.2,4.82,6,MH,3,3,16,16,17,17,115,115,5,5,4,A,300,4,40,S,S
20230,2023,20160,2016,942,10143,10143,29,4,3,59,5,8,800,144,237,237,10,5,11.3,3.73,6,MH,4,5,10,10,5,5,114,114,4,4,1,E,300,8,80,N,N
20200,2020,20230,2023,12,16983,16983,498,4,39,51,2,50,5000,97,264,264,4,5,7.2,8.0,1,NP,2,6,75,75,7,7,168,168,4,4,5,B,3900,1,10,N,N
20170,2017,20240,2024,137,15394,15394,197,4,35,56,3,12,1200,113,297,297,4,1,9.9,4.76,6,MH,2,4,89,89,4,4,37,37,4,4,1,A,3500,3,30,N,N
20150,2015,20120,2012,860,10937,10937,247,2,21,47,3,35,3500,5,417,417,2,4,11.9,5.26,7,CO,3,5,80,80,14,14,10,10,2,2,1,C,2100,3,30,S,N
20110,2011,20170,2017,205,15121,15121,269,3,9,60,4,28,2800,369,138,138,10,3,9.2,5.42,10,AN,3,9,16,16,18,18,79,79,3,3,3,E,900,6,60,S,N
20240,2024,20150,2015,856,13574,13574,451,1,24,81,2,1,100,252,174,174,1,1,8.9,5.24,4,NT,3,9,96,96,42,42,39,39,1,1,4,C,2400,6,60,S,N
20170,2017,20130,2013,189,15730,15730,84,1,23,32,1,17,1700,90,296,296,5,4,4.5,2.13,9,RE,1,8,56,56,45,45,28,28,1,1,5,A,2300,6,60,S,N
20200,2020,20100,2010,48,16719,16719,152,1,23,71,3,14,1400,355,326,326,2,2,5.1,9.85,1,NP,4,9,3,3,45,45,77,77,1,1,5,B,2300,6,60,S,N
20130,2013,20130,2013,811,10001,10001,36,4,14,75,3,46,4600,419,431,431,7,3,9.4,9.93,3,AP,3,1,82,82,9,9,88,88,4,4,5,B,1400,9,90,S,N
20220,2022,20210,2021,837,11986,11986,270,5,1,61,1,34,3400,199,169,169,4,4,4.2,2.05,9,RE,2,5,71,71,14,14,83,83,5,5,2,B,100,5,50,S,S
20240,2024,20180,2018,753,19449,19449,338,5,35,78,4,35,3500,284,61,61,6,2,6.9,6.8,10,AN,3,7,89,89,38,38,96,96,5,5,5,B,3500,9,90,S,N
20180,2018,20110,2011,673,12619,12619,163,3,23,24,1,1,100,398,16,16,4,5,9.9,5.47,2,SS,1,9,41,41,17,17,27,27,3,3,4,D,2300,5,50,N,S
20160,2016,20190,2019,284,12002,12002,431,1,39,90,5,8,800,216,8,8,5,3,9.7,4.65,1,NP,4,2,15,15,35,35,66,66,1,1,5,D,3900,10,100,N,S
20200,2020,20110,2011,282,14280,14280,454,2,30,25,1,2,200,42,253,253,3,4,11.5,6.03,7,CO,2,7,19,19,37,37,183,183,2,2,2,B,3000,10,100,S,S
20210,2021,20240,2024,603,17528,17528,26,1,50,35,5,10,1000,317,228,228,7,3,6.8,1.09,6,MH,2,10,14,14,7,7,63,63,1,1,1,B,5000,7,70,S,N
20190,2019,20190,2019,820,19387,19387,351,1,7,73,1,31,3100,93,146,146,2,4,4.2,7.9,10,AN,1,9,53,53,12,12,190,190,1,1,1,B,700,10,100,S,N
20230,2023,20200,2020,678,10716,10716,420,2,13,29,3,36,3600,123,30,30,2,2,11.4,6.47,1,NP,5,5,53,53,25,25,75,75,2,2,3,E,1300,8,80,S,N
20120,2012,20110,2011,166,17183,17183,463,4,49,67,2,36,3600,463,179,179,6,3,9.2,6.71,2,SS,3,2,37,37,22,22,177,177,4,4,4,B,4900,4,40,S,N
20200,2020,20230,2023,182,17669,17669,169,1,37,48,1,15,1500,239,496,496,5,2,10.9,9.96,5,SB,1,3,15,15,41,41,143,143,1,1,4,A,3700,5,50,S,N
20130,2013,20210,2021,996,19642,19642,224,1,2,21,3,7,700,9,429,429,5,2,6.1,2.2,2,SS,5,1,9,9,35,35,3,3,1,1,5,D,200,1,10,S,S
20170,2017,20110,2011,595,12077,12077,72,5,12,4,2,42,4200,178,383,383,10,2,6.5,7.89,4,NT,1,2,73,73,1,1,134,134,5,5,3,C,1200,6,60,N,N
20160,2016,20210,2021,40,12717,12717,106,1,10,25,5,21,2100,104,114,114,5,5,11.1,9.0,4,NT,5,8,25,25,25,25,194,194,1,1,4,C,1000,5,50,N,S
20180,2018,20170,2017,259,19153,19153,168,4,48,60,2,18,1800,211,92,92,7,3,10.0,0.5,8,AD,5,10,16,16,50,50,14,14,4,4,1,B,4800,10,100,N,N
20140,2014,20210,2021,469,18906,18906,127,4,13,6,2,39,3900,47,39,39,8,2,9.9,2.23,2,SS,5,2,24,24,40,40,24,24,4,4,1,A,1300,5,50,S,S
20200,2020,20100,2010,254,11284,11284,442,2,44,72,2,36,3600,311,9,9,9,4,11.5,2.79,9,RE,1,3,60,60,25,25,3,3,2,2,2,B,4400,6,60,N,N
20190,2019,20130,2013,693,13867,13867,127,2,28,67,4,44,4400,84,202,202,4,3,11.4,2.12,4,NT,4,4,70,70,29,29,88,88,2,2,1,C,2800,3,30,N,S
20130,2013,20210,2021,10,12409,12409,214,1,10,61,5,3,300,283,46,46,7,3,9.0,9.68,1,NP,4,5,43,43,10,10,96,96,1,1,1,A,1000,2,20,N,N
20170,2017,20220,2022,158,10967,10967,437,5,30,78,2,48,4800,199,15,15,3,3,11.9,2.75,7,CO,4,9,99,99,46,46,91,91,5,5,2,D,3000,9,90,N,S
20190,2019,20190,2019,535,19569,19569,75,5,26,31,4,35,3500,363,478,478,6,2,11.5,0.7,9,RE,2,1,27,27,44,44,122,122,5,5,3,E,2600,4,40,S,S
20140,2014,20130,2013,287,19157,19157,262,5,19,30,2,3,300,102,176,176,6,3,5.8,8.86,1,NP,5,6,98,98,46,46,184,184,5,5,1,A,1900,8,80,S,S
20210,2021,20240,2024,61,14014,14014,441,1,13,10,2,25,2500,142,439,439,1,3,9.0,8.11,3,AP,5,3,38,38,29,29,111,111,1,1,5,B,1300,9,90,S,N
20210,2021,20220,2022,31,19223,19223,90,5,24,71,5,20,2000,462,489,489,9,1,8.7,3.24,2,SS,4,6,71,71,34,34,169,169,5,5,1,A,2400,7,70,S,N
20130,2013,20180,2018,197,10977,10977,362,1,46,23,1,7,700,206,21,21,8,3,5.8,8.29,2,SS,4,10,37,37,5,5,49,49,1,1,3,C,4600,9,90,S,N
20170,2017,20170,2017,463,10193,10193,269,5,39,3,4,13,1300,108,362,362,2,3,10.6,8.25,6,MH,5,5,30,30,20,20,112,112,5,5,4,B,3900,2,20,S,N
20180,2018,20160,2016,562,16011,16011,21,1,50,73,4,23,2300,185,169,169,9,4,4.8,9.12,2,SS,3,2,66,66,35,35,134,134,1,1,3,E,5000,4,40,S,S
20130,2013,20140,2014,501,15880,15880,459,4,6,52,2,28,2800,310,42,42,2,1,11.8,0.38,9,RE,3,8,60,60,14,14,196,196,4,4,3,C,600,2,20,S,N
20240,2024,20210,2021,729,10984,10984,142,4,38,68,1,4,400,334,90,90,2,1,7.6,6.13,6,MH,2,5,7,7,18,18,73,73,4,4,5,B,3800,2,20,N,N
20120,2012,20240,2024,816,13011,13011,466,1,28,60,3,1,100,339,305,305,2,2,3.2,0.2,4,NT,3,3,24,24,2,2,152,152,1,1,2,E,2800,1,10,S,S
20210,2021,20110,2011,260,16655,16655,418,4,8,37,4,5,500,85,332,332,4,2,4.4,6.17,2,SS,1,7,62,62,24,24,72,72,4,4,1,E,800,4,40,S,S
20140,2014,20150,2015,99,12529,12529,164,2,40,15,2,38,3800,426,292,292,9,1,3.1,7.59,5,SB,3,5,48,48,14,14,100,100,2,2,2,C,4000,7,70,S,N
20180,2018,20230,2023,775,10233,10233,16,3,48,15,1,21,2100,68,49,49,5,5,6.4,6.33,2,SS,2,6,73,73,46,46,148,148,3,3,3,E,4800,5,50,S,N
20140,2014,20110,2011,366,13205,13205,376,3,18,1,4,1,100,100,126,126,10,4,10.1,3.25,7,CO,5,3,47,47,2,2,103,103,3,3,2,B,1800,10,100,N,N
20140,2014,20120,2012,232,19548,19548,100,2,3,79,5,45,4500,441,234,234,10,5,5.3,4.98,1,NP,2,4,76,76,23,23,25,25,2,2,1,C,300,1,10,N,S
20110,2011,20100,2010,535,19159,19159,266,3,20,97,4,27,2700,266,323,323,3,4,11.9,1.4,3,AP,2,10,59,59,44,44,156,156,3,3,4,B,2000,1,10,S,N
20210,2021,20170,2017,125,13805,13805,259,3,49,47,3,35,3500,76,414,414,9,3,4.8,9.96,8,AD,4,2,68,68,12,12,19,19,3,3,1,B,4900,1,10,N,S
20230,2023,20190,2019,725,14251,14251,152,1,28,71,4,33,3300,408,351,351,2,4,4.1,7.7,3,AP,5,9,39,39,50,50,32,32,1,1,1,A,2800,10,100,S,N
20140,2014,20180,2018,304,16064,16064,33,3,49,55,2,44,4400,41,453,453,4,3,7.2,1.98,5,SB,1,1,73,73,6,6,21,21,3,3,5,E,4900,2,20,S,N
20120,2012,20190,2019,179,16985,16985,431,5,16,26,3,35,3500,264,20,20,3,1,10.6,4.77,8,AD,2,5,59,59,14,14,133,133,5,5,2,B,1600,10,100,N,N
20140,2014,20120,2012,629,15239,15239,86,2,22,93,5,50,5000,186,293,293,7,1,11.6,2.07,7,CO,5,4,62,62,29,29,124,124,2,2,2,B,2200,7,70,S,N
20160,2016,20160,2016,591,11886,11886,143,5,21,14,5,39,3900,317,378,378,10,2,6.4,8.2,8,AD,1,9,92,92,11,11,114,114,5,5,3,E,2100,1,10,S,N
20190,2019,20100,2010,960,19080,19080,446,5,44,34,1,41,4100,77,72,72,5,3,5.9,1.79,3,AP,1,3,88,88,31,31,83,83,5,5,5,E,4400,7,70,N,S
20150,2015,20150,2015,534,10910,10910,62,2,36,87,5,10,1000,273,290,290,5,2,8.5,1.57,2,SS,2,10,69,69,19,19,84,84,2,2,4,B,3600,6,60,N,N
20220,2022,20240,2024,982,12729,12729,210,1,12,71,4,26,2600,92,199,199,1,1,5.5,9.99,9,RE,4,7,25,25,1,1,84,84,1,1,3,A,1200,6,60,S,N
20100,2010,20200,2020,288,18029,18029,99,4,23,24,2,39,3900,187,35,35,6,2,4.1,1.53,9,RE,5,9,26,26,41,41,31,31,4,4,2,E,2300,8,80,S,N
20100,2010,20160,2016,520,13485,13485,19,2,22,15,3,46,4600,276,55,55,8,5,9.7,1.56,8,AD,3,3,48,48,38,38,186,186,2,2,1,D,2200,5,50,S,N
20110,2011,20220,2022,802,12814,12814,278,2,48,27,5,41,4100,257,358,358,10,4,6.5,0.59,1,NP,1,9,57,57,22,22,145,145,2,2,5,C,4800,7,70,N,S
20200,2020,20190,2019,766,10826,10826,148,5,35,80,2,19,1900,19,214,214,1,5,10.1,8.39,5,SB,5,2,95,95,23,23,50,50,5,5,1,B,3500,3,30,S,N
20110,2011,20140,2014,330,18127,18127,119,4,43,12,3,17,1700,308,30,30,6,2,9.6,9.0,5,SB,4,9,41,41,28,28,69,69,4,4,5,E,4300,3,30,S,N
20220,2022,20150,2015,31,17044,17044,184,5,45,7,1,4,400,58,453,453,4,2,11.3,2.23,7,CO,3,6,61,61,50,50,94,94,5,5,3,A,4500,8,80,S,N
20240,2024,20200,2020,946,12962,12962,183,2,31,19,5,3,300,407,264,264,7,4,11.4,1.55,6,MH,1,1,51,51,5,5,147,147,2,2,4,B,3100,3,30,S,N
