ID_CURSO_ACADEMICO_COHORTE_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_CURSO_ACADEMICO_COHORTE,ID_EXPEDIENTE_ACADEMICO,ID_PLAN_ESTUDIO,ID_CENTRO,ID_ALUMNO,ID_TIPO_ACCESO,ID_SEXO,ID_RANGO_CREDITOS_MATRICULADOS,ID_RANGO_CREDITOS_SUPERADOS,ID_CURSO_ACAD_GRADUACION,ID_CURSO_ACAD_ABANDONO,ID_CURSO_ACAD_TRASLADO,ID_RANGO_CALIFICACION_FINAL,ID_TIPO_ABANDONO,EDAD_INGRESO,DURACION,CREDITOS_NECESARIOS,CREDITOS_MATRICULADOS,CREDITOS_SUPERADOS,CREDITOS_PRESENTADOS,CREDITOS_SUSPENDIDOS,CREDITOS_RECONOCIDOS,CREDITOS_TRANSFERIDOS,GRADUADO,TRASLADO,INGRESO,FLG_NUEVO_INGRESO,FLG_ABANDONO_INICIAL,FLG_GRADUADO_EN_TIEMPO,FECHA_CARGA,SN_GRADUADO_EN_TIEMPO,NOTA_ADMISION,ABANDONO_GENERICO,ABANDONO_OFICIAL,FLG_PLAN_OFICIAL,FLG_TASA_ABANDONO,FLG_TASA_GRADUACION,FLG_CALCULO_TASA,ID_ESTUDIO_PREVIO,ID_PAIS_NACIONALIDAD,ID_POBLACION_FAMILIAR,ID_ESTUDIO,ID_CENTRO_INICIO,FLG_TRASLADO_MISMO_ESTUDIO,ID_FECHA_CARGA,ID_TIPO_ESTUDIO,ID_TIPO_CENTRO,ID_CAMPUS_CENTRO,ID_RAMA_CONOCIMIENTO,ID_POBLACION_CENTRO,ID_PERSONA_NIP_NK,CURSOS_MATRICULADOS,CURSO_MAS_ALTO_MATRICULADO,CURSOS_EXTRA_GRADUACION,CALIFICACION_FINAL,SN_ABANDONO_INICIAL,SN_GRADUADO,SN_ABANDONO_OFICIAL,ID_PAIS_FAMILIAR,ID_PAIS_FAMILIAR_NK,ID_EDAD_EST,FLG_GRADUADO_IDONEO,SN_GRADUADO_IDONEO,FLG_MULTIPLE_TITULACION,SN_MULTIPLE_TITULACION,FLG_C_ABANDONOINI,FLG_C_ABANDONO,FLG_C_IDONEIDAD,FLG_C_GRADUACION,FE_C_ABANDONOINI,FE_C_ABANDONO,FE_C_IDONEIDAD,FE_C_GRADUACION,FECHA_ACTUAL
2015,300011,20150,300011,28,6,92,6,2,1,3,20210.0,,,5.0,4,38,8,254,279,263,263,0,6,0,1,0,1,0,0,1,2023-04-15,S,5.37,0,0,1,0,1,1,1,99,98,75,18,0,20221121,1,7,5,1,483,18808678,2,4,0,9.82,N,S,N,30,HND,7,1,S,1,S,1,0,1,1,2022-04-06,,2020-07-18,2022-08-20,2025-05-24
2015,300012,20150,300012,80,8,5,3,1,3,4,20180.0,,,4.0,6,57,4,213,215,213,241,28,20,17,1,0,1,1,0,1,2023-06-24,S,10.47,0,0,1,0,1,1,3,75,46,36,26,0,20230820,10,8,6,2,2,34152669,3,3,0,9.4,N,S,N,16,BLR,8,1,S,0,N,1,1,1,1,2023-08-06,2020-06-12,2022-09-16,2021-12-17,2025-05-24
2022,300013,20220,300013,72,18,64,14,1,4,5,,,,,6,57,5,196,231,231,238,7,5,15,0,0,1,0,0,0,2020-08-01,N,11.94,0,0,0,0,0,1,6,67,13,35,8,0,20230120,7,7,6,3,257,25297417,2,2,0,,N,N,N,18,ZAF,8,0,N,1,S,1,1,0,0,2022-09-06,2023-07-30,,,2025-05-24
2016,300014,20160,300014,28,38,58,14,1,1,4,,,20220.0,,4,46,7,191,248,243,247,4,13,8,0,1,1,1,0,0,2020-10-14,N,5.46,0,0,0,0,0,0,5,65,5,87,16,1,20221117,10,7,7,10,251,30824989,6,1,0,,N,N,N,18,ZAF,2,0,N,0,N,1,1,0,1,2021-01-14,2022-03-07,,2021-02-18,2025-05-24
2016,300015,20160,300015,2,48,31,15,1,1,3,,20170.0,,,7,45,7,315,315,314,323,9,25,5,0,0,1,1,0,0,2021-02-21,N,11.6,1,1,0,1,0,0,10,20,345,25,50,0,20200129,5,8,3,10,112,50666702,5,5,0,,N,N,S,20,TGO,10,0,N,0,N,0,0,1,0,,,2022-03-08,,2025-05-24
2022,300016,20220,300016,24,14,5,2,1,2,4,,,,,7,35,3,257,260,213,218,5,1,16,0,0,1,1,0,0,2022-09-22,N,8.58,0,0,0,0,0,0,4,70,349,65,5,0,20230930,7,4,7,10,465,34152669,2,3,0,,N,N,N,1,ESP,10,0,N,1,S,0,0,1,0,,,2021-02-05,,2025-05-24
2014,300017,20140,300017,66,24,16,7,2,3,2,20190.0,,,2.0,2,44,2,224,225,224,227,3,15,6,1,0,1,0,0,0,2022-04-02,N,10.15,0,0,1,0,1,1,9,38,227,78,26,0,20230201,2,1,7,8,453,8087373,5,5,1,8.04,N,S,N,75,PRY,4,0,N,0,N,0,0,0,0,,,,,2025-05-24
2018,300018,20180,300018,35,41,26,12,2,1,5,20210.0,,,2.0,7,46,6,278,287,283,313,30,19,14,1,0,1,0,0,0,2023-04-02,N,5.6,0,0,1,0,1,0,3,85,126,86,6,0,20200521,3,5,9,1,381,86688655,6,3,2,9.39,N,S,N,15,CAN,4,0,N,1,S,1,0,1,0,2022-07-05,,2021-06-28,,2025-05-24
2020,300019,20200,300019,45,7,34,7,1,4,1,,,20230.0,,5,58,6,198,216,184,203,19,6,0,0,1,1,1,0,0,2023-04-08,N,13.6,0,0,0,0,0,1,9,63,342,59,33,0,20230511,5,5,8,7,458,91634516,5,1,0,,N,N,N,54,MRT,10,0,N,0,N,0,0,0,1,,,,2020-03-18,2025-05-24
2020,300020,20200,300020,34,40,41,13,2,1,1,20230.0,,,5.0,1,38,3,196,197,197,199,2,5,4,1,0,1,1,0,1,2020-06-05,S,11.12,0,0,1,0,1,0,10,27,69,40,36,0,20200101,9,7,5,2,149,23954324,4,4,0,6.55,N,S,N,13,MCO,2,1,S,0,N,0,0,0,0,,,,,2025-05-24
2019,300021,20190,300021,15,48,56,10,1,4,4,20210.0,,,5.0,3,49,4,302,357,330,350,20,12,14,1,0,1,0,0,1,2023-08-09,S,6.4,0,0,1,0,1,1,7,42,364,49,20,0,20220524,9,5,8,4,262,71394920,2,4,0,5.33,N,S,N,34,AUS,10,1,S,0,N,1,0,1,1,2021-07-25,,2020-07-17,2022-07-28,2025-05-24
2012,300022,20120,300022,95,2,74,10,1,5,3,20160.0,,,1.0,7,46,3,246,248,248,268,20,26,5,1,0,1,0,0,1,2023-05-22,S,13.68,0,0,0,0,1,0,8,86,91,95,29,0,20201031,6,5,7,9,114,9031632,2,3,0,5.48,N,S,N,54,MRT,9,1,S,0,N,0,0,1,0,,,2020-06-23,,2025-05-24
2020,300023,20200,300023,39,1,63,9,2,4,2,20240.0,,,5.0,2,20,2,252,277,267,284,17,27,4,1,0,1,1,0,1,2021-03-14,S,5.61,0,0,1,0,1,0,1,97,159,92,2,0,20220817,6,3,6,10,252,36997080,4,5,0,5.3,N,S,N,50,NZL,7,1,S,1,S,1,1,1,1,2021-10-07,2022-06-17,2020-05-08,2021-08-09,2025-05-24
2017,300024,20170,300024,40,34,57,15,2,1,2,,20190.0,,,4,36,2,197,257,137,140,3,5,7,0,0,1,1,0,0,2020-07-20,N,7.23,1,1,1,1,0,0,4,98,443,79,47,0,20200411,5,5,8,3,76,50905625,3,2,0,,N,N,S,96,SVK,10,0,N,1,S,1,1,1,0,2023-12-21,2022-07-19,2022-07-18,,2025-05-24
2018,300025,20180,300025,71,6,56,15,1,4,4,20210.0,,,2.0,4,50,3,195,251,245,267,22,21,14,1,0,1,1,0,1,2023-08-27,S,13.99,0,0,1,0,1,1,6,12,320,38,32,0,20200221,8,2,1,1,277,71394920,3,2,0,9.32,N,S,N,65,KOR,6,1,S,0,N,0,0,1,0,,,2022-02-28,,2025-05-24
2016,300026,20160,300026,54,6,86,9,1,5,2,,,20230.0,,5,29,6,225,234,218,239,21,15,17,0,1,1,0,0,0,2020-10-01,N,11.06,0,0,0,0,0,0,9,88,121,12,7,0,20210906,8,1,5,5,494,53991141,5,4,0,,N,N,N,12,ITA,4,0,N,0,N,0,1,0,1,,2020-01-12,,2021-05-21,2025-05-24
2011,300027,20110,300027,47,34,55,12,1,1,1,,,20240.0,,2,25,2,295,301,270,295,25,10,20,0,1,1,0,0,0,2022-10-11,N,9.86,0,0,0,0,0,0,6,16,53,22,21,1,20221004,2,8,4,6,31,56925500,5,2,0,,N,N,N,30,HND,8,0,N,1,S,0,0,0,1,,,,2020-12-28,2025-05-24
2019,300028,20190,300028,71,50,42,15,2,5,4,20200.0,,,1.0,5,39,5,279,327,297,326,29,3,18,1,0,1,0,0,0,2022-02-07,N,6.01,0,0,1,0,1,1,8,28,30,21,1,0,20220208,2,3,10,5,366,72109613,6,6,2,6.2,N,S,N,60,RUS,10,0,N,1,S,1,0,0,1,2022-01-26,,,2021-08-15,2025-05-24
2010,300029,20100,300029,56,14,52,4,2,4,3,20120.0,,,4.0,7,17,2,274,297,294,306,12,6,15,1,0,1,1,0,0,2021-08-11,N,13.57,0,0,0,0,1,0,9,26,258,80,45,0,20200601,4,7,4,10,461,90395620,6,1,2,5.84,N,S,N,82,PAN,5,0,N,1,S,1,0,0,1,2021-09-25,,,2023-07-04,2025-05-24
2022,300030,20220,300030,81,13,54,14,2,3,1,,20230.0,,,1,19,4,203,212,153,157,4,27,4,0,0,1,1,0,0,2020-03-05,N,7.21,1,1,0,1,0,1,10,15,98,25,32,0,20220704,1,7,6,2,199,73074216,4,4,0,,N,N,S,22,FIN,2,0,N,0,N,0,0,1,0,,,2023-08-23,,2025-05-24
2017,300031,20170,300031,37,47,94,7,2,1,4,20190.0,,,4.0,5,22,7,222,255,243,265,22,25,3,1,0,1,0,0,1,2022-11-22,S,6.77,0,0,0,0,1,1,7,54,244,27,38,0,20210425,6,7,7,7,47,38824283,3,1,0,9.77,N,S,N,2,COG,6,1,S,1,S,1,1,1,1,2020-02-20,2022-09-29,2023-11-19,2020-02-07,2025-05-24
2023,300032,20230,300032,45,40,26,2,2,1,4,,,20240.0,,6,48,4,301,318,257,270,13,19,12,0,1,1,1,0,0,2022-02-21,N,13.59,0,0,1,0,0,1,6,71,208,63,9,0,20220611,2,8,10,5,227,86688655,5,2,0,,N,N,N,61,CHN,4,0,N,1,S,1,0,0,1,2020-04-18,,,2020-01-04,2025-05-24
2011,300033,20110,300033,17,13,37,13,2,4,1,,,20170.0,,2,43,1,181,209,154,156,2,22,11,0,1,1,0,0,0,2021-02-09,N,11.89,0,0,0,0,0,1,3,90,412,36,39,1,20210202,3,3,2,9,295,17849589,1,4,0,,N,N,N,54,MRT,6,0,N,0,N,0,1,1,0,,2021-12-01,2022-12-05,,2025-05-24
2016,300034,20160,300034,45,15,80,13,1,2,2,20170.0,,,3.0,1,35,3,260,280,276,297,21,19,20,1,0,1,1,0,1,2021-09-17,S,9.14,0,0,1,0,1,1,4,42,306,43,4,0,20210601,10,4,9,7,40,90197485,2,6,0,6.76,N,S,N,77,NGA,5,1,S,1,S,0,0,1,1,,,2023-02-13,2023-05-18,2025-05-24
2021,300035,20210,300035,3,45,2,1,2,1,3,20220.0,,,1.0,3,57,1,192,219,206,221,15,3,11,1,0,1,1,0,1,2023-11-16,S,10.49,0,0,0,0,1,1,7,89,110,11,42,0,20230404,5,8,9,6,210,97077009,1,3,0,8.89,N,S,N,60,RUS,10,1,S,0,N,0,0,0,1,,,,2022-04-26,2025-05-24
2012,300036,20120,300036,4,17,49,3,1,5,1,,,20240.0,,2,55,5,227,231,174,178,4,9,0,0,1,1,0,0,0,2023-07-23,N,6.13,0,0,1,0,0,0,9,59,179,58,33,1,20200324,6,5,7,7,424,3051483,3,6,0,,N,N,N,31,MUS,7,0,N,0,N,0,0,1,0,,,2022-10-07,,2025-05-24
2021,300037,20210,300037,65,46,61,11,1,3,1,20240.0,,,4.0,5,39,6,187,195,190,192,2,12,5,1,0,1,0,0,0,2020-09-12,N,9.15,0,0,0,0,1,0,1,16,75,74,7,0,20230412,10,8,8,6,118,46460773,5,2,1,8.37,N,S,N,34,AUS,7,0,N,1,S,0,1,1,0,,2020-09-22,2020-02-19,,2025-05-24
2023,300038,20230,300038,72,34,86,14,1,3,4,20240.0,,,4.0,2,63,1,238,260,252,257,5,4,10,1,0,1,0,0,1,2020-02-21,S,9.09,0,0,1,0,1,1,5,83,328,56,38,0,20200912,8,2,4,3,151,53991141,4,3,0,9.56,N,S,N,14,DEU,10,1,S,1,S,1,0,1,1,2021-01-21,,2022-12-23,2020-10-26,2025-05-24
2012,300039,20120,300039,70,5,95,10,2,1,3,,,20220.0,,7,21,8,205,265,168,179,11,12,18,0,1,1,0,0,0,2020-12-12,N,9.67,0,0,1,0,0,1,5,41,198,40,47,0,20210702,1,2,7,3,326,31428626,6,3,0,,N,N,N,77,NGA,5,0,N,0,N,0,1,1,0,,2023-08-10,2020-12-09,,2025-05-24
2023,300040,20230,300040,51,20,78,5,1,5,2,20240.0,,,2.0,1,41,3,257,309,288,317,29,20,14,1,0,1,1,0,0,2020-08-21,N,10.06,0,0,0,0,1,0,1,71,115,15,40,0,20230824,1,5,5,8,405,59920305,5,1,1,8.3,N,S,N,79,NAM,8,0,N,1,S,0,0,0,1,,,,2021-02-16,2025-05-24
2014,300041,20140,300041,98,33,17,11,1,4,2,20230.0,,,1.0,1,46,8,292,325,313,340,27,6,19,1,0,1,1,0,0,2022-11-12,N,6.69,0,0,0,0,1,1,3,95,192,21,36,0,20231001,7,1,2,6,253,9263592,5,6,1,5.23,N,S,N,5,SWZ,5,0,N,1,S,0,1,1,1,,2021-10-30,2021-04-19,2020-03-06,2025-05-24
2016,300042,20160,300042,27,33,6,12,1,5,2,,20180.0,,,6,28,3,217,249,221,226,5,21,18,0,0,1,0,0,0,2021-07-23,N,9.84,1,0,0,1,0,1,7,58,384,27,8,0,20230223,10,4,4,2,39,404729,5,2,0,,N,N,N,30,HND,5,0,N,1,S,1,0,0,1,2022-08-10,,,2022-09-14,2025-05-24
2013,300043,20130,300043,96,17,65,14,1,4,5,,,,,5,60,3,303,306,243,249,6,13,18,0,0,1,0,0,0,2022-08-25,N,7.25,0,0,1,0,0,0,2,40,404,67,12,0,20200711,5,4,5,5,373,97311066,1,3,0,,N,N,N,100,VUT,3,0,N,1,S,1,0,1,1,2021-06-03,,2023-09-09,2022-08-22,2025-05-24
2016,300044,20160,300044,32,12,4,1,2,4,5,,20190.0,,,2,48,2,353,355,355,374,19,5,5,0,0,1,1,0,0,2023-01-02,N,12.47,1,0,0,1,0,1,8,46,151,100,41,0,20220407,1,2,5,10,458,53143336,6,6,0,,N,N,N,19,CMR,10,0,N,0,N,0,1,1,0,,2021-04-05,2021-06-27,,2025-05-24
2010,300045,20100,300045,95,2,44,6,2,4,1,,,,,7,54,4,329,386,377,407,30,13,14,0,0,1,0,0,0,2021-10-12,N,5.45,0,0,1,0,0,0,7,8,120,25,43,0,20200828,9,1,10,6,345,70980044,5,5,0,,N,N,N,24,BLZ,3,0,N,1,S,1,0,0,1,2023-04-09,,,2021-03-26,2025-05-24
2010,300046,20100,300046,92,31,53,11,1,3,3,20130.0,,,3.0,4,23,5,243,271,250,271,21,19,2,1,0,1,1,0,1,2022-11-05,S,10.91,0,0,0,0,1,1,8,48,180,60,34,0,20210827,1,4,3,5,294,96515159,2,6,0,9.3,N,S,N,64,FSM,6,1,S,1,S,0,1,0,1,,2021-02-02,,2023-09-04,2025-05-24
2020,300047,20200,300047,55,20,51,15,1,4,1,,,20230.0,,5,44,8,191,228,150,175,25,6,0,0,1,1,0,0,0,2023-01-24,N,7.75,0,0,1,0,0,0,4,76,55,16,7,0,20220618,3,7,6,6,287,62143331,1,2,0,,N,N,N,64,FSM,6,0,N,1,S,0,0,1,0,,,2022-03-10,,2025-05-24
2016,300048,20160,300048,48,40,95,11,2,1,3,,,,,2,34,8,244,274,184,201,17,9,15,0,0,1,0,0,0,2020-12-17,N,5.44,0,0,1,0,0,0,5,50,324,19,38,0,20210506,7,4,1,1,130,31428626,3,5,0,,N,N,N,7,AUT,9,0,N,1,S,1,1,1,1,2023-05-27,2021-07-23,2023-02-21,2021-03-20,2025-05-24
2014,300049,20140,300049,12,5,100,1,1,2,3,20210.0,,,1.0,3,18,5,304,357,330,347,17,30,9,1,0,1,0,0,0,2022-11-23,N,13.22,0,0,0,0,1,0,9,69,272,66,10,0,20200302,9,5,9,8,278,80251151,6,1,2,7.85,N,S,N,23,GTM,7,0,N,0,N,1,1,0,0,2021-05-31,2022-01-20,,,2025-05-24
2019,300050,20190,300050,4,44,37,6,2,5,3,,,20240.0,,2,58,2,205,207,183,184,1,24,12,0,1,1,0,0,0,2020-11-03,N,5.38,0,0,0,0,0,1,5,2,122,8,47,0,20211016,2,2,3,5,59,17849589,2,1,0,,N,N,N,59,BRA,8,0,N,0,N,0,1,0,1,,2022-04-14,,2021-10-19,2025-05-24
2023,300051,20230,300051,55,17,60,1,1,1,4,20240.0,,,2.0,2,35,3,320,368,354,379,25,2,6,1,0,1,0,0,1,2021-06-19,S,11.79,0,0,0,0,1,1,1,14,334,69,14,0,20210726,6,2,6,4,174,61824078,1,1,0,5.04,N,S,N,43,TWN,2,1,S,1,S,0,0,1,0,,,2023-01-07,,2025-05-24
2023,300052,20230,300052,51,10,27,10,1,3,4,20240.0,,,4.0,5,62,4,255,275,268,294,26,16,9,1,0,1,0,0,1,2022-03-03,S,6.3,0,0,1,0,1,0,10,81,489,64,41,0,20220328,5,1,3,1,344,56420024,4,5,0,9.93,N,S,N,71,LSO,1,1,S,0,N,1,0,0,1,2021-05-03,,,2023-06-13,2025-05-24
2016,300053,20160,300053,62,32,91,5,1,5,3,20210.0,,,2.0,5,18,1,237,239,238,249,11,21,16,1,0,1,0,0,1,2021-03-26,S,6.52,0,0,1,0,1,1,8,98,53,85,31,0,20200414,1,8,4,6,447,7575790,1,5,0,6.96,N,S,N,10,VCT,9,1,S,1,S,0,1,1,1,,2022-02-01,2023-06-13,2021-07-20,2025-05-24
2010,300054,20100,300054,44,31,79,11,1,4,2,20230.0,,,3.0,4,37,5,358,368,360,383,23,0,8,1,0,1,1,0,1,2023-01-03,S,9.45,0,0,1,0,1,1,10,62,351,17,41,0,20230812,4,3,10,8,83,80233330,4,4,0,6.1,N,S,N,7,AUT,4,1,S,0,N,1,0,0,1,2020-09-14,,,2023-10-13,2025-05-24
2020,300055,20200,300055,97,46,47,14,1,4,1,,,20230.0,,4,58,8,315,327,324,343,19,3,8,0,1,1,0,0,0,2021-03-24,N,8.68,0,0,1,0,0,0,3,16,84,58,28,1,20230210,2,8,5,5,377,29888974,4,2,0,,N,N,N,90,TTO,2,0,N,0,N,1,1,1,0,2020-09-13,2021-07-30,2020-08-13,,2025-05-24
2015,300056,20150,300056,70,46,73,4,1,3,5,,,20230.0,,7,35,4,290,306,233,240,7,22,15,0,1,1,1,0,0,2022-04-17,N,11.17,0,0,1,0,0,1,2,85,277,30,5,0,20221028,3,5,6,6,474,27659807,5,1,0,,N,N,N,60,RUS,7,0,N,1,S,1,0,1,1,2022-09-26,,2021-02-08,2022-11-10,2025-05-24
2016,300057,20160,300057,98,6,99,3,2,3,5,20180.0,,,1.0,6,29,7,288,296,293,313,20,27,19,1,0,1,0,0,0,2023-11-29,N,12.04,0,0,0,0,1,1,6,85,168,23,45,0,20200115,3,5,7,2,175,77507357,5,6,1,6.16,N,S,N,78,GNQ,3,0,N,0,N,0,0,0,0,,,,,2025-05-24
2014,300058,20140,300058,50,19,33,13,2,5,3,20220.0,,,2.0,2,65,3,317,328,326,355,29,21,10,1,0,1,1,0,1,2021-05-09,S,10.83,0,0,1,0,1,1,10,100,403,2,5,0,20230316,7,1,5,2,319,10770971,4,5,0,9.42,N,S,N,18,ZAF,9,1,S,0,N,1,0,1,0,2020-11-01,,2021-06-11,,2025-05-24
2023,300059,20230,300059,45,42,48,15,1,1,5,,,20240.0,,3,21,4,335,353,319,331,12,15,11,0,1,1,1,0,0,2021-05-04,N,7.66,0,0,0,0,0,0,7,87,232,8,38,0,20201205,8,2,7,1,420,466177,5,1,0,,N,N,N,91,QAT,8,0,N,0,N,0,0,1,0,,,2023-11-11,,2025-05-24
2022,300060,20220,300060,35,28,2,5,2,3,4,,,20230.0,,4,55,2,325,325,274,283,9,29,8,0,1,1,1,0,0,2020-07-24,N,7.62,0,0,0,0,0,1,4,68,150,82,42,1,20200808,10,5,2,1,314,97077009,1,2,0,,N,N,N,82,PAN,1,0,N,0,N,0,1,1,1,,2021-01-25,2023-12-24,2021-11-05,2025-05-24
2013,300061,20130,300061,83,33,89,8,1,1,5,20170.0,,,3.0,1,44,1,295,324,302,303,1,12,1,1,0,1,0,0,0,2023-05-27,N,10.69,0,0,1,0,1,0,10,99,62,65,16,0,20200617,8,4,3,9,265,72445335,6,2,2,6.98,N,S,N,31,MUS,9,0,N,0,N,1,0,1,1,2023-04-30,,2021-08-31,2022-03-17,2025-05-24
2010,300062,20100,300062,73,36,61,11,1,4,1,20150.0,,,5.0,1,39,2,284,313,306,321,15,10,4,1,0,1,0,0,1,2020-07-02,S,13.62,0,0,0,0,1,1,8,77,397,77,48,0,20200313,2,4,5,6,393,46460773,1,1,0,7.65,N,S,N,9,ARG,3,1,S,1,S,0,0,0,0,,,,,2025-05-24
2018,300063,20180,300063,74,29,44,13,2,2,4,,,20240.0,,2,44,6,233,278,203,216,13,15,13,0,1,1,0,0,0,2020-08-01,N,8.56,0,0,1,0,0,0,10,87,376,28,31,1,20200823,3,1,9,3,426,70980044,5,3,0,,N,N,N,42,SWE,6,0,N,1,S,1,0,0,1,2023-08-17,,,2020-12-09,2025-05-24
