ID_CURSO_INFORME_NK,ID_CURSO_MATRICULA_NK,ID_PERSONA_NIP_NK,ID_CENTRO_NK,ID_PLAN_ESTUDIO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_DEDICACION_ALUMNO_NK,FLG_NUEVO_INGRESO,FLG_EN_PROGRAMA_MOVILIDAD,FECHA_LECTURA_TESIS,SN_COTUTELA_TESIS,SN_MENCION_INTERNAC_TESIS,FECHA_MATRICULA,ID_ASIGNATURA_NK,CALIFICACION,FLG_SUPERADA,FLG_PRESENTADA,FLG_RECONOCIDA,FLG_TRANSFERIDA,FLG_SUSPENDIDA,FECHA_CALIFICACION,ID_PROFESOR_NIP_NK,ID_DEDICACION_PROFESOR_NK,FLG_TUTOR,FLG_DIRECTOR,FECHA_REFERENCIA,ID_CURSO_INFORME,ID_CURSO_MATRICULA,ID_ALUMNO,SEXO_ALUMNO,ID_PAIS_NACIONALIDAD_ALUMNO,ID_DEDICACION_ALUMNO,ID_PROFESOR,SEXO_PROFESOR,ID_PAIS_NACIONALIDAD_PROF,ID_PLAN_ESTUDIO,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_ASIGNATURA,ID_TIPO_ASIGNATURA,ID_CALIFICACION,FLG_SEXENIO_VIVO,ID_DEDICACION_PROFESOR,ID_FECHA_CARGA,ID_CENTRO,SN_NUEVO_INGRESO,SN_EN_PROGRAMA_MOVILIDAD,SN_TUTOR,SN_DIRECTOR,NUM_SEXENIOS,FLG_TIEMPO_PARCIAL,ID_PAIS_NACIONALIDAD_ALUMNO_NK,FLG_EXTRANJERO,ID_FECHA_LECTURA_TESIS,ID_FECHA_MATRICULA,FLG_PROFESOR,FLG_TESIS_LEIDA,NUM_DIRECTORES_TESIS,ID_ESTUDIO_NK,ID_TIPO_BECA_NK,ID_TIPO_BECA,ID_TIPO_CONTRATO_NK,FLG_PROFESOR_UZ,FLG_PROFESOR_TIEMPO_COMPLETO,FLG_COTUTELA_TESIS,FLG_MENCION_INTERNAC_TESIS,FLG_BECADO,SN_TESIS_LEIDA,FLG_ABANDONO,SN_ABANDONO,FLG_ABANDONO_DENOMINADOR,DURACION_NETA_TESIS,FLG_TESIS_CUM_LAUDE,SN_PROFESOR_UZ,ID_SITUACION_ADVA,TOT_ARTICULOS_INDEX_UZ,NUMERO_ALU_ENCUESTA_GLOBAL_0,SN_MENCION_INDUSTRIAL,FLG_COMPENDIO_PUBLICACIONES,NUM_ART_IDX_ANO_SIG_UZ,TOT_ARTICULOS_NO_INDEX_PLAN,NUM_ART_NO_IDX_ANO_SIG_UZ,FECHA_RECON_SEXENIO_ESTATAL,ID_PROYECTO_INVESTIGACION,ID_UNIVERSIDAD_ORIGEN,FECHA_RECON_SEXENIO_AUTONOMICO,NUM_QUINQUENIOS,FLG_MENCION_INDUSTRIAL,ID_CATEGORIA_CUERPO_ESCALA,NUM_ART_NO_IDX_ANO_CURSO_RAMA,FECHA_CARGA,NUM_ART_IDX_ANO_SIG_RAMA,NUM_SEXENIO_ESTATAL,FLG_SEXENIO_VIVO_CNEAI,ID_UNIVERSIDAD_ORIGEN_NK,NUMERO_PROF_ENCUESTA_GLOBAL_2,NUM_SEXENIO_AUTONOMICO,FECHA_DEPOSITO_TESIS,TOT_ARTICULOS_NO_INDEX_UZ,NUMERO_ALU_ENCUESTA_GLOBAL_2,NUMERO_ALU_ENCUESTA_GLOBAL_5,NUMERO_PROF_ENCUESTA_GLOBAL_4,TOT_ARTICULOS_INDEX_PLAN,FLG_SEXENIO_VIVO_ESTATAL,SN_COMPENDIO_PUBLICACIONES,NUMERO_PROF_ENCUESTA_GLOBAL_3,NUM_ART_NO_IDX_ANO_SIG_PLAN,FLG_SEXENIO_VIVO_AUTONOMICO,NUM_ART_IDX_ANO_CURSO_PLAN,AMBITO_PROYECTO,ID_SEXO_PROFESOR,NUM_ART_NO_IDX_ANO_CURSO_PLAN,TOT_ARTICULOS_INDEX_RAMA,NUM_ART_IDX_ANO_CURSO_RAMA,SN_PRORROGA_1,ID_SEXO_ALUMNO,FLG_OTRA_UNIVERSIDAD_DENOM,AUT_AMPLIACION_TESIS,DIAS_BAJA,NUMERO_ALU_ENCUESTA_GLOBAL_4,ID_CATEGORIA_CUERPO_ESCALA_NK,NUM_REGS_TESIS,ID_PROYECTO_INVESTIGACION_NK,NUMERO_ALU_ENCUESTA_GLOBAL_3,NUM_ART_NO_IDX_ANO_CURSO_UZ,NUM_ART_NO_IDX_ANO_SIG_RAMA,FECHA_INSCRI_SOLICITUD_TESIS,FECHA_RECON_SEXENIO_CNEAI,DURACION_BRUTA_TESIS,NUMERO_PROF_ENCUESTA_GLOBAL_1,SN_PRORROGA_2,NUM_SEXENIOS_TRANSF,FLG_OTRA_UNIVERSIDAD,NUMERO_ALU_ENCUESTA_GLOBAL_1,TOT_ARTICULOS_NO_INDEX_RAMA,NUMERO_PROF_ENCUESTA_GLOBAL_0,NUMERO_PROF_ENCUESTA_GLOBAL_5,NUM_ART_IDX_ANO_SIG_PLAN,NUM_SEXENIO_CNEAI,NUM_ART_IDX_ANO_CURSO_UZ,ID_SITUACION_ADVA_NK
2023,2012,29410942,5000,10060,1000011,TP,0,1,,N,N,2020-10-03,213,SB,1,1,1,0,0,2020-07-20,44039203,TC,1,0,2025-06-03,20230,20120,36,M,81,2,70,H,41,60,24,10,213,6,5,0,1,20250603,50,N,S,S,N,6,0,EGY,1,0,20201003,1,0,3,2400,FP,41,CTR004326,1,1,0,0,0,N,0,N,0,0.0,0,S,8,122,819,N,1,733,990,195,2022-05-18,881,897,2021-11-13,406,1,380,279,2022-03-05,4,762,0,44,930,286,2022-05-02,202,525,405,785,339,0,N,875,536,1,87,Quod non.,325,207,632,41,S,638,0,963,843,370,Qui.,251,Perspiciatis officia similique in et impedit.,262,220,480,2020-10-12,2020-06-13,213,105,N,460,1,625,514,473,322,128,758,694,COM
2017,2020,40526484,3000,10063,1000012,CR,1,0,2022-08-15,N,S,2021-01-21,183,SS,0,1,1,1,1,2022-08-03,29410942,TP,0,0,2025-06-03,20170,20200,8,M,58,4,36,M,27,63,47,6,183,9,2,0,2,20250603,30,S,N,N,N,5,0,BGR,1,20220815,20210121,1,1,2,4700,AU,85,CTR053473,1,1,0,1,1,S,0,N,0,1447.0,1,S,2,729,797,N,1,269,988,406,2020-09-15,24,716,2022-06-05,872,1,190,936,2021-06-04,323,731,0,33,276,560,2021-03-01,959,970,180,778,517,0,S,686,468,1,357,Incidunt non.,411,413,183,435,N,930,1,205,961,661,Ab.,190,Quis repudiandae nulla ratione facilis.,786,22,420,2023-04-28,2021-03-25,288,587,N,664,0,920,123,796,579,495,441,357,EXC
2017,2014,44241559,2200,10061,1000013,TP,0,0,,N,S,2019-10-21,42,CO,0,0,0,1,0,,87735896,VI,0,0,2025-06-03,20170,20140,7,M,54,2,14,M,38,61,6,12,42,3,7,0,4,20250603,22,N,N,N,N,0,0,MRT,1,0,20191021,1,0,3,600,IN,117,CTR073260,1,0,0,1,0,N,0,N,0,0.0,1,S,2,746,873,N,0,722,562,116,2023-12-30,739,869,2023-10-24,853,0,360,911,2021-02-20,124,656,0,952,224,234,2023-05-07,634,533,601,512,488,0,N,52,588,1,70,Modi quod.,64,909,408,694,S,878,1,495,699,196,Nisi.,368,Aspernatur sit quidem aliquam corporis odit.,517,792,12,2021-03-17,2022-08-03,994,739,S,97,1,971,91,899,923,837,242,662,EXC
2018,2020,76866717,500,10021,1000014,CR,0,1,2022-09-19,N,N,2023-07-20,108,AN,0,0,0,0,0,2020-03-10,41361818,OT,0,0,2025-06-03,20180,20200,66,M,18,4,93,H,4,21,12,6,108,5,10,0,5,20250603,5,N,S,N,N,0,1,ZAF,1,20220919,20230720,1,1,2,1200,IN,37,CTR011944,1,0,0,0,1,S,1,S,1,1067.0,0,S,8,890,478,N,0,439,126,660,2021-01-23,751,159,2020-05-11,437,1,62,271,2023-01-28,43,450,0,674,856,955,2020-11-26,26,648,435,197,984,0,S,337,680,0,421,Tempore.,626,175,428,279,S,12,1,84,179,77,Eius.,874,Quaerat ex deserunt qui.,647,37,706,2021-01-04,2020-09-30,546,795,S,582,1,933,364,672,468,647,88,216,COM
2012,2013,41361818,1100,10079,1000015,TP,1,1,2021-05-25,S,N,2018-01-07,118,NT,1,1,0,1,0,2020-12-13,34152669,VI,1,0,2025-06-03,20120,20130,93,H,86,2,97,M,47,79,28,2,118,6,4,0,4,20250603,11,S,S,S,N,5,1,BHR,1,20210525,20180107,1,1,1,2800,FI,142,CTR096140,1,1,1,0,0,S,1,S,1,1082.0,1,S,2,735,295,N,1,145,157,771,2020-10-31,918,913,2021-07-20,381,1,445,957,2020-03-29,716,860,1,6,904,784,2022-03-06,42,877,756,476,285,1,S,293,161,0,233,Sunt hic.,963,87,898,971,S,350,1,845,260,124,Sit.,677,Ullam officia enim error.,345,149,986,2023-04-16,2021-03-24,418,588,S,294,1,78,12,979,422,602,349,727,EXC
2021,2021,70890196,4200,10054,1000016,SD,1,0,,S,N,2023-02-18,254,RE,0,0,0,0,0,,29410942,VI,0,0,2025-06-03,20210,20210,56,H,31,5,36,M,92,54,24,1,254,9,9,1,4,20250603,42,S,N,N,N,4,0,MUS,1,0,20230218,1,0,1,2400,PR,56,CTR094528,1,0,1,0,1,N,0,N,0,0.0,0,S,9,851,400,S,1,859,925,794,2022-11-27,79,306,2022-02-01,405,1,783,543,2022-03-31,598,722,0,698,403,891,2023-12-29,822,636,812,403,244,0,N,490,477,0,535,Commodi.,29,764,386,127,S,93,0,421,518,245,Esse.,789,Suscipit quis incidunt perspiciatis.,688,309,755,2020-12-02,2022-11-23,600,645,N,886,1,932,249,101,110,30,980,159,JUB
2015,2018,63193474,2400,10007,1000017,TP,1,0,,S,N,2018-01-02,339,AN,0,0,0,1,0,2020-09-23,44039203,OT,0,1,2025-06-03,20150,20180,46,H,72,2,70,H,61,7,32,14,339,1,10,0,5,20250603,24,S,N,N,S,6,1,GNB,1,0,20180102,1,0,1,3200,FI,52,CTR034781,1,1,1,0,1,N,0,N,0,0.0,1,S,5,976,924,S,0,412,404,515,2020-10-29,920,283,2021-07-25,7,1,318,126,2021-02-02,633,951,0,523,932,835,2020-11-08,452,890,463,800,251,0,N,577,557,1,551,Atque autem.,852,222,190,842,N,854,1,643,565,690,Ea.,34,Cum aspernatur similique fugit eligendi magnam.,302,958,630,2022-12-30,2022-06-14,882,921,N,840,0,314,604,325,844,516,57,441,EXCFC
2014,2020,72144402,900,10006,1000018,TP,1,0,2022-06-03,N,S,2018-10-06,471,SS,0,1,1,1,1,2023-06-11,62059365,TP,1,0,2025-06-03,20140,20200,47,M,77,2,91,M,24,6,34,15,471,3,2,1,2,20250603,9,S,N,S,N,0,0,NGA,1,20220603,20181006,1,1,1,3400,PR,36,CTR046091,1,1,0,1,0,S,1,S,1,1034.0,0,S,1,623,781,N,0,12,145,49,2021-06-09,656,222,2022-01-25,214,0,693,347,2022-08-29,310,121,0,580,827,206,2020-07-16,526,364,32,883,220,1,N,776,11,0,330,Incidunt.,940,109,780,371,N,330,0,268,731,975,Enim.,405,Quos veniam aperiam illum.,851,187,95,2021-10-24,2020-09-01,145,390,S,193,1,86,405,310,19,254,160,908,ACT
2012,2019,59302835,1500,10093,1000019,TP,0,0,2023-04-12,N,N,2020-08-04,56,SS,0,1,0,0,1,,62059365,OT,1,1,2025-06-03,20120,20190,72,M,4,2,91,M,62,93,32,1,56,3,2,1,5,20250603,15,N,N,S,S,0,1,CUB,1,20230412,20200804,1,1,1,3200,PR,6,CTR002731,1,0,0,0,1,S,0,N,0,1434.0,0,S,8,831,804,N,1,641,760,708,2021-10-05,203,356,2020-01-18,473,0,43,827,2023-01-04,871,38,1,72,97,898,2021-03-13,885,441,755,592,885,0,N,920,945,1,103,Ratione.,836,522,434,795,S,978,1,566,449,749,Enim.,291,Odit voluptas optio aspernatur rerum.,901,143,460,2020-08-02,2023-11-08,987,469,S,560,0,944,528,582,501,808,784,349,COM
2012,2012,15759274,200,10038,1000020,TC,1,1,,S,S,2019-10-12,190,AP,1,1,1,0,0,,92649206,VI,0,0,2025-06-03,20120,20120,30,M,95,1,29,H,22,38,27,3,190,8,3,1,4,20250603,2,S,S,N,N,5,0,NLD,1,0,20191012,1,0,3,2700,FP,51,CTR046695,1,0,1,1,1,N,0,N,0,0.0,0,S,3,514,641,N,1,98,746,138,2021-12-23,744,748,2020-10-08,168,1,290,624,2023-11-04,285,958,1,60,742,978,2021-01-27,718,605,219,288,414,1,N,656,751,1,869,Quae id.,736,447,610,7,S,667,1,681,250,397,Odio.,18,Cumque molestias tempore quis quam.,954,106,395,2022-10-23,2022-12-05,515,551,S,841,0,611,899,578,48,820,118,703,EXCF
2023,2015,96223100,3800,10099,1000021,SD,1,0,2022-03-06,S,S,2021-09-10,338,RE,0,0,1,0,0,,2921981,VI,0,0,2025-06-03,20230,20150,76,H,33,5,95,M,9,99,47,11,338,10,9,1,4,20250603,38,S,N,N,N,5,1,LBR,1,20220306,20210910,1,1,2,4700,MC,44,CTR093418,1,0,1,1,0,S,0,N,0,1051.0,0,S,7,454,524,N,1,434,393,339,2022-10-28,467,161,2021-06-14,38,0,462,724,2020-07-25,90,647,0,775,48,516,2023-12-16,958,72,235,253,704,0,N,117,837,0,328,Id.,436,5,994,98,S,246,1,549,774,375,Qui.,581,Nesciunt laudantium itaque incidunt.,946,509,855,2020-01-04,2021-01-20,94,149,N,872,0,710,587,249,941,484,62,819,SUS
2020,2011,55757342,2600,10028,1000022,TC,0,1,,S,S,2023-10-03,260,AD,0,0,0,0,0,,29246218,TC,1,1,2025-06-03,20200,20110,86,H,72,1,99,M,79,28,29,2,260,3,8,1,1,20250603,26,N,S,S,S,5,1,GNB,1,0,20231003,1,0,2,2900,IN,57,CTR095347,1,1,1,1,1,N,1,S,1,0.0,0,S,6,40,619,S,0,118,418,748,2020-03-22,324,203,2021-01-05,815,1,490,924,2020-06-02,337,291,1,907,178,572,2023-02-08,309,41,405,108,395,0,S,726,803,0,589,Neque porro.,951,377,703,841,N,191,1,907,261,17,Ut.,306,Provident quasi nam perspiciatis ipsa at tempore.,750,5,296,2021-10-14,2023-01-11,662,399,N,111,1,785,962,426,93,147,191,7,EXCHI
2021,2016,75721444,4500,10045,1000023,SD,0,0,2022-06-10,N,S,2020-02-02,7,AN,0,0,0,0,0,2023-08-09,44241559,VI,1,1,2025-06-03,20210,20160,60,M,5,5,7,M,73,45,40,1,7,3,10,0,4,20250603,45,N,N,S,S,4,0,SWZ,1,20220610,20200202,1,1,3,4000,FI,122,CTR039731,1,1,0,1,0,S,0,N,0,843.0,0,S,4,890,904,N,1,735,460,77,2021-07-20,942,329,2022-05-08,377,1,408,349,2022-04-28,15,267,1,453,393,374,2023-07-02,839,348,38,354,864,1,S,352,719,1,137,Esse minus.,291,980,490,314,S,2,0,578,12,493,Nisi.,83,Possimus quae culpa eum beatae.,609,787,977,2023-06-06,2022-08-26,327,690,S,899,1,472,115,866,78,884,241,78,EXCS
