ID_CURSO_ACADEMICO_NK,ID_ACUERDO_BILATERAL_NK,ID_AREA_ESTUDIOS_NK,ID_NIVEL_ESTUDIOS_NK,ID_CURSO_ACADEMICO,ID_ACUERDO_BILATERAL,ID_AREA_ESTUDIOS_MOVILIDAD,ID_NIVEL_ESTUDIOS_MOVILIDAD,IN_OUT,ID_UNIVERSIDAD_ACUERDO,ID_PAIS_UNIVERSIDAD_ACUERDO,ID_COLECTIVO_MOVILIDAD,ID_CURSO_INICIO_VIGENCIA,ID_CURSO_FIN_VIGENCIA,ID_FECHA_REFERENCIA,DURACION_ESTANCIA_ALUMNOS,DURACION_ESTANCIA_DOCENTES,HORAS_CLASE_SEMANA,FECHA_CARGA,ID_PROGRAMA_MOVILIDAD,ID_IDIOMA_NIVEL_PRINCIPAL,ID_IDIOMA_NIVEL_SECUNDARIO,ID_CENTRO,ID_FECHA_CARGA,ID_COLECTIVO_NK,ID_PROGRAMA_MOVILIDAD_NK,ID_UNIVERSIDAD_DESTINO_NK,ID_CURSO_ACADEMICO_INICIO_NK,ID_CURSO_ACADEMICO_FIN_NK,ENTRADA_SALIDA,COD_PLAZA_OFERTADA,COLECTIVO_OFERTA,ID_CENTRO_NK,ID_IDIOMA_1_NK,ID_NIVEL_IDIOMA_1_NK,ID_IDIOMA_2_NK,ID_NIVEL_IDIOMA_2_NK,ID_ALUMNO,ID_ALUMNO_NIP_NK,FLG_OFERTA_ALUMNOS,FLG_OFERTA_DOCENTES,FECHA_REFERENCIA,FLG_PLAZA_FICTICIA
2011,2018-4492,17,MASTER,20110,16,17,2,OUT,63,40,3,20220,20240,20241029,12,3,2,2025-06-16 19:14:04.601183,6,6,9,16,20250616,TR,60,630,2022,2024,S,PLAZA-60-499,PDI,1600,1,6,2,3,868,87988,0,1,2024-10-29 19:14:04.601183,0
2013,2010-8811,11,GRADO,20130,4,11,1,OUT,37,74,2,20150,20220,20250204,12,2,18,2025-06-16 19:14:04.608185,5,1,14,23,20250616,TE,50,370,2015,2022,S,PLAZA-50-324,MIXTO,2300,1,1,3,2,332,17209,1,1,2025-02-04 19:14:04.608185,1
2012,2013-7054,13,GRADO2,20120,18,13,5,OUT,42,64,1,20150,20170,20250605,10,2,4,2025-06-16 19:14:04.615183,4,13,13,41,20250616,ST,40,420,2015,2017,S,PLAZA-40-991,PDI,4100,3,1,3,1,4,51928,0,1,2025-06-05 19:14:04.615183,1
2023,2017-2638,1,GRADO,20230,15,1,1,OUT,52,74,2,20100,20130,20240910,6,4,2,2025-06-16 19:14:04.620184,6,8,6,13,20250616,TE,60,520,2010,2013,S,PLAZA-60-842,ESTUDIANTES,1300,2,2,1,6,172,55747,1,0,2024-09-10 19:14:04.620184,0
2010,2023-4044,19,POSGR,20100,6,19,6,OUT,1,53,3,20210,20220,20240813,12,3,2,2025-06-16 19:14:04.628185,9,15,15,25,20250616,TR,90,10,2021,2022,S,PLAZA-90-235,PAS,2500,3,3,3,3,473,36137,0,0,2024-08-13 19:14:04.628185,1
2014,2021-6138,18,GRADO1,20140,3,18,4,IN,65,96,2,20180,20210,20241005,5,2,9,2025-06-16 19:14:04.636187,9,1,16,4,20250616,TE,90,650,2018,2021,E,PLAZA-90-284,MIXTO,400,1,1,3,4,798,25229,1,1,2024-10-05 19:14:04.636187,1
2015,2010-9320,10,DOCTO,20150,5,10,3,OUT,21,18,2,20120,20240,20250121,5,1,12,2025-06-16 19:14:04.642183,1,11,4,16,20250616,TE,10,210,2012,2024,S,PLAZA-10-220,PAS,1600,2,5,1,4,436,61812,0,0,2025-01-21 19:14:04.642183,1
2012,2017-2638,8,GRADO2,20120,15,8,5,OUT,8,72,3,20210,20220,20250601,9,2,19,2025-06-16 19:14:04.650188,1,5,5,9,20250616,TR,10,80,2021,2022,S,PLAZA-10-929,PAS,900,1,5,1,5,751,34941,0,0,2025-06-01 19:14:04.650188,1
2010,2012-8179,9,GRADO2,20100,19,9,5,IN,43,9,1,20180,20200,20250510,12,5,1,2025-06-16 19:14:04.657186,5,3,1,46,20250616,ST,50,430,2018,2020,E,PLAZA-50-340,MIXTO,4600,1,3,1,1,435,50104,1,1,2025-05-10 19:14:04.657186,1
2014,2015-2188,1,SHORT,20140,14,1,7,IN,66,11,2,20240,20240,20250422,5,4,13,2025-06-16 19:14:04.673186,7,11,3,45,20250616,TE,70,660,2024,2024,E,PLAZA-70-365,PAS,4500,2,5,1,3,430,41417,0,0,2025-04-22 19:14:04.673186,1
2012,2012-4111,9,GRADO,20120,1,9,1,OUT,57,94,3,20230,20230,20250401,12,4,17,2025-06-16 19:14:04.679184,10,7,20,1,20250616,TR,100,570,2023,2023,S,PLAZA-100-831,PAS,100,2,1,4,2,659,42343,0,0,2025-04-01 19:14:04.679184,1
2018,2012-5915,9,OTHER,20180,13,9,8,OUT,77,43,3,20170,20190,20241205,6,4,7,2025-06-16 19:14:04.685184,7,6,12,10,20250616,TR,70,770,2017,2019,S,PLAZA-70-577,PAS,1000,1,6,2,6,370,58374,0,0,2024-12-05 19:14:04.685184,1
2021,2019-9666,1,OTHER,20210,20,1,8,OUT,3,54,4,20110,20130,20250228,10,3,12,2025-06-16 19:14:04.690186,8,18,15,17,20250616,RE,80,30,2011,2013,S,PLAZA-80-643,PAS,1700,3,6,3,3,787,59063,0,0,2025-02-28 19:14:04.690186,1
2014,2012-8179,18,OTHER,20140,19,18,8,IN,100,85,1,20230,20230,20250423,12,1,17,2025-06-16 19:14:04.697182,2,13,16,16,20250616,ST,20,1000,2023,2023,E,PLAZA-20-882,PAS,1600,3,1,3,4,994,29698,0,0,2025-04-23 19:14:04.697182,1
2017,2019-9666,10,SHORT,20170,20,10,7,IN,88,27,1,20170,20220,20241005,12,5,11,2025-06-16 19:14:04.703185,9,14,5,19,20250616,ST,90,880,2017,2022,E,PLAZA-90-853,PDI,1900,3,2,1,5,468,20976,0,1,2024-10-05 19:14:04.703185,1
2012,2013-1958,5,DOCTO,20120,2,5,3,OUT,68,30,1,20130,20130,20250513,9,1,11,2025-06-16 19:14:04.710187,7,4,2,22,20250616,ST,70,680,2013,2013,S,PLAZA-70-322,ESTUDIANTES,2200,1,4,1,2,645,72872,1,0,2025-05-13 19:14:04.710187,1
2024,2021-6138,10,POSGR,20240,3,10,6,OUT,77,9,3,20100,20110,20240815,12,1,20,2025-06-16 19:14:04.715186,2,4,12,49,20250616,TR,20,770,2010,2011,S,PLAZA-20-702,MIXTO,4900,1,4,2,6,344,90516,1,1,2024-08-15 19:14:04.715186,1
2015,2013-5351,18,SHORT,20150,12,18,7,IN,77,12,2,20120,20180,20240809,6,4,3,2025-06-16 19:14:04.722188,4,1,20,32,20250616,TE,40,770,2012,2018,E,PLAZA-40-905,PAS,3200,1,1,4,2,566,88694,0,0,2024-08-09 19:14:04.722188,0
2020,2021-6138,18,POSGR,20200,3,18,6,IN,41,19,4,20130,20160,20240719,10,2,12,2025-06-16 19:14:04.728188,3,8,8,33,20250616,RE,30,410,2013,2016,E,PLAZA-30-843,ESTUDIANTES,3300,2,2,2,2,936,22212,1,0,2024-07-19 19:14:04.728188,1
2022,2010-8811,1,GRADO,20220,4,1,1,IN,18,33,4,20170,20200,20250306,10,4,7,2025-06-16 19:14:04.734194,2,15,19,2,20250616,RE,20,180,2017,2020,E,PLAZA-20-954,MIXTO,200,3,3,4,1,255,71010,1,1,2025-03-06 19:14:04.734194,0
2011,2017-2638,9,POSGR,20110,15,9,6,OUT,18,47,3,20240,20240,20241222,12,5,16,2025-06-16 19:14:04.746189,2,3,13,5,20250616,TR,20,180,2024,2024,S,PLAZA-20-234,PDI,500,1,3,3,1,322,94571,0,1,2024-12-22 19:14:04.746189,0
2020,2012-4111,20,OTHER,20200,1,20,8,OUT,86,100,2,20150,20150,20250206,5,3,17,2025-06-16 19:14:04.752185,4,6,3,7,20250616,TE,40,860,2015,2015,S,PLAZA-40-811,PAS,700,1,6,1,3,254,91123,0,0,2025-02-06 19:14:04.752185,1
2020,2017-2638,13,GRADO,20200,15,13,1,OUT,85,34,3,20140,20180,20250519,10,2,17,2025-06-16 19:14:04.758185,7,10,4,23,20250616,TR,70,850,2014,2018,S,PLAZA-70-606,PDI,2300,2,4,1,4,564,74161,0,1,2025-05-19 19:14:04.758185,1
2018,2013-5351,12,MASTER,20180,12,12,2,OUT,44,90,4,20220,20240,20250601,10,5,5,2025-06-16 19:14:04.763182,9,3,8,8,20250616,RE,90,440,2022,2024,S,PLAZA-90-675,PDI,800,1,3,2,2,849,31608,0,1,2025-06-01 19:14:04.763182,1
2014,2014-4346,16,GRADO2,20140,11,16,5,OUT,54,99,2,20110,20110,20250411,5,5,13,2025-06-16 19:14:04.768755,1,13,15,37,20250616,TE,10,540,2011,2011,S,PLAZA-10-445,PDI,3700,3,1,3,3,260,10421,0,1,2025-04-11 19:14:04.768755,1
2021,2017-2638,3,OTHER,20210,15,3,8,IN,33,20,3,20140,20140,20250219,5,4,17,2025-06-16 19:14:04.774754,3,4,11,34,20250616,TR,30,330,2014,2014,E,PLAZA-30-342,PDI,3400,1,4,2,5,481,35350,0,1,2025-02-19 19:14:04.774754,1
2011,2019-1651,2,GRADO1,20110,9,2,4,OUT,9,20,4,20230,20240,20241215,10,1,2,2025-06-16 19:14:04.781755,7,16,9,28,20250616,RE,70,90,2023,2024,S,PLAZA-70-487,MIXTO,2800,3,4,2,3,206,99493,1,1,2024-12-15 19:14:04.781755,0
2014,2016-2964,9,GRADO2,20140,8,9,5,OUT,91,58,3,20180,20180,20241029,5,4,10,2025-06-16 19:14:04.788760,6,8,15,46,20250616,TR,60,910,2018,2018,S,PLAZA-60-106,MIXTO,4600,2,2,3,3,756,74135,1,1,2024-10-29 19:14:04.787755,1
2023,2013-7054,20,DOCTO,20230,18,20,3,IN,74,91,1,20240,20240,20250403,6,1,13,2025-06-16 19:14:04.797754,6,15,17,37,20250616,ST,60,740,2024,2024,E,PLAZA-60-128,ESTUDIANTES,3700,3,3,3,5,510,81133,1,0,2025-04-03 19:14:04.797754,1
2017,2012-8179,14,MASTER,20170,19,14,2,IN,24,51,2,20170,20190,20241016,9,2,12,2025-06-16 19:14:04.803757,1,1,13,17,20250616,TE,10,240,2017,2019,E,PLAZA-10-161,ESTUDIANTES,1700,1,1,3,1,64,47226,1,0,2024-10-16 19:14:04.803757,0
2019,2013-1958,8,DOCTO,20190,2,8,3,OUT,35,46,3,20120,20240,20250607,10,5,9,2025-06-16 19:14:04.810754,2,15,19,8,20250616,TR,20,350,2012,2024,S,PLAZA-20-805,ESTUDIANTES,800,3,3,4,1,890,57903,1,0,2025-06-07 19:14:04.810754,1
2016,2017-2638,10,POSGR,20160,15,10,6,IN,63,42,3,20170,20220,20241013,12,2,20,2025-06-16 19:14:04.816756,9,20,10,43,20250616,TR,90,630,2017,2022,E,PLAZA-90-693,MIXTO,4300,4,2,2,4,911,69635,1,1,2024-10-13 19:14:04.816756,0
2022,2016-9565,18,GRADO2,20220,10,18,5,OUT,35,65,2,20150,20230,20240718,10,1,9,2025-06-16 19:14:04.823757,2,1,14,13,20250616,TE,20,350,2015,2023,S,PLAZA-20-403,PDI,1300,1,1,3,2,299,15050,0,1,2024-07-18 19:14:04.823757,0
2011,2019-2113,3,GRADO1,20110,7,3,4,IN,95,1,2,20210,20220,20240728,6,4,15,2025-06-16 19:14:04.831755,2,5,5,22,20250616,TE,20,950,2021,2022,E,PLAZA-20-656,MIXTO,2200,1,5,1,5,419,41492,1,1,2024-07-28 19:14:04.831755,1
2014,2019-2113,16,POSGR,20140,7,16,6,OUT,21,87,2,20220,20240,20240806,12,1,13,2025-06-16 19:14:04.837760,10,19,20,39,20250616,TE,100,210,2022,2024,S,PLAZA-100-979,PDI,3900,4,1,4,2,54,46551,0,1,2024-08-06 19:14:04.837760,0
2021,2019-2113,18,DOCTO,20210,7,18,3,OUT,85,86,2,20160,20220,20250228,12,5,4,2025-06-16 19:14:04.843755,9,18,14,42,20250616,TE,90,850,2016,2022,S,PLAZA-90-181,ESTUDIANTES,4200,3,6,3,2,706,12105,1,0,2025-02-28 19:14:04.843755,1
2014,2014-4346,17,GRADO2,20140,11,17,5,IN,97,34,2,20180,20200,20241220,9,5,19,2025-06-16 19:14:04.850756,2,12,7,33,20250616,TE,20,970,2018,2020,E,PLAZA-20-183,PAS,3300,2,6,2,1,542,48651,0,0,2024-12-20 19:14:04.850756,1
2010,2015-2188,13,GRADO2,20100,14,13,5,IN,82,10,2,20170,20190,20240921,10,1,1,2025-06-16 19:14:04.856755,6,2,3,28,20250616,TE,60,820,2017,2019,E,PLAZA-60-638,PAS,2800,1,2,1,3,261,87698,0,0,2024-09-21 19:14:04.856755,0
2012,2023-4044,7,GRADO1,20120,6,7,4,OUT,29,71,3,20200,20200,20250415,5,1,11,2025-06-16 19:14:04.862755,6,9,3,9,20250616,TR,60,290,2020,2020,S,PLAZA-60-958,MIXTO,900,2,3,1,3,69,30794,1,1,2025-04-15 19:14:04.862755,1
2023,2013-7054,15,POSGR,20230,18,15,6,IN,7,24,3,20140,20150,20241121,6,3,2,2025-06-16 19:14:04.867757,9,16,12,4,20250616,TR,90,70,2014,2015,E,PLAZA-90-393,PDI,400,3,4,2,6,810,90350,0,1,2024-11-21 19:14:04.867757,0
2012,2012-5915,12,GRADO1,20120,13,12,4,OUT,9,73,3,20150,20210,20250612,10,4,18,2025-06-16 19:14:04.874753,1,10,6,18,20250616,TR,10,90,2015,2021,S,PLAZA-10-354,ESTUDIANTES,1800,2,4,1,6,181,89397,1,0,2025-06-12 19:14:04.874753,0
2015,2019-2113,17,OTHER,20150,7,17,8,IN,8,71,4,20130,20160,20250329,9,4,20,2025-06-16 19:14:04.879755,10,15,6,33,20250616,RE,100,80,2013,2016,E,PLAZA-100-156,PAS,3300,3,3,1,6,132,14542,0,0,2025-03-29 19:14:04.879755,0
2024,2019-1651,6,OTHER,20240,9,6,8,OUT,48,31,1,20100,20200,20250322,5,2,15,2025-06-16 19:14:04.885345,6,10,13,6,20250616,ST,60,480,2010,2020,S,PLAZA-60-101,ESTUDIANTES,600,2,4,3,1,572,50214,1,0,2025-03-22 19:14:04.885345,1
2023,2018-4492,16,MASTER,20230,16,16,2,IN,8,54,1,20110,20120,20241206,10,3,3,2025-06-16 19:14:04.891345,7,9,9,47,20250616,ST,70,80,2011,2012,E,PLAZA-70-175,PDI,4700,2,3,2,3,957,35422,0,1,2024-12-06 19:14:04.891345,0
2018,2017-2638,20,GRADO,20180,15,20,1,IN,25,33,3,20200,20240,20250208,9,4,17,2025-06-16 19:14:04.897344,4,17,14,35,20250616,TR,40,250,2020,2024,E,PLAZA-40-218,ESTUDIANTES,3500,3,5,3,2,267,93286,1,0,2025-02-08 19:14:04.897344,0
2023,2023-4044,11,GRADO1,20230,6,11,4,OUT,49,88,1,20170,20180,20241117,6,1,13,2025-06-16 19:14:04.903349,8,5,20,49,20250616,ST,80,490,2017,2018,S,PLAZA-80-496,MIXTO,4900,1,5,4,2,22,46900,1,1,2024-11-17 19:14:04.903349,0
2021,2019-1651,6,GRADO,20210,9,6,1,OUT,56,7,2,20200,20220,20240909,9,5,4,2025-06-16 19:14:04.910345,2,13,10,24,20250616,TE,20,560,2020,2022,S,PLAZA-20-971,ESTUDIANTES,2400,3,1,2,4,365,15797,1,0,2024-09-09 19:14:04.910345,0
2023,2021-6138,17,MASTER,20230,3,17,2,OUT,19,18,2,20110,20210,20241120,6,3,19,2025-06-16 19:14:04.916422,10,4,4,50,20250616,TE,100,190,2011,2021,S,PLAZA-100-719,PAS,5000,1,4,1,4,292,37434,0,0,2024-11-20 19:14:04.916422,0
2023,2013-1958,9,GRADO1,20230,2,9,4,IN,2,29,1,20240,20240,20241110,5,5,12,2025-06-16 19:14:04.928421,9,12,3,2,20250616,ST,90,20,2024,2024,E,PLAZA-90-243,PDI,200,2,6,1,3,290,95737,0,1,2024-11-10 19:14:04.928421,1
2011,2010-8811,9,GRADO1,20110,4,9,4,OUT,82,52,1,20100,20210,20241219,10,1,14,2025-06-16 19:14:04.933421,8,7,2,13,20250616,ST,80,820,2010,2021,S,PLAZA-80-905,PDI,1300,2,1,1,2,73,60749,0,1,2024-12-19 19:14:04.933421,1
2022,2012-4111,20,POSGR,20220,1,20,6,IN,3,73,2,20220,20230,20241030,12,2,10,2025-06-16 19:14:04.939424,3,18,18,3,20250616,TE,30,30,2022,2023,E,PLAZA-30-126,MIXTO,300,3,6,3,6,231,74914,1,1,2024-10-30 19:14:04.939424,0
2020,2021-6138,8,SHORT,20200,3,8,7,OUT,99,76,4,20130,20210,20250417,10,4,9,2025-06-16 19:14:04.946432,8,4,17,4,20250616,RE,80,990,2013,2021,S,PLAZA-80-140,PAS,400,1,4,3,5,209,64629,0,0,2025-04-17 19:14:04.946432,0
2023,2021-6138,3,DOCTO,20230,3,3,3,OUT,98,94,4,20200,20220,20241205,10,3,20,2025-06-16 19:14:04.952421,5,4,20,6,20250616,RE,50,980,2020,2022,S,PLAZA-50-722,PAS,600,1,4,4,2,262,17095,0,0,2024-12-05 19:14:04.952421,0
2018,2016-9565,4,GRADO1,20180,10,4,4,OUT,90,99,3,20210,20210,20250522,6,4,7,2025-06-16 19:14:04.959422,10,1,15,39,20250616,TR,100,900,2021,2021,S,PLAZA-100-150,MIXTO,3900,1,1,3,3,170,80821,1,1,2025-05-22 19:14:04.959422,0
2013,2019-2113,11,MASTER,20130,7,11,2,OUT,100,33,4,20110,20230,20240921,6,5,9,2025-06-16 19:14:04.965422,5,10,6,26,20250616,RE,50,1000,2011,2023,S,PLAZA-50-831,PDI,2600,2,4,1,6,170,42390,0,1,2024-09-21 19:14:04.965422,0
2014,2019-9666,8,OTHER,20140,20,8,8,IN,82,88,3,20200,20240,20240630,6,4,1,2025-06-16 19:14:04.971427,6,9,7,16,20250616,TR,60,820,2020,2024,E,PLAZA-60-335,PDI,1600,2,3,2,1,753,80668,0,1,2024-06-30 19:14:04.971427,0
2012,2010-9320,7,GRADO2,20120,5,7,5,OUT,84,32,3,20160,20220,20250108,10,3,13,2025-06-16 19:14:04.976998,3,2,19,19,20250616,TR,30,840,2016,2022,S,PLAZA-30-725,ESTUDIANTES,1900,1,2,4,1,401,84158,1,0,2025-01-08 19:14:04.976998,1
2015,2016-9565,6,POSGR,20150,10,6,6,IN,96,59,1,20160,20220,20250604,5,3,14,2025-06-16 19:14:04.981997,8,16,5,24,20250616,ST,80,960,2016,2022,E,PLAZA-80-815,ESTUDIANTES,2400,3,4,1,5,20,63141,1,0,2025-06-04 19:14:04.981997,1
2018,2013-1958,6,DOCTO,20180,2,6,3,IN,37,1,3,20210,20210,20250101,12,4,13,2025-06-16 19:14:04.988001,2,6,1,44,20250616,TR,20,370,2021,2021,E,PLAZA-20-249,ESTUDIANTES,4400,1,6,1,1,544,39175,1,0,2025-01-01 19:14:04.988001,0
2020,2013-5351,4,GRADO1,20200,12,4,4,OUT,71,28,3,20240,20240,20240921,5,1,9,2025-06-16 19:14:04.999997,4,10,20,30,20250616,TR,40,710,2024,2024,S,PLAZA-40-114,PDI,3000,2,4,4,2,225,50004,0,1,2024-09-21 19:14:04.999997,0
2010,2010-8811,18,DOCTO,20100,4,18,3,IN,83,94,3,20190,20210,20240617,5,1,1,2025-06-16 19:14:05.006998,10,19,11,26,20250616,TR,100,830,2019,2021,E,PLAZA-100-444,PAS,2600,4,1,2,5,559,30879,0,0,2024-06-17 19:14:05.006998,1
2016,2019-1651,10,GRADO,20160,9,10,1,OUT,3,30,2,20150,20180,20250401,12,3,11,2025-06-16 19:14:05.012000,2,4,2,41,20250616,TE,20,30,2015,2018,S,PLAZA-20-492,MIXTO,4100,1,4,1,2,971,50449,1,1,2025-04-01 19:14:05.012000,0
2013,2012-8179,17,GRADO2,20130,19,17,5,IN,74,10,4,20170,20170,20250415,9,3,17,2025-06-16 19:14:05.017994,5,13,7,45,20250616,RE,50,740,2017,2017,E,PLAZA-50-598,PAS,4500,3,1,2,1,658,78576,0,0,2025-04-15 19:14:05.017994,0
2022,2016-2964,11,SHORT,20220,8,11,7,OUT,76,100,1,20140,20140,20250510,9,2,17,2025-06-16 19:14:05.024996,10,7,16,27,20250616,ST,100,760,2014,2014,S,PLAZA-100-768,PAS,2700,2,1,3,4,166,78956,0,0,2025-05-10 19:14:05.024996,0
2024,2013-5351,14,GRADO1,20240,12,14,4,IN,82,36,4,20230,20240,20240722,10,4,11,2025-06-16 19:14:05.032999,3,18,12,26,20250616,RE,30,820,2023,2024,E,PLAZA-30-158,PAS,2600,3,6,2,6,389,62578,0,0,2024-07-22 19:14:05.031997,1
2024,2013-1958,2,GRADO2,20240,2,2,5,IN,35,80,3,20180,20200,20250614,10,3,18,2025-06-16 19:14:05.038000,4,6,7,26,20250616,TR,40,350,2018,2020,E,PLAZA-40-215,MIXTO,2600,1,6,2,1,604,83895,1,1,2025-06-14 19:14:05.038000,1
2023,2013-5351,12,POSGR,20230,12,12,6,IN,28,91,1,20180,20240,20250602,10,4,6,2025-06-16 19:14:05.045000,9,7,8,39,20250616,ST,90,280,2018,2024,E,PLAZA-90-432,MIXTO,3900,2,1,2,2,122,88807,1,1,2025-06-02 19:14:05.045000,0
2021,2016-2964,15,GRADO1,20210,8,15,4,OUT,74,41,3,20140,20180,20250301,12,5,12,2025-06-16 19:14:05.050994,6,19,14,25,20250616,TR,60,740,2014,2018,S,PLAZA-60-631,PDI,2500,4,1,3,2,14,46045,0,1,2025-03-01 19:14:05.050994,0
2023,2012-4111,8,OTHER,20230,1,8,8,OUT,8,73,4,20180,20240,20250425,12,4,4,2025-06-16 19:14:05.057001,9,18,4,44,20250616,RE,90,80,2018,2024,S,PLAZA-90-347,PAS,4400,3,6,1,4,958,74081,0,0,2025-04-25 19:14:05.057001,1
2014,2010-9320,16,GRADO1,20140,5,16,4,OUT,100,56,2,20170,20180,20250528,5,5,16,2025-06-16 19:14:05.062998,9,5,6,50,20250616,TE,90,1000,2017,2018,S,PLAZA-90-877,PDI,5000,1,5,1,6,527,61973,0,1,2025-05-28 19:14:05.062998,0
2011,2014-4346,11,DOCTO,20110,11,11,3,IN,76,57,1,20140,20240,20241022,5,2,3,2025-06-16 19:14:05.068006,4,6,11,22,20250616,ST,40,760,2014,2024,E,PLAZA-40-260,MIXTO,2200,1,6,2,5,405,97068,1,1,2024-10-22 19:14:05.068006,0
2021,2021-6138,6,GRADO,20210,3,6,1,OUT,52,24,1,20240,20240,20250324,9,5,13,2025-06-16 19:14:05.073997,3,2,1,33,20250616,ST,30,520,2024,2024,S,PLAZA-30-898,ESTUDIANTES,3300,1,2,1,1,206,16901,1,0,2025-03-24 19:14:05.073997,1
