ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_ALUMNO_NIP_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_ACADEMICO,ID_ALUMNO,ID_CENTRO,ID_PLAN_ESTUDIO,ID_TIPO_ESTUDIO,ID_UNIVERSIDAD_ORIGEN,ID_PAIS_UNIVERSIDAD_ORIGEN,ID_TUTOR,ID_RANGO_CRED_SUPERADOS,ID_FECHA_INICIO_ESTANCIA,ID_FECHA_FIN_ESTANCIA,ID_SEXO,ID_PAIS_NACIONALIDAD,EDAD,CREDITOS_SUPERA_DESTINO,DURACION_ESTANCIA,FECHA_CARGA,ID_PROGRAMA_MOVILIDAD_NK,ID_PROGRAMA_MOVILIDAD,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_FECHA_CARGA,CREDITOS_MATRICULADOS,ID_CENTRO_NK,ID_CENTRO_IMPARTICION,ID_CENTRO_IMPARTICION_NK,ID_EDAD_EST,ID_PLAN_ESTUDIO_MAX
2020,200051,400051,20200,300051,500051,43,67,2,24,1,60,1,20220128,20230627,1,28,20,7,17,2022-09-05,40,4,35,10,20220219,24,4300,20,2000,3,6
2024,200052,400052,20240,300052,500052,49,65,2,37,52,675,7,20221112,20220911,2,89,29,6,-2,2023-02-27,90,9,21,5,20230203,56,4900,49,4900,2,94
2022,200053,400053,20220,300053,500053,10,92,3,45,14,37,7,20210412,20220926,2,48,18,12,17,2023-06-05,90,9,36,6,20221220,27,1000,10,1000,8,70
2020,200054,400054,20200,300054,500054,45,80,8,27,69,275,1,20210716,20231229,1,16,18,16,29,2023-09-18,60,6,38,8,20230402,17,4500,50,5000,3,80
2021,200055,400055,20210,300055,500055,2,97,9,10,39,698,7,20220124,20230310,2,27,24,13,13,2022-07-08,60,6,26,6,20221208,36,200,47,4700,9,78
2014,200056,400056,20140,300056,500056,18,28,9,45,40,689,7,20211207,20230727,1,72,23,10,19,2022-05-25,90,9,40,4,20220123,36,1800,18,1800,5,40
2010,200057,400057,20100,300057,500057,25,65,3,40,83,969,6,20210116,20220705,1,42,25,46,17,2022-05-27,30,3,39,2,20231229,52,2500,25,2500,6,93
2010,200058,400058,20100,300058,500058,1,63,10,63,92,583,5,20210603,20230321,1,21,22,12,21,2023-08-27,40,4,5,6,20230909,28,100,10,1000,5,21
2013,200059,400059,20130,300059,500059,23,1,10,15,23,800,4,20211130,20230819,1,81,21,11,20,2022-11-07,10,1,5,2,20230923,58,2300,23,2300,9,56
2013,200060,400060,20130,300060,500060,42,5,7,88,1,225,4,20220305,20220922,2,72,20,12,6,2023-06-29,70,7,15,7,20231010,12,4200,42,4200,9,46
2022,200061,400061,20220,300061,500061,28,65,10,87,73,701,4,20211030,20220525,1,33,29,31,6,2023-03-10,80,8,23,7,20220104,48,2800,28,2800,3,93
2020,200062,400062,20200,300062,500062,5,44,2,72,98,949,7,20210609,20220116,1,23,24,3,7,2022-03-10,70,7,43,4,20231129,60,500,13,1300,7,95
2019,200063,400063,20190,300063,500063,30,48,4,70,28,505,3,20220130,20230928,1,75,21,3,20,2023-11-21,10,1,32,7,20230512,20,3000,30,3000,3,23
2016,200064,400064,20160,300064,500064,45,79,7,93,48,828,1,20210620,20230421,1,2,22,4,22,2023-11-19,40,4,6,7,20220822,31,4500,45,4500,4,87
2014,200065,400065,20140,300065,500065,5,2,8,37,48,25,1,20220926,20220911,2,10,29,1,0,2023-03-03,100,10,47,2,20230128,40,500,44,4400,1,83
2018,200066,400066,20180,300066,500066,47,44,2,66,33,374,1,20210104,20231111,2,7,20,52,34,2023-05-03,10,1,24,4,20230311,52,4700,47,4700,1,8
2021,200067,400067,20210,300067,500067,24,11,6,30,65,900,4,20220713,20230701,2,63,30,5,11,2023-09-25,70,7,6,4,20220218,12,2400,24,2400,6,55
2014,200068,400068,20140,300068,500068,25,68,1,35,55,287,4,20210705,20220823,2,11,22,11,13,2022-05-31,20,2,40,7,20220520,14,2500,16,1600,8,62
2017,200069,400069,20170,300069,500069,48,58,10,9,37,770,6,20221118,20220201,1,85,20,1,-9,2022-05-17,90,9,6,10,20231117,16,4800,48,4800,8,7
2019,200070,400070,20190,300070,500070,44,69,3,12,58,128,6,20210112,20220105,1,62,27,4,11,2023-06-24,50,5,41,8,20220213,18,4400,44,4400,5,27
2016,200071,400071,20160,300071,500071,37,20,2,68,64,256,2,20220422,20231212,1,25,20,7,19,2023-03-11,70,7,35,3,20231118,51,3700,42,4200,8,16
2021,200072,400072,20210,300072,500072,5,95,5,87,89,259,1,20210720,20220925,2,24,21,5,14,2022-10-27,90,9,17,3,20221210,13,500,8,800,9,94
2011,200073,400073,20110,300073,500073,18,45,6,88,39,60,7,20211004,20220903,2,92,28,22,11,2022-12-07,100,10,6,3,20220702,38,1800,18,1800,3,83
2021,200074,400074,20210,300074,500074,18,65,9,55,90,784,7,20220319,20231205,2,93,25,11,20,2022-02-17,100,10,30,7,20231103,44,1800,18,1800,6,99
2024,200075,400075,20240,300075,500075,28,24,7,70,35,899,5,20221025,20230804,1,47,29,51,9,2022-08-15,30,3,2,8,20220810,52,2800,28,2800,6,7
2021,200076,400076,20210,300076,500076,34,12,8,17,2,466,1,20211205,20230916,1,19,22,3,21,2022-01-06,10,1,50,1,20230920,39,3400,24,2400,2,22
2020,200077,400077,20200,300077,500077,26,77,3,82,70,905,3,20211015,20220426,2,25,24,13,6,2022-02-12,40,4,18,7,20230503,22,2600,26,2600,9,15
2013,200078,400078,20130,300078,500078,2,49,10,94,52,385,4,20211127,20221101,2,93,30,4,11,2023-06-17,70,7,11,5,20230929,20,200,12,1200,6,13
2016,200079,400079,20160,300079,500079,45,44,1,30,86,750,2,20220915,20230302,2,38,24,30,5,2023-06-12,70,7,46,10,20230618,55,4500,45,4500,8,21
2015,200080,400080,20150,300080,500080,39,21,5,62,99,906,4,20220806,20220413,2,19,20,18,-3,2022-05-03,10,1,35,9,20230414,18,3900,23,2300,3,86
2020,200081,400081,20200,300081,500081,50,29,4,63,60,554,3,20220107,20220201,1,27,22,13,0,2023-03-03,40,4,13,5,20220617,56,5000,50,5000,8,1
2021,200082,400082,20210,300082,500082,35,77,8,7,71,596,6,20220427,20231124,1,78,20,5,19,2023-07-01,80,8,28,8,20220709,31,3500,35,3500,7,32
2012,200083,400083,20120,300083,500083,44,75,3,58,28,163,2,20211115,20231012,1,50,20,1,23,2022-10-08,90,9,12,8,20230430,46,4400,4,400,5,23
2023,200084,400084,20230,300084,500084,17,82,8,49,62,386,4,20220802,20230518,1,87,21,1,9,2023-04-14,40,4,33,8,20220331,45,1700,17,1700,10,34
2024,200085,400085,20240,300085,500085,35,73,1,14,37,332,3,20220329,20220321,2,33,18,15,0,2022-01-27,30,3,45,4,20230723,43,3500,30,3000,10,69
2021,200086,400086,20210,300086,500086,45,34,4,98,30,146,5,20211004,20220503,2,93,18,6,7,2022-04-21,30,3,9,3,20230723,19,4500,45,4500,2,54
2018,200087,400087,20180,300087,500087,46,8,9,60,93,975,2,20210315,20231229,1,44,28,10,33,2023-04-30,30,3,14,9,20221227,37,4600,46,4600,10,8
2022,200088,400088,20220,300088,500088,16,56,6,74,20,242,6,20220504,20220123,1,67,20,9,-3,2023-09-15,90,9,11,2,20220111,13,1600,24,2400,1,95
2017,200089,400089,20170,300089,500089,12,38,8,3,71,133,4,20210502,20221223,2,89,29,40,20,2022-11-16,70,7,49,9,20230424,45,1200,40,4000,3,95
2015,200090,400090,20150,300090,500090,24,44,9,76,34,502,5,20210225,20221225,2,61,24,10,22,2023-01-06,50,5,19,2,20220912,13,2400,24,2400,6,64
2010,200091,400091,20100,300091,500091,15,27,7,33,57,946,5,20211205,20220615,1,64,21,10,6,2023-01-28,20,2,5,8,20220921,14,1500,41,4100,6,5
2012,200092,400092,20120,300092,500092,35,36,8,11,99,938,2,20211201,20230801,1,77,20,15,20,2023-03-02,30,3,31,5,20220108,24,3500,35,3500,5,35
2023,200093,400093,20230,300093,500093,33,97,6,12,65,230,7,20221103,20230526,2,99,30,25,6,2023-05-19,20,2,33,10,20231227,26,3300,18,1800,7,44
2022,200094,400094,20220,300094,500094,6,94,6,54,61,255,5,20210608,20220107,2,38,25,21,7,2023-09-17,80,8,12,8,20230209,21,600,6,600,4,32
2016,200095,400095,20160,300095,500095,40,34,7,79,18,388,6,20220417,20220108,2,89,20,34,-3,2022-05-08,30,3,9,7,20230904,55,4000,17,1700,9,76
2016,200096,400096,20160,300096,500096,21,24,3,67,78,299,5,20220309,20230701,1,58,18,1,15,2023-05-15,100,10,12,4,20221018,28,2100,21,2100,10,51
2011,200097,400097,20110,300097,500097,31,5,4,57,36,630,1,20220203,20230626,1,91,19,24,16,2022-01-16,70,7,21,1,20220529,60,3100,31,3100,3,12
2012,200098,400098,20120,300098,500098,9,45,4,56,33,144,6,20220719,20231117,1,59,22,32,16,2022-01-01,40,4,13,7,20231003,56,900,16,1600,9,42
2023,200099,400099,20230,300099,500099,33,51,9,88,4,323,5,20210215,20221123,2,78,23,10,21,2023-04-11,70,7,26,10,20230528,16,3300,33,3300,3,92
2017,200100,400100,20170,300100,500100,26,94,5,4,83,77,6,20210512,20221108,1,56,22,3,18,2022-12-01,90,9,14,1,20220929,25,2600,23,2300,3,85
2011,200101,400101,20110,300101,500101,35,2,6,80,15,55,7,20220507,20231111,2,1,20,6,18,2022-01-08,80,8,10,4,20220121,37,3500,43,4300,9,41
2012,200102,400102,20120,300102,500102,50,13,10,63,63,323,7,20210930,20220606,1,90,27,16,8,2022-09-12,40,4,16,1,20230831,34,5000,18,1800,1,96
2018,200103,400103,20180,300103,500103,15,78,3,4,38,733,7,20210615,20220602,1,16,20,5,11,2022-12-26,10,1,17,8,20231205,17,1500,15,1500,5,19
2010,200104,400104,20100,300104,500104,44,11,7,75,50,888,6,20220220,20230423,2,43,19,11,14,2022-05-14,50,5,15,5,20231208,41,4400,46,4600,8,47
2018,200105,400105,20180,300105,500105,37,19,1,88,30,623,7,20220109,20221014,1,71,21,32,9,2022-09-29,70,7,44,4,20231115,42,3700,3,300,9,16
2015,200106,400106,20150,300106,500106,38,63,6,18,57,417,2,20210813,20230531,2,72,22,15,21,2022-08-04,90,9,27,8,20221122,29,3800,38,3800,1,29
2013,200107,400107,20130,300107,500107,1,26,8,78,12,650,3,20210916,20230203,2,29,24,13,16,2023-06-13,20,2,39,2,20220403,14,100,1,100,6,66
2024,200108,400108,20240,300108,500108,30,13,4,57,52,6,2,20221114,20231107,1,13,21,20,11,2023-10-20,10,1,12,5,20231111,25,3000,30,3000,6,50
2013,200109,400109,20130,300109,500109,30,69,4,10,4,749,7,20220613,20220623,1,95,30,1,0,2023-11-30,60,6,5,5,20230308,18,3000,30,3000,2,96
2013,200110,400110,20130,300110,500110,3,56,5,100,22,146,1,20220621,20231005,2,48,28,33,15,2022-12-07,90,9,50,5,20230625,42,300,3,300,5,26
2021,200111,400111,20210,300111,500111,24,90,8,48,79,948,3,20210419,20221202,1,68,18,29,19,2022-03-18,60,6,31,10,20221121,38,2400,24,2400,7,87
2022,200112,400112,20220,300112,500112,36,29,6,45,15,16,5,20211210,20221121,1,19,22,13,11,2023-08-11,60,6,10,8,20230413,36,3600,36,3600,3,23
2017,200113,400113,20170,300113,500113,5,85,2,13,63,866,4,20210918,20230506,1,24,27,19,19,2023-05-18,10,1,7,8,20230903,31,500,33,3300,7,7
2016,200114,400114,20160,300114,500114,20,63,2,8,50,107,2,20220110,20221009,2,24,29,4,9,2022-07-16,80,8,19,2,20220309,48,2000,12,1200,9,37
2014,200115,400115,20140,300115,500115,19,21,9,95,44,895,1,20210910,20230803,2,80,20,16,23,2022-01-28,20,2,25,7,20230111,42,1900,26,2600,7,79
2012,200116,400116,20120,300116,500116,26,17,1,52,77,544,3,20220425,20230122,1,24,23,34,9,2023-04-04,70,7,44,5,20220308,50,2600,26,2600,9,37
2023,200117,400117,20230,300117,500117,27,87,1,96,65,182,1,20220503,20230817,1,79,26,12,15,2022-03-03,30,3,2,2,20220103,34,2700,27,2700,1,72
2020,200118,400118,20200,300118,500118,27,74,4,74,86,654,4,20220423,20231023,2,80,18,9,18,2023-08-02,10,1,1,3,20220821,32,2700,27,2700,4,43
2019,200119,400119,20190,300119,500119,42,25,2,92,90,765,7,20220524,20230708,2,56,29,33,13,2022-10-13,10,1,46,3,20230708,38,4200,42,4200,8,15
2015,200120,400120,20150,300120,500120,46,38,8,78,88,990,1,20210522,20220719,1,30,30,21,14,2022-01-21,20,2,39,4,20230830,35,4600,46,4600,10,1
2010,200121,400121,20100,300121,500121,5,100,10,54,76,403,4,20220408,20220220,2,72,25,36,-1,2023-12-11,30,3,48,6,20231113,36,500,5,500,6,55
2012,200122,400122,20120,300122,500122,45,87,6,18,76,153,1,20210806,20220819,1,72,28,29,12,2022-06-11,30,3,15,7,20220325,33,4500,45,4500,8,21
2014,200123,400123,20140,300123,500123,34,27,1,23,28,908,2,20221108,20231205,1,41,22,41,13,2022-03-28,90,9,16,7,20231109,57,3400,24,2400,3,67
2018,200124,400124,20180,300124,500124,41,51,2,95,79,112,4,20210413,20220108,1,30,30,11,9,2023-02-10,70,7,50,7,20230518,17,4100,47,4700,5,11
2011,200125,400125,20110,300125,500125,35,70,5,97,57,866,3,20220802,20230116,2,14,23,38,5,2022-08-26,100,10,29,7,20220401,40,3500,35,3500,9,34
2018,200126,400126,20180,300126,500126,18,39,10,3,74,957,4,20221208,20230728,2,2,28,13,7,2022-05-14,10,1,35,6,20221219,54,1800,18,1800,10,24
2013,200127,400127,20130,300127,500127,24,40,6,19,25,363,7,20221217,20230927,2,41,26,7,9,2023-04-30,60,6,18,8,20221125,28,2400,24,2400,10,93
2016,200128,400128,20160,300128,500128,35,64,8,50,69,602,2,20220410,20220120,2,34,22,23,-2,2023-08-08,30,3,10,10,20220504,35,3500,9,900,6,59
2020,200129,400129,20200,300129,500129,31,36,10,61,64,903,2,20210419,20230916,2,53,30,21,29,2022-12-28,20,2,25,9,20220504,33,3100,31,3100,8,70
2016,200130,400130,20160,300130,500130,18,95,2,3,82,107,6,20210218,20230908,2,69,18,9,31,2023-07-23,50,5,20,5,20230730,56,1800,8,800,10,75
2022,200131,400131,20220,300131,500131,25,90,8,40,59,120,7,20210218,20220307,2,76,20,28,12,2023-11-26,80,8,26,1,20230624,31,2500,28,2800,1,44
2015,200132,400132,20150,300132,500132,25,61,2,5,95,703,5,20210506,20230227,1,58,24,20,22,2023-11-08,50,5,15,3,20230615,22,2500,25,2500,9,81
2022,200133,400133,20220,300133,500133,43,97,8,99,36,915,4,20210311,20230530,1,65,25,20,27,2022-04-22,90,9,43,2,20221110,27,4300,43,4300,2,28
2018,200134,400134,20180,300134,500134,8,69,3,3,88,910,2,20220529,20220629,2,32,20,39,1,2023-06-02,10,1,21,5,20220309,41,800,8,800,1,89
2014,200135,400135,20140,300135,500135,47,63,6,89,16,444,2,20220910,20220305,1,75,21,17,-6,2022-02-01,90,9,45,1,20221218,31,4700,47,4700,4,70
2012,200136,400136,20120,300136,500136,42,73,4,68,57,756,1,20210426,20220721,1,37,21,9,15,2023-05-04,70,7,7,10,20220628,15,4200,3,300,3,83
2022,200137,400137,20220,300137,500137,40,19,9,36,69,967,4,20210513,20230420,1,5,27,34,23,2022-09-25,30,3,27,9,20231112,37,4000,40,4000,3,80
2016,200138,400138,20160,300138,500138,10,96,2,11,30,316,7,20211120,20230510,2,15,18,24,17,2022-02-12,60,6,11,2,20230120,27,1000,10,1000,5,24
2011,200139,400139,20110,300139,500139,46,87,4,100,11,541,2,20221020,20230219,2,94,19,9,4,2022-02-13,20,2,22,2,20220916,55,4600,33,3300,1,25
2019,200140,400140,20190,300140,500140,38,76,10,51,100,520,1,20211203,20231010,1,93,28,7,22,2022-03-28,60,6,11,5,20230529,21,3800,38,3800,3,50
2011,200141,400141,20110,300141,500141,15,47,7,48,25,54,3,20220918,20231221,1,41,30,5,15,2023-06-05,80,8,43,3,20221113,51,1500,15,1500,4,14
2023,200142,400142,20230,300142,500142,24,51,8,59,67,95,5,20220708,20231115,2,62,30,0,16,2023-05-25,80,8,19,5,20230119,18,2400,24,2400,4,29
2020,200143,400143,20200,300143,500143,19,79,3,87,18,396,6,20220720,20220420,1,51,18,22,-3,2022-06-09,20,2,42,2,20220118,22,1900,19,1900,2,29
2020,200144,400144,20200,300144,500144,37,24,9,25,18,399,2,20220626,20221016,1,70,30,15,3,2022-10-11,60,6,2,9,20230215,16,3700,37,3700,9,41
2016,200145,400145,20160,300145,500145,25,32,3,75,34,718,4,20210318,20230616,2,22,20,38,27,2023-09-22,60,6,25,10,20220908,58,2500,37,3700,6,86
2015,200146,400146,20150,300146,500146,18,74,1,70,50,887,7,20220726,20220526,1,89,20,12,-2,2022-05-02,70,7,44,4,20230907,12,1800,18,1800,9,42
2019,200147,400147,20190,300147,500147,16,87,9,28,77,739,5,20210427,20220401,1,42,28,15,11,2023-10-14,60,6,1,6,20230623,19,1600,39,3900,6,2
2017,200148,400148,20170,300148,500148,5,17,7,96,34,226,1,20210210,20221024,1,90,23,7,20,2023-04-28,40,4,24,1,20230605,37,500,5,500,4,35
2016,200149,400149,20160,300149,500149,10,24,2,6,53,766,2,20220728,20220727,1,62,22,19,0,2023-07-26,60,6,6,5,20230515,50,1000,10,1000,5,66
2023,200150,400150,20230,300150,500150,23,49,8,18,95,420,5,20211116,20231024,2,70,28,13,23,2022-05-02,10,1,38,1,20221231,38,2300,23,2300,5,27
2021,200151,400151,20210,300151,500151,36,86,1,26,9,725,5,20221227,20231029,2,59,19,14,10,2023-05-28,50,5,35,5,20230226,24,3600,24,2400,5,55
2014,200152,400152,20140,300152,500152,41,85,1,36,51,653,4,20210610,20230202,1,96,21,50,20,2023-10-28,60,6,19,6,20230823,57,4100,41,4100,2,34
2016,200153,400153,20160,300153,500153,36,18,7,69,74,742,6,20210913,20220416,2,84,19,9,7,2023-04-28,40,4,46,6,20230709,25,3600,50,5000,3,96
2019,200154,400154,20190,300154,500154,13,98,2,50,27,899,4,20211211,20220211,1,62,23,9,2,2022-11-03,100,10,48,5,20220814,21,1300,50,5000,6,69
2020,200155,400155,20200,300155,500155,28,41,5,41,4,326,2,20220509,20220207,1,71,26,0,-3,2022-05-09,20,2,34,9,20220910,13,2800,28,2800,6,57
2012,200156,400156,20120,300156,500156,44,33,8,17,39,154,7,20221009,20231217,2,2,24,8,14,2023-10-20,80,8,6,2,20231124,15,4400,25,2500,2,27
