ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_CURSO_ACADEMICO,ID_ALUMNO,ID_EXPEDIENTE_ACADEMICO,ID_PLAN_ESTUDIO,ID_CENTRO,ID_PAIS_NACIONALIDAD,ID_ASIGNATURA,ID_CLASE_ASIGNATURA,ID_TIPO_ACCESO,ID_CURSO_ACADEMICO_COHORTE,ID_POBLACION_FAMILIAR,ID_FECHA_MATRICULA,SEXO,ID_SEXO,EDAD,CREDITOS,CURSO_ORDEN,CURSO_MAS_ALTO_MATRICULADO,NUMERO_MATRICULAS,ID_MODALIDAD_PLAN_NK,ID_GRUPO,FLG_CAMBIO_CICLO_GRADO,FLG_TRASLADO_MISMO_ESTUDIO,ID_TIPO_ESTUDIO_NK,ID_PROGRAMA_MOVILIDAD_NK,SN_COORDINADOR,ID_UNIVERSIDAD_ORIGEN,SN_PROGRAMA_INTERNACIONAL,ID_PAIS_BACH_PROCEDENCIA_NK,ID_TIPO_ESTUDIO,NUM_REGS_GRANO,ID_PAIS_BACH_PROCEDENCIA,FECHA_CARGA,ID_ESTUDIO_PREVIO,ID_TIPO_CENTRO,SN_NUEVO_INGRESO,ID_POBLACION_CENTRO,ID_UNIVERSIDAD_ORIGEN_NK,ID_DETALLE_CUPO_GENERAL_NK,ID_ASIGNATURA_NK,SN_DOCTORADO_VIGENTE,ID_DEDICACION,SN_MULTIPLE_TITULACION,ID_TITULO_PREVIO_MASTER_NK,ID_PLAN_GRUPO_MATRICULA_NK,ID_CENTRO_NK,ID_DEDICACION_NK,ID_PLAN_ESTUDIO_ANO_DATOS,FLG_MOVILIDAD_IN,FLG_ESTUDIANTE_INTERNACIONAL,SN_ESTUDIANTE_INTERNACIONAL,ID_RANGO_NOTA_CRUE,FLG_COORDINADOR,ID_PLAN_GRUPO_MATRICULA,FLG_EQUIVALENTE_TC_SIIU_MOV,SN_PROG_MOVILIDAD,COD_POSTAL_CURSO,FLG_NUEVO_ACCESO_SUE,SN_CAMBIO_CICLO_GRADO_NUEVO,ANYO_ACCESO_SUE,ID_CENTRO_IMPARTICION_NK,FLG_EQUIVALENTE_TC_SIIU,ID_EDAD_EST,ID_PAIS_FAMILIAR,SN_MASTER_HABILITANTE,SN_DISCAPACIDAD,ID_RAMA_CONOCIMIENTO,SN_TRASLADO_MISMO_ESTUDIO,ORDEN_BOE_PLAN,ID_ESTUDIO_NK,COD_POSTAL_FAMILIAR,SN_MOVILIDAD_IN,FLG_INTERUNIVERSITARIO,ID_FECHA_CARGA,ID_DETALLE_CUPO_GENERAL,ID_CAMPUS_CENTRO,ID_ESTUDIO,FLG_NUEVO_INGRESO,SN_NUEVO_ACCESO_SUE,ID_TIPO_ACCESO_NK,ID_PAIS_UNIVERSIDAD_ORIGEN,FLG_DISCAPACIDAD,ID_TIPO_ASIGNATURA,ID_PAIS_FAMILIAR_NK,FLG_MULTIPLE_TITULACION,ID_TITULO_PREVIO_MASTER,ID_PLAN_ESTUDIO_NK,CURSO_IMPARTICION_ASIG,ID_PERSONA_NIP_NK,NUM_REGS_GRANO_MOV,SUPER_EXPEDIENTE,ID_PAIS_UNIVERSIDAD_ORIGEN_NK,SN_CAMBIO_CICLO_GRADO,FLG_EN_PROGRAMA_MOVILIDAD,ID_MODALIDAD_PLAN,SN_INTERUNIVERSITARIO,RANGO_NUM_MATRICULAS
2024,11,20240,44,11,76,39,79,56,1,2,20190,379,20250325,M,2,53,9.3,2,1,1,VIR,7,1,1,8,80.0,S,71.0,S,NAM,8,1,79,2020-12-27,3,8,N,194,710.0,DC10,56,S,4,S,T67943,67,39,4,21,1,1,S,2,1,6,0.61,S,44562,1,S,2015,39,0.0,8,79,N,N,5,S,BOE-2015-146,23,38873,S,1,20201227,10,7,23,0,N,PAU,96.0,0,7,NAM,1,59.0,76,2,94212889,1,204298,SVK,S,1,3,S,1
2023,12,20230,66,12,97,11,4,307,1,15,20210,277,20240331,M,2,62,11.5,4,4,3,PRE,3,1,0,4,70.0,S,26.0,S,CUB,4,1,4,2022-06-04,8,8,N,53,260.0,DC06,307,N,1,S,,5,11,1,45,0,0,N,5,1,87,0.0,S,06586,1,S,2012,11,1.0,6,4,N,N,6,N,BOE-2022-267,35,19689,N,1,20220604,6,6,35,0,N,PAU,73.0,0,1,CUB,1,,97,4,76866717,0,839354,GHA,S,1,1,S,3
2023,13,20230,24,13,94,32,37,68,2,11,20160,449,20240627,H,1,44,8.5,2,1,2,HYB,10,0,1,9,20.0,N,24.0,S,SLB,9,1,37,2023-09-07,4,1,S,126,240.0,DC08,68,S,4,S,T15956,58,32,4,27,1,0,N,1,0,97,0.7,S,04676,1,N,2017,32,0.0,6,37,S,N,2,S,BOE-2016-060,6,09414,S,1,20230907,8,7,6,1,S,PAU,79.0,0,4,SLB,1,25.0,94,2,54414096,1,794595,NAM,N,1,5,S,2
2010,14,20100,72,14,99,21,34,346,3,7,20190,201,20110921,M,2,17,6.1,1,3,2,HYB,2,0,0,7,,S,,,AUS,7,1,34,2023-06-04,6,5,S,125,,DC10,346,N,1,S,,27,21,1,15,0,0,N,5,1,9,0.0,N,26871,0,N,2010,21,0.0,9,34,S,N,5,N,BOE-2023-275,29,39590,N,0,20230604,10,9,29,1,N,PAU,,0,7,AUS,1,,99,1,59302835,0,264618,,N,0,5,N,2
2010,15,20100,21,15,37,20,4,118,2,1,20220,140,20110826,H,1,50,10.8,1,1,3,VIR,9,0,0,2,,N,,,CUB,2,1,4,2022-03-12,8,7,S,190,,DC09,118,N,2,N,T35194,61,20,2,37,0,1,S,2,0,13,0.0,N,43083,1,N,2010,20,0.0,8,4,N,N,14,N,BOE-2011-114,48,45243,N,1,20220312,9,10,48,1,N,PAU,,0,7,CUB,0,55.0,37,1,62464258,0,550399,,N,0,3,S,3
2010,16,20100,51,16,99,15,58,190,4,10,20190,56,20110521,H,1,40,4.9,4,2,1,DIS,15,1,0,5,70.0,N,44.0,S,BGR,5,1,58,2021-05-31,6,3,N,144,440.0,DC07,190,S,1,S,,66,15,1,13,0,1,S,2,0,42,0.0,S,26487,1,S,2010,15,0.0,7,58,S,N,2,N,BOE-2016-359,42,15764,N,1,20210531,7,8,42,0,N,PAU,47.0,0,6,BGR,1,,99,4,91313946,0,210146,PRT,S,1,4,S,1
2022,17,20220,68,17,63,9,96,448,5,7,20240,205,20230419,H,1,26,7.7,3,2,1,HYB,5,1,1,5,,S,,,SVK,5,1,96,2021-03-07,6,7,S,281,,DC08,448,S,3,S,T51740,9,9,3,48,1,0,N,4,1,23,0.81,N,06648,1,S,2021,9,1.0,5,96,S,S,12,S,BOE-2013-103,1,21973,S,0,20210307,8,8,1,1,S,PAU,,1,2,SVK,1,1.0,63,3,20112846,1,835538,,S,0,5,N,1
2019,18,20190,94,18,40,24,80,393,4,15,20150,131,20190622,M,2,34,5.5,3,1,1,VIR,17,1,1,9,30.0,N,58.0,N,ETH,9,1,80,2020-01-06,8,2,S,27,580.0,DC09,393,N,5,N,,31,24,5,21,0,1,S,3,0,39,0.0,S,46830,1,S,2018,24,0.0,1,80,S,N,3,S,BOE-2022-198,36,23783,N,1,20200106,9,2,36,1,N,PAU,19.0,0,4,ETH,0,,40,3,97077009,0,495637,CMR,S,1,3,S,1
2011,19,20110,72,19,56,42,45,92,1,14,20200,188,20111203,M,2,17,6.4,2,1,1,DIS,16,0,0,6,10.0,N,48.0,S,NOR,6,1,45,2020-07-11,10,4,S,427,480.0,DC02,92,S,5,N,,81,42,5,2,1,0,N,1,0,92,0.86,S,42507,1,N,2011,42,1.0,5,45,S,N,9,N,BOE-2017-332,30,24001,S,0,20200711,2,10,30,1,S,PAU,97.0,0,7,NOR,0,,56,2,59302835,1,282212,GAB,N,1,4,N,1
2023,20,20230,70,20,36,13,84,315,1,6,20150,429,20230215,H,1,18,6.7,1,1,1,PRE,6,0,0,6,40.0,N,12.0,S,BWA,6,1,84,2021-07-18,2,6,N,171,120.0,DC07,315,S,5,N,,24,13,5,41,1,0,N,1,0,12,0.86,S,45307,0,N,2019,13,1.0,6,84,S,S,1,N,BOE-2012-006,44,35452,S,0,20210718,7,2,44,0,N,PAU,41.0,1,3,BWA,0,,36,1,44039203,1,903966,MOZ,N,1,1,N,1
2012,21,20120,73,21,41,27,29,428,2,5,20150,453,20130704,M,2,39,6.2,3,3,3,VIR,7,0,1,3,,S,,,ZWE,3,1,29,2023-03-10,9,5,S,24,,DC03,428,S,4,N,,34,27,4,3,0,1,S,2,1,34,0.0,N,04135,1,N,2011,27,1.0,6,29,N,N,5,S,BOE-2020-324,13,43499,N,0,20230310,3,8,13,1,S,PAU,,0,5,ZWE,0,,41,3,15601471,0,642145,,N,0,3,N,3
2015,22,20150,44,22,83,7,24,468,3,5,20160,84,20161125,M,2,44,8.3,4,4,2,DIS,19,1,1,9,70.0,S,84.0,S,BLZ,9,1,24,2022-04-01,10,1,N,158,840.0,DC04,468,N,4,S,,17,7,4,48,1,1,S,5,1,26,0.83,S,02236,0,S,2014,7,0.0,7,24,N,S,13,S,BOE-2014-073,30,33989,S,0,20220401,4,3,30,0,N,PAU,21.0,1,3,BLZ,1,,83,4,94212889,1,194789,VNM,S,1,4,N,2
2021,23,20210,32,23,20,44,72,433,3,1,20240,245,20210517,M,2,51,11.2,4,4,3,SEM,8,1,0,6,,N,,,GNB,6,1,72,2022-03-29,8,8,N,101,,DC02,433,S,5,S,T38957,23,44,5,16,1,1,S,5,0,4,0.82,N,32517,0,S,2016,44,0.0,8,86,S,S,11,N,BOE-2015-257,11,25283,S,1,20220329,2,10,11,0,N,PAU,,1,2,BHR,1,94.0,20,4,39599276,1,479878,,S,0,2,S,3
2020,24,20200,24,24,55,10,37,160,4,11,20100,421,20200511,H,1,40,10.5,4,1,2,VIR,16,0,0,1,90.0,N,76.0,S,SLB,1,1,37,2023-03-22,9,7,N,102,760.0,DC04,160,N,2,S,T14569,69,10,2,17,1,1,S,3,0,100,0.97,S,33655,0,N,2020,10,0.0,10,37,S,S,3,N,BOE-2012-218,31,51615,S,1,20230322,4,6,31,0,N,PAU,84.0,1,5,SLB,1,6.0,55,4,54414096,1,923650,BWA,N,1,3,S,2
2017,25,20170,47,25,7,39,88,190,3,7,20210,173,20170912,M,2,39,3.2,3,3,3,VIR,17,1,0,5,,S,,,ESP,5,1,88,2020-12-24,10,5,N,92,,DC04,190,S,2,N,,59,39,2,4,1,0,N,2,1,94,0.99,N,23181,1,S,2014,39,0.0,2,88,S,S,5,N,BOE-2015-020,44,31207,S,0,20201224,4,10,44,0,N,PAU,,1,1,ESP,0,,7,3,72144402,1,442452,,S,0,3,N,3
2011,26,20110,25,26,74,17,39,316,5,9,20200,438,20110106,H,1,46,9.7,2,3,3,HYB,10,0,1,1,20.0,N,78.0,S,HUN,1,1,39,2022-04-13,4,8,N,112,780.0,DC07,316,N,2,N,,59,17,2,15,1,0,N,1,0,79,0.66,S,22528,0,N,2010,17,0.0,4,39,S,S,13,S,BOE-2019-169,16,07456,S,1,20220413,7,10,16,0,N,PAU,12.0,1,6,HUN,0,,74,2,92083242,1,765607,ITA,N,1,5,S,3
2020,27,20200,74,27,11,41,63,288,3,2,20130,107,20201017,M,2,54,9.1,1,2,3,DIS,20,1,1,9,30.0,S,15.0,N,UZB,9,1,63,2023-02-13,6,5,N,81,150.0,DC04,288,N,3,S,,41,41,3,24,0,1,S,2,1,54,0.0,S,46193,1,S,2012,41,0.0,7,63,S,S,13,S,BOE-2020-325,48,14892,N,1,20230213,4,5,48,0,N,PAU,64.0,1,6,UZB,1,,11,1,91307681,0,796500,FSM,S,1,4,S,3
2018,28,20180,43,28,98,30,84,89,1,7,20240,298,20190115,M,2,20,5.0,1,4,1,DIS,8,0,1,7,,N,,,BWA,7,1,84,2020-02-16,8,7,S,8,,DC08,89,S,2,S,,61,30,2,32,0,1,S,3,0,93,0.0,N,08185,0,N,2018,30,1.0,10,84,S,S,11,S,BOE-2014-034,42,34355,N,0,20200216,8,3,42,1,S,PAU,,1,7,BWA,1,,98,1,55813853,0,239093,,N,0,4,N,1
2011,29,20110,1,29,96,3,88,347,4,14,20110,267,20120214,H,1,53,4.1,1,4,2,HYB,4,1,0,7,30.0,N,36.0,N,ESP,7,1,88,2022-11-13,8,7,N,184,360.0,DC01,347,N,3,S,T75016,83,3,3,7,1,1,S,2,0,34,0.73,S,50959,0,S,2011,3,0.0,4,99,S,N,15,N,BOE-2017-126,31,15638,S,1,20221113,1,6,31,0,S,PAU,7.0,0,2,KWT,1,44.0,96,1,916723,1,843527,AUT,S,1,5,S,2
2015,30,20150,92,30,38,20,92,82,5,11,20150,157,20160108,H,1,47,10.7,3,2,1,DIS,1,0,0,8,60.0,N,37.0,S,ERI,8,1,92,2022-11-07,3,3,N,156,370.0,DC05,82,N,2,N,T58493,44,20,2,12,1,1,S,4,0,49,0.68,S,49195,0,N,2013,20,1.0,5,92,S,S,3,N,BOE-2013-077,31,48486,S,1,20221107,5,2,31,0,N,PAU,32.0,1,5,ERI,0,14.0,38,3,90297353,1,316456,THA,N,1,4,S,1
2011,31,20110,35,31,71,35,95,276,1,13,20240,29,20110404,H,1,51,9.2,2,2,3,VIR,19,0,1,10,,N,,,NLD,10,1,95,2021-01-24,4,4,S,205,,DC07,276,S,2,S,,60,35,2,17,1,0,N,2,0,75,0.74,N,37147,0,N,2011,35,1.0,8,95,S,N,5,S,BOE-2022-325,29,09900,S,0,20210124,7,8,29,1,S,PAU,,0,9,NLD,1,,71,2,29641883,1,434347,,N,0,3,N,3
2022,32,20220,82,32,79,49,59,1,3,13,20110,209,20220425,M,2,53,5.6,3,3,3,HYB,10,1,1,5,70.0,S,86.0,S,BRA,5,1,59,2021-01-08,2,3,N,124,860.0,DC08,1,S,3,N,,40,49,3,20,1,1,S,2,1,28,0.6,S,13620,0,S,2020,49,0.0,6,59,N,S,9,S,BOE-2020-154,39,33191,S,0,20210108,8,9,39,0,S,PAU,82.0,1,8,BRA,0,,79,3,7467311,1,207916,PAN,S,1,5,N,3
2017,33,20170,39,33,48,10,40,171,3,14,20140,382,20181223,H,1,38,3.1,4,1,2,VIR,7,1,1,8,,N,,,TUV,8,1,40,2021-02-18,9,7,S,196,,DC06,171,S,5,S,,80,10,5,8,0,0,N,5,0,95,0.0,N,04553,1,S,2016,10,0.0,3,40,N,S,7,S,BOE-2014-055,21,44600,N,1,20210218,6,4,21,1,N,PAU,,1,5,TUV,1,,48,4,20560218,0,998004,,S,0,3,S,2
2020,34,20200,44,34,36,35,48,225,3,2,20130,242,20200523,M,2,48,5.7,2,1,2,VIR,4,1,1,2,90.0,N,27.0,S,ATG,2,1,48,2020-05-19,10,7,N,39,270.0,DC02,225,S,2,S,,55,35,2,28,0,1,S,1,0,18,0.0,S,49627,1,S,2013,35,1.0,3,48,N,S,14,S,BOE-2010-271,9,36225,N,0,20200519,2,7,9,0,N,PAU,99.0,1,6,ATG,1,,36,2,94212889,0,936865,KWT,S,1,3,N,2
2012,35,20120,66,35,12,37,60,313,2,13,20180,38,20130811,M,2,51,8.9,1,2,3,HYB,6,1,0,7,90.0,S,52.0,S,RUS,7,1,60,2021-08-24,3,8,S,281,520.0,DC06,313,N,4,S,,4,37,4,22,1,1,S,2,1,40,0.83,S,19407,0,S,2011,37,0.0,3,60,N,S,15,N,BOE-2012-277,50,18997,S,0,20210824,6,2,50,1,S,PAU,76.0,1,5,RUS,1,,12,1,76866717,1,917326,COM,S,1,5,N,3
2024,36,20240,57,36,16,25,4,228,2,7,20150,26,20250911,H,1,37,10.3,1,2,3,PRE,15,0,0,8,,N,,,CUB,8,1,4,2022-01-03,5,4,N,98,,DC01,228,N,2,S,,1,25,2,14,1,0,N,5,0,15,0.92,N,17785,1,N,2011,25,0.0,3,4,S,N,13,N,BOE-2023-052,29,26438,S,1,20220103,1,1,29,0,N,PAU,,0,7,CUB,1,,16,1,94457890,1,519753,,N,0,1,S,3
2023,37,20230,32,37,23,37,2,66,5,3,20160,72,20230423,M,2,53,6.3,4,2,2,DIS,16,0,0,8,,S,,,COG,8,1,2,2020-11-28,1,1,N,54,,DC03,66,S,5,N,T41960,95,37,5,10,1,1,S,3,1,4,0.61,N,36126,1,N,2019,37,0.0,8,2,S,N,13,N,BOE-2018-194,45,42825,S,0,20201128,3,1,45,0,S,PAU,,0,1,COG,0,32.0,23,4,39599276,1,148758,,N,0,4,N,2
2017,38,20170,61,38,33,9,42,337,5,6,20210,490,20170913,H,1,56,7.6,2,2,3,DIS,5,1,1,2,,N,,,SWE,2,1,42,2021-04-08,6,8,N,33,,DC09,337,S,5,S,,95,9,5,19,0,1,S,4,0,48,0.0,N,21950,1,S,2017,9,1.0,10,42,S,S,4,S,BOE-2010-102,40,02083,N,1,20210408,9,10,40,0,S,PAU,,1,8,SWE,1,,33,2,15060409,0,762574,,S,0,4,S,3
2023,39,20230,74,39,52,29,28,233,5,5,20140,280,20240312,M,2,58,6.1,4,4,3,VIR,17,1,0,2,70.0,N,94.0,S,KAZ,2,1,28,2023-08-08,9,6,N,48,940.0,DC03,233,S,3,N,T55426,19,29,3,41,1,0,N,2,0,51,0.77,S,07907,1,S,2017,29,1.0,2,43,S,S,15,N,BOE-2021-182,29,44753,S,1,20230808,3,4,29,0,S,PAU,79.0,1,5,TWN,0,63.0,52,4,91307681,1,308328,NAM,S,1,3,S,3
2014,40,20140,7,40,52,19,50,462,5,7,20220,458,20150508,M,2,45,9.4,3,2,3,DIS,8,1,0,8,,N,,,NZL,8,1,50,2020-11-24,4,3,N,20,,DC02,462,S,3,S,T26179,18,19,3,46,0,1,S,3,0,10,0.0,N,13978,1,S,2013,19,0.0,1,50,N,S,1,N,BOE-2021-300,31,42354,N,0,20201124,2,5,31,0,S,PAU,,1,6,NZL,1,51.0,52,3,44241559,0,861244,,S,0,4,N,3
2018,41,20180,96,41,79,30,20,37,3,15,20200,140,20191220,M,2,21,10.9,4,3,1,VIR,1,1,0,7,,N,,,TGO,7,1,20,2022-06-04,5,2,N,150,,DC04,37,N,4,N,,92,30,4,15,1,0,N,3,0,11,0.92,N,36499,1,S,2014,30,0.0,9,20,N,S,7,N,BOE-2017-114,3,06743,S,0,20220604,4,2,3,0,N,PAU,,1,5,TGO,0,,79,4,53143336,1,714239,,S,0,3,N,1
2020,42,20200,91,42,78,27,51,368,1,6,20230,332,20210226,M,2,14,9.0,1,2,3,HYB,11,1,0,8,,S,,,AND,8,1,51,2020-02-28,5,1,N,207,,DC04,368,N,4,N,,90,27,4,1,1,1,S,4,1,7,0.93,N,17027,1,S,2015,27,0.0,5,51,N,N,14,N,BOE-2018-281,29,34197,S,1,20200228,4,8,29,0,S,PAU,,0,10,AND,0,,78,1,62059365,1,319551,,S,0,5,S,3
2017,43,20170,82,43,24,49,49,104,3,14,20120,363,20170723,M,2,48,5.9,1,2,3,PRE,18,0,1,6,90.0,N,62.0,S,BIH,6,1,49,2020-07-10,8,8,S,41,620.0,DC10,104,S,3,N,,86,49,3,50,0,1,S,1,0,32,0.0,S,25043,1,N,2011,49,0.0,2,49,N,S,13,S,BOE-2013-356,32,47852,N,0,20200710,10,3,32,1,S,PAU,85.0,1,6,BIH,0,,24,1,7467311,0,618513,NER,N,1,1,N,3
